"plh0112","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","16-34 y.","Not Employed","237","0.396445711306755","0.356602086548612","0.436289336064898","2"
"Important","1990","16-34 y.","Employed","840","0.407881325141523","0.386576452844648","0.429186197438398","2"
"Important","1990","35-65 y.","Employed","999","0.414477000519299","0.394938219800998","0.4340157812376","2"
"Important","1990","35-65 y.","Not Employed","364","0.352919461994165","0.323931691454291","0.381907232534039","2"
"Important","1990","66 and older","Not Employed","284","0.2918351927667","0.263502624307009","0.32016776122639","2"
"Important","1990","66 and older","Employed","20","","","","2"
"Less important","1990","35-65 y.","Employed","976","0.391381025535105","0.372023587014437","0.410738464055774","3"
"Less important","1990","16-34 y.","Employed","781","0.380875919410911","0.359824167122982","0.40192767169884","3"
"Less important","1990","16-34 y.","Not Employed","220","0.388572428499376","0.348869978329993","0.428274878668759","3"
"Less important","1990","35-65 y.","Not Employed","415","0.392537017982857","0.362916130938395","0.422157905027319","3"
"Less important","1990","66 and older","Not Employed","361","0.358947455419303","0.329051516405343","0.388843394433262","3"
"Less important","1990","66 and older","Employed","11","","","","3"
"Quite unimportant","1990","16-34 y.","Not Employed","30","0.0488076875471209","0.0312572846485983","0.0663580904456435","4"
"Quite unimportant","1990","16-34 y.","Employed","102","0.0461273510746546","0.0370338295098517","0.0552208726394574","4"
"Quite unimportant","1990","35-65 y.","Not Employed","154","0.146375368655609","0.124933367666469","0.167817369644748","4"
"Quite unimportant","1990","35-65 y.","Employed","177","0.0726830354511092","0.0623861497517256","0.0829799211504928","4"
"Quite unimportant","1990","66 and older","Not Employed","272","0.283737560189531","0.255641563110202","0.311833557268859","4"
"Quite unimportant","1990","66 and older","Employed","10","","","","4"
"Very important","1990","16-34 y.","Not Employed","92","0.166174172646748","0.135854239227736","0.196494106065759","1"
"Very important","1990","16-34 y.","Employed","321","0.165115404372912","0.149019526598623","0.1812112821472","1"
"Very important","1990","35-65 y.","Not Employed","111","0.108168151367369","0.0893277984279815","0.127008504306757","1"
"Very important","1990","35-65 y.","Employed","290","0.121458938494486","0.108502935668264","0.134414941320708","1"
"Very important","1990","66 and older","Not Employed","72","0.0654797916244672","0.0500628602886967","0.0808967229602376","1"
"Very important","1990","66 and older","Employed","3","","","","1"
"Important","1991","16-34 y.","Employed","","","","","2"
"Important","1991","16-34 y.","Not Employed","","","","","2"
"Important","1991","35-65 y.","Not Employed","","","","","2"
"Important","1991","35-65 y.","Employed","","","","","2"
"Important","1991","66 and older","Not Employed","","","","","2"
"Important","1991","66 and older","Employed","","","","","2"
"Less important","1991","16-34 y.","Not Employed","","","","","3"
"Less important","1991","16-34 y.","Employed","","","","","3"
"Less important","1991","35-65 y.","Not Employed","","","","","3"
"Less important","1991","35-65 y.","Employed","","","","","3"
"Less important","1991","66 and older","Not Employed","","","","","3"
"Less important","1991","66 and older","Employed","","","","","3"
"Quite unimportant","1991","16-34 y.","Employed","","","","","4"
"Quite unimportant","1991","16-34 y.","Not Employed","","","","","4"
"Quite unimportant","1991","35-65 y.","Not Employed","","","","","4"
"Quite unimportant","1991","35-65 y.","Employed","","","","","4"
"Quite unimportant","1991","66 and older","Not Employed","","","","","4"
"Quite unimportant","1991","66 and older","Employed","","","","","4"
"Very important","1991","16-34 y.","Not Employed","","","","","1"
"Very important","1991","16-34 y.","Employed","","","","","1"
"Very important","1991","35-65 y.","Not Employed","","","","","1"
"Very important","1991","35-65 y.","Employed","","","","","1"
"Very important","1991","66 and older","Not Employed","","","","","1"
"Very important","1991","66 and older","Employed","","","","","1"
"Important","1992","16-34 y.","Employed","1255","0.400580999547385","0.383428013120753","0.417733985974016","2"
"Important","1992","16-34 y.","Not Employed","329","0.40716179477331","0.373348361778531","0.44097522776809","2"
"Important","1992","35-65 y.","Not Employed","492","0.36809187412352","0.34227885594479","0.39390489230225","2"
"Important","1992","35-65 y.","Employed","1750","0.405662579317171","0.390982990299248","0.420342168335094","2"
"Important","1992","66 and older","Not Employed","447","0.307033021815226","0.282758053381753","0.331307990248699","2"
"Important","1992","66 and older","Employed","15","","","","2"
"Less important","1992","16-34 y.","Not Employed","284","0.359479033388297","0.326454163008303","0.392503903768292","3"
"Less important","1992","16-34 y.","Employed","1287","0.391238020227025","0.374154647947327","0.408321392506724","3"
"Less important","1992","35-65 y.","Not Employed","516","0.377468593436219","0.351523529414687","0.40341365745775","3"
"Less important","1992","35-65 y.","Employed","1754","0.390184457419858","0.375601382300509","0.404767532539207","3"
"Less important","1992","66 and older","Not Employed","458","0.332639951278303","0.307844205971851","0.357435696584756","3"
"Less important","1992","66 and older","Employed","13","","","","3"
"Quite unimportant","1992","16-34 y.","Not Employed","56","0.0720934562927611","0.0542927306710071","0.0898941819145151","4"
"Quite unimportant","1992","16-34 y.","Employed","160","0.0484333999249184","0.0409185313155369","0.0559482685342999","4"
"Quite unimportant","1992","35-65 y.","Not Employed","186","0.142117780109635","0.123429396370839","0.160806163848432","4"
"Quite unimportant","1992","35-65 y.","Employed","313","0.0798949389003638","0.0717891884386157","0.0880006893621118","4"
"Quite unimportant","1992","66 and older","Not Employed","373","0.282083368555273","0.258400428904969","0.305766308205578","4"
"Quite unimportant","1992","66 and older","Employed","4","","","","4"
"Very important","1992","16-34 y.","Not Employed","142","0.161265715545631","0.135954040533018","0.186577390558244","1"
"Very important","1992","16-34 y.","Employed","433","0.159747580300672","0.146922758225851","0.172572402375493","1"
"Very important","1992","35-65 y.","Not Employed","147","0.112321752330626","0.0954214907710543","0.129222013890198","1"
"Very important","1992","35-65 y.","Employed","481","0.124258024362607","0.114396019987096","0.134120028738119","1"
"Very important","1992","66 and older","Not Employed","109","0.0782436583511975","0.0641103933663261","0.0923769233360689","1"
"Very important","1992","66 and older","Employed","2","","","","1"
"Important","1993","16-34 y.","Not Employed","","","","","2"
"Important","1993","16-34 y.","Employed","","","","","2"
"Important","1993","35-65 y.","Not Employed","","","","","2"
"Important","1993","35-65 y.","Employed","","","","","2"
"Important","1993","66 and older","Not Employed","","","","","2"
"Important","1993","66 and older","Employed","","","","","2"
"Less important","1993","16-34 y.","Employed","","","","","3"
"Less important","1993","16-34 y.","Not Employed","","","","","3"
"Less important","1993","35-65 y.","Not Employed","","","","","3"
"Less important","1993","35-65 y.","Employed","","","","","3"
"Less important","1993","66 and older","Not Employed","","","","","3"
"Less important","1993","66 and older","Employed","","","","","3"
"Quite unimportant","1993","16-34 y.","Not Employed","","","","","4"
"Quite unimportant","1993","16-34 y.","Employed","","","","","4"
"Quite unimportant","1993","35-65 y.","Not Employed","","","","","4"
"Quite unimportant","1993","35-65 y.","Employed","","","","","4"
"Quite unimportant","1993","66 and older","Not Employed","","","","","4"
"Quite unimportant","1993","66 and older","Employed","","","","","4"
"Very important","1993","16-34 y.","Not Employed","","","","","1"
"Very important","1993","16-34 y.","Employed","","","","","1"
"Very important","1993","35-65 y.","Not Employed","","","","","1"
"Very important","1993","35-65 y.","Employed","","","","","1"
"Very important","1993","66 and older","Not Employed","","","","","1"
"Very important","1993","66 and older","Employed","","","","","1"
"Important","1994","16-34 y.","Not Employed","","","","","2"
"Important","1994","16-34 y.","Employed","","","","","2"
"Important","1994","35-65 y.","Not Employed","","","","","2"
"Important","1994","35-65 y.","Employed","","","","","2"
"Important","1994","66 and older","Not Employed","","","","","2"
"Important","1994","66 and older","Employed","","","","","2"
"Less important","1994","16-34 y.","Not Employed","","","","","3"
"Less important","1994","16-34 y.","Employed","","","","","3"
"Less important","1994","35-65 y.","Employed","","","","","3"
"Less important","1994","35-65 y.","Not Employed","","","","","3"
"Less important","1994","66 and older","Not Employed","","","","","3"
"Less important","1994","66 and older","Employed","","","","","3"
"Quite unimportant","1994","16-34 y.","Not Employed","","","","","4"
"Quite unimportant","1994","16-34 y.","Employed","","","","","4"
"Quite unimportant","1994","35-65 y.","Not Employed","","","","","4"
"Quite unimportant","1994","35-65 y.","Employed","","","","","4"
"Quite unimportant","1994","66 and older","Not Employed","","","","","4"
"Quite unimportant","1994","66 and older","Employed","","","","","4"
"Very important","1994","16-34 y.","Not Employed","","","","","1"
"Very important","1994","16-34 y.","Employed","","","","","1"
"Very important","1994","35-65 y.","Not Employed","","","","","1"
"Very important","1994","35-65 y.","Employed","","","","","1"
"Very important","1994","66 and older","Not Employed","","","","","1"
"Very important","1994","66 and older","Employed","","","","","1"
"Important","1995","16-34 y.","Not Employed","429","0.403292770055924","0.373564261828403","0.433021278283445","2"
"Important","1995","16-34 y.","Employed","1183","0.403732484461437","0.385997049343061","0.421467919579812","2"
"Important","1995","35-65 y.","Employed","1560","0.376543426691645","0.361865689124737","0.391221164258552","2"
"Important","1995","35-65 y.","Not Employed","556","0.337627698741986","0.314470450513433","0.360784946970538","2"
"Important","1995","66 and older","Not Employed","411","0.289286443428984","0.265793381961447","0.312779504896522","2"
"Important","1995","66 and older","Employed","18","","","","2"
"Less important","1995","16-34 y.","Not Employed","404","0.391697579345027","0.362116265106511","0.421278893583544","3"
"Less important","1995","16-34 y.","Employed","1238","0.414264584661118","0.396458678871758","0.432070490450479","3"
"Less important","1995","35-65 y.","Not Employed","689","0.43173112589906","0.407476172201899","0.455986079596221","3"
"Less important","1995","35-65 y.","Employed","1966","0.452147486751067","0.437070298105513","0.467224675396621","3"
"Less important","1995","66 and older","Not Employed","518","0.356033539836876","0.331224762885032","0.38084231678872","3"
"Less important","1995","66 and older","Employed","14","","","","3"
"Quite unimportant","1995","16-34 y.","Not Employed","73","0.0639835786621216","0.0491529948953136","0.0788141624289296","4"
"Quite unimportant","1995","16-34 y.","Employed","181","0.0584450975752007","0.0499655770781019","0.0669246180722996","4"
"Quite unimportant","1995","35-65 y.","Not Employed","228","0.139301961891247","0.122346061440282","0.156257862342212","4"
"Quite unimportant","1995","35-65 y.","Employed","325","0.0832301864410855","0.0748622366598232","0.0915981362223478","4"
"Quite unimportant","1995","66 and older","Not Employed","389","0.279052365386331","0.255813068249305","0.302291662523356","4"
"Quite unimportant","1995","66 and older","Employed","5","","","","4"
"Very important","1995","16-34 y.","Not Employed","140","0.141026071936927","0.119933868837063","0.162118275036791","1"
"Very important","1995","16-34 y.","Employed","338","0.123557833302244","0.111662648332165","0.135453018272323","1"
"Very important","1995","35-65 y.","Not Employed","129","0.0913392134677082","0.0772318335544138","0.105446593381003","1"
"Very important","1995","35-65 y.","Employed","335","0.0880789001162029","0.0794934503275627","0.0966643499048432","1"
"Very important","1995","66 and older","Not Employed","113","0.0756276513478084","0.0619285507881153","0.0893267519075015","1"
"Very important","1995","66 and older","Employed","3","","","","1"
"Important","1996","16-34 y.","Employed","","","","","2"
"Important","1996","16-34 y.","Not Employed","","","","","2"
"Important","1996","35-65 y.","Employed","","","","","2"
"Important","1996","35-65 y.","Not Employed","","","","","2"
"Important","1996","66 and older","Not Employed","","","","","2"
"Important","1996","66 and older","Employed","","","","","2"
"Less important","1996","16-34 y.","Employed","","","","","3"
"Less important","1996","16-34 y.","Not Employed","","","","","3"
"Less important","1996","35-65 y.","Employed","","","","","3"
"Less important","1996","35-65 y.","Not Employed","","","","","3"
"Less important","1996","66 and older","Not Employed","","","","","3"
"Less important","1996","66 and older","Employed","","","","","3"
"Quite unimportant","1996","16-34 y.","Not Employed","","","","","4"
"Quite unimportant","1996","16-34 y.","Employed","","","","","4"
"Quite unimportant","1996","35-65 y.","Not Employed","","","","","4"
"Quite unimportant","1996","35-65 y.","Employed","","","","","4"
"Quite unimportant","1996","66 and older","Not Employed","","","","","4"
"Quite unimportant","1996","66 and older","Employed","","","","","4"
"Very important","1996","16-34 y.","Not Employed","","","","","1"
"Very important","1996","16-34 y.","Employed","","","","","1"
"Very important","1996","35-65 y.","Not Employed","","","","","1"
"Very important","1996","35-65 y.","Employed","","","","","1"
"Very important","1996","66 and older","Not Employed","","","","","1"
"Very important","1996","66 and older","Employed","","","","","1"
"Important","1997","16-34 y.","Not Employed","","","","","2"
"Important","1997","16-34 y.","Employed","","","","","2"
"Important","1997","35-65 y.","Employed","","","","","2"
"Important","1997","35-65 y.","Not Employed","","","","","2"
"Important","1997","66 and older","Not Employed","","","","","2"
"Important","1997","66 and older","Employed","","","","","2"
"Less important","1997","16-34 y.","Not Employed","","","","","3"
"Less important","1997","16-34 y.","Employed","","","","","3"
"Less important","1997","35-65 y.","Not Employed","","","","","3"
"Less important","1997","35-65 y.","Employed","","","","","3"
"Less important","1997","66 and older","Not Employed","","","","","3"
"Less important","1997","66 and older","Employed","","","","","3"
"Quite unimportant","1997","16-34 y.","Not Employed","","","","","4"
"Quite unimportant","1997","16-34 y.","Employed","","","","","4"
"Quite unimportant","1997","35-65 y.","Not Employed","","","","","4"
"Quite unimportant","1997","35-65 y.","Employed","","","","","4"
"Quite unimportant","1997","66 and older","Not Employed","","","","","4"
"Quite unimportant","1997","66 and older","Employed","","","","","4"
"Very important","1997","16-34 y.","Not Employed","","","","","1"
"Very important","1997","16-34 y.","Employed","","","","","1"
"Very important","1997","35-65 y.","Not Employed","","","","","1"
"Very important","1997","35-65 y.","Employed","","","","","1"
"Very important","1997","66 and older","Not Employed","","","","","1"
"Very important","1997","66 and older","Employed","","","","","1"
"Important","1998","16-34 y.","Not Employed","","","","","2"
"Important","1998","16-34 y.","Employed","","","","","2"
"Important","1998","35-65 y.","Employed","","","","","2"
"Important","1998","35-65 y.","Not Employed","","","","","2"
"Important","1998","66 and older","Not Employed","","","","","2"
"Important","1998","66 and older","Employed","","","","","2"
"Less important","1998","16-34 y.","Not Employed","","","","","3"
"Less important","1998","16-34 y.","Employed","","","","","3"
"Less important","1998","35-65 y.","Employed","","","","","3"
"Less important","1998","35-65 y.","Not Employed","","","","","3"
