"plh0112","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","1-pers.-HH","55","0.23499637733346","0.180786741549186","0.289206013117735"
"Very important","1990","16-34 y.","(Married) couple without C. ","81","0.148845625309221","0.119233211836047","0.178458038782395"
"Very important","1990","16-34 y.","Single parent ","31","0.162733993972515","0.10939927014811","0.21606871779692"
"Very important","1990","16-34 y.","Couple + C. LE 16 ","41","0.0608244767714739","0.0434507311220008","0.078198222420947"
"Very important","1990","16-34 y.","Couple + C. GT 16 ","148","0.233425366482319","0.200101605315172","0.266749127649467"
"Very important","1990","16-34 y.","Couple + C. LE and GT 16","33","0.197665783416493","0.137266294842767","0.258065271990219"
"Very important","1990","35-65 y.","1-pers.-HH","47","0.140555305014273","0.101865206755538","0.179245403273007"
"Very important","1990","35-65 y.","(Married) couple without C. ","150","0.152189112939837","0.129630629476424","0.17474759640325"
"Very important","1990","35-65 y.","Single parent ","19","","",""
"Very important","1990","35-65 y.","Couple + C. LE 16 ","58","0.0787958082160987","0.0593841899987935","0.0982074264334039"
"Very important","1990","35-65 y.","Couple + C. GT 16 ","89","0.107582102456475","0.0867273848072015","0.128436820105749"
"Very important","1990","35-65 y.","Couple + C. LE and GT 16","18","","",""
"Very important","1990","66 and older","1-pers.-HH","26","","",""
"Very important","1990","66 and older","(Married) couple without C. ","41","0.0733275416820222","0.0503638248955067","0.0962912584685377"
"Very important","1990","66 and older","Single parent ","1","","",""
"Very important","1990","66 and older","Couple + C. LE 16 ","","","",""
"Very important","1990","66 and older","Couple + C. GT 16 ","1","","",""
"Very important","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Important","1990","16-34 y.","1-pers.-HH","107","0.461957180895284","0.398215510416726","0.525698851373843"
"Important","1990","16-34 y.","(Married) couple without C. ","241","0.429630351128097","0.388446469182393","0.470814233073802"
"Important","1990","16-34 y.","Single parent ","77","0.428407953864572","0.356907132525607","0.499908775203536"
"Important","1990","16-34 y.","Couple + C. LE 16 ","233","0.301167240630346","0.267819118895981","0.33451536236471"
"Important","1990","16-34 y.","Couple + C. GT 16 ","285","0.465378660055743","0.426084397384854","0.504672922726631"
