"plh0112","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Schleswig-Holstein","(0) in school","2","","",""
"Very important","1990","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Very important","1990","Schleswig-Holstein","(1b) general elementary school","6","","",""
"Very important","1990","Schleswig-Holstein","(1c) basic vocational qualification","5","","",""
"Very important","1990","Schleswig-Holstein","(2b) intermediate general qualification","3","","",""
"Very important","1990","Schleswig-Holstein","(2a) intermediate vocational","4","","",""
"Very important","1990","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Very important","1990","Schleswig-Holstein","(2c_voc) vocational maturity certificate","3","","",""
"Very important","1990","Schleswig-Holstein","(3a) lower tertiary education","2","","",""
"Very important","1990","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Very important","1990","Hamburg","(0) in school","","","",""
"Very important","1990","Hamburg","(1a) inadequately completed","","","",""
"Very important","1990","Hamburg","(1b) general elementary school","3","","",""
"Very important","1990","Hamburg","(1c) basic vocational qualification","9","","",""
"Very important","1990","Hamburg","(2b) intermediate general qualification","1","","",""
"Very important","1990","Hamburg","(2a) intermediate vocational","1","","",""
"Very important","1990","Hamburg","(2c_gen) general maturity certificate","","","",""
"Very important","1990","Hamburg","(2c_voc) vocational maturity certificate","2","","",""
"Very important","1990","Hamburg","(3a) lower tertiary education","2","","",""
"Very important","1990","Hamburg","(3b) higher tertiary education","4","","",""
"Very important","1990","Lower Saxony","(0) in school","2","","",""
"Very important","1990","Lower Saxony","(1a) inadequately completed","1","","",""
"Very important","1990","Lower Saxony","(1b) general elementary school","12","","",""
"Very important","1990","Lower Saxony","(1c) basic vocational qualification","28","","",""
"Very important","1990","Lower Saxony","(2b) intermediate general qualification","7","","",""
"Very important","1990","Lower Saxony","(2a) intermediate vocational","20","","",""
"Very important","1990","Lower Saxony","(2c_gen) general maturity certificate","6","","",""
"Very important","1990","Lower Saxony","(2c_voc) vocational maturity certificate","7","","",""
"Very important","1990","Lower Saxony","(3a) lower tertiary education","","","",""
"Very important","1990","Lower Saxony","(3b) higher tertiary education","16","","",""
"Very important","1990","Bremen","(0) in school","","","",""
"Very important","1990","Bremen","(1a) inadequately completed","1","","",""
"Very important","1990","Bremen","(1b) general elementary school","5","","",""
"Very important","1990","Bremen","(1c) basic vocational qualification","6","","",""
"Very important","1990","Bremen","(2b) intermediate general qualification","1","","",""
"Very important","1990","Bremen","(2a) intermediate vocational","3","","",""
"Very important","1990","Bremen","(2c_gen) general maturity certificate","","","",""
"Very important","1990","Bremen","(2c_voc) vocational maturity certificate","3","","",""
"Very important","1990","Bremen","(3a) lower tertiary education","","","",""
"Very important","1990","Bremen","(3b) higher tertiary education","2","","",""
"Very important","1990","North Rhine-Westphalia","(0) in school","8","","",""
"Very important","1990","North Rhine-Westphalia","(1a) inadequately completed","4","","",""
"Very important","1990","North Rhine-Westphalia","(1b) general elementary school","33","0.0994531214535779","0.0663517765965983","0.132554466310558"
"Very important","1990","North Rhine-Westphalia","(1c) basic vocational qualification","76","0.104139739649046","0.0820429876780586","0.126236491620034"
"Very important","1990","North Rhine-Westphalia","(2b) intermediate general qualification","19","","",""
"Very important","1990","North Rhine-Westphalia","(2a) intermediate vocational","36","0.11717229080672","0.082418628219895","0.151925953393544"
"Very important","1990","North Rhine-Westphalia","(2c_gen) general maturity certificate","22","","",""
"Very important","1990","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","15","","",""
"Very important","1990","North Rhine-Westphalia","(3a) lower tertiary education","6","","",""
"Very important","1990","North Rhine-Westphalia","(3b) higher tertiary education","25","","",""
"Very important","1990","Hesse","(0) in school","2","","",""
"Very important","1990","Hesse","(1a) inadequately completed","1","","",""
"Very important","1990","Hesse","(1b) general elementary school","19","","",""
"Very important","1990","Hesse","(1c) basic vocational qualification","22","","",""
"Very important","1990","Hesse","(2b) intermediate general qualification","5","","",""
"Very important","1990","Hesse","(2a) intermediate vocational","14","","",""
"Very important","1990","Hesse","(2c_gen) general maturity certificate","4","","",""
"Very important","1990","Hesse","(2c_voc) vocational maturity certificate","8","","",""
"Very important","1990","Hesse","(3a) lower tertiary education","4","","",""
"Very important","1990","Hesse","(3b) higher tertiary education","7","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(0) in school","1","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(1a) inadequately completed","1","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(1b) general elementary school","13","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","19","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","5","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","4","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","3","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","3","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","2","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","6","","",""
"Very important","1990","Baden-Württemberg","(0) in school","2","","",""
"Very important","1990","Baden-Württemberg","(1a) inadequately completed","","","",""
