"plh0112","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Urban Area","720","0.129989544582468","0.121103586811322","0.138875502353613"
"Very important","1990","Rural Area","169","0.0991660757002578","0.0847006873687758","0.11363146403174"
"Important","1990","Urban Area","2170","0.39071523698589","0.377823004435557","0.403607469536223"
"Important","1990","Rural Area","574","0.344690477961246","0.321688560040573","0.367692395881919"
"Less important","1990","Urban Area","2065","0.369061209209959","0.3563106094727","0.381811808947218"
"Less important","1990","Rural Area","699","0.424121236646265","0.400202584203763","0.448039889088768"
"Quite unimportant","1990","Urban Area","547","0.110234009221683","0.101958713919542","0.118509304523825"
"Quite unimportant","1990","Rural Area","198","0.132022209692231","0.11563881205569","0.148405607328772"
"Very important","1991","Urban Area","","","",""
"Very important","1991","Rural Area","","","",""
"Important","1991","Urban Area","","","",""
"Important","1991","Rural Area","","","",""
"Less important","1991","Urban Area","","","",""
"Less important","1991","Rural Area","","","",""
"Quite unimportant","1991","Urban Area","","","",""
"Quite unimportant","1991","Rural Area","","","",""
"Very important","1992","Urban Area","883","0.135176015923305","0.127011536456747","0.143340495389862"
"Very important","1992","Rural Area","419","0.1019333640592","0.0927292035404115","0.111137524577989"
"Important","1992","Urban Area","2672","0.392344740765257","0.380685309524855","0.404004172005658"
"Important","1992","Rural Area","1568","0.357686511987454","0.343105202527998","0.37226782144691"
"Less important","1992","Urban Area","2522","0.358713633364046","0.347260751991387","0.370166514736705"
"Less important","1992","Rural Area","1737","0.413023517302423","0.398044977924378","0.428002056680468"
"Quite unimportant","1992","Urban Area","660","0.113765609947393","0.106183420761008","0.121347799133777"
"Quite unimportant","1992","Rural Area","427","0.127356606650923","0.117215137676639","0.137498075625206"
"Very important","1993","Urban Area","","","",""
"Very important","1993","Rural Area","","","",""
"Important","1993","Urban Area","","","",""
"Important","1993","Rural Area","","","",""
"Less important","1993","Urban Area","","","",""
"Less important","1993","Rural Area","","","",""
"Quite unimportant","1993","Urban Area","","","",""
"Quite unimportant","1993","Rural Area","","","",""
"Very important","1994","Urban Area","","","",""
"Very important","1994","Rural Area","","","",""
"Important","1994","Urban Area","","","",""
"Important","1994","Rural Area","","","",""
"Less important","1994","Urban Area","","","",""
"Less important","1994","Rural Area","","","",""
"Quite unimportant","1994","Urban Area","","","",""
"Quite unimportant","1994","Rural Area","","","",""
"Very important","1995","Urban Area","756","0.108883656517371","0.101609943782895","0.116157369251847"
"Very important","1995","Rural Area","302","0.072822267857122","0.0649638151831229","0.0806807205311211"
"Important","1995","Urban Area","2701","0.37545447095036","0.364146927003471","0.386762014897249"
"Important","1995","Rural Area","1456","0.337475151688456","0.323174842348279","0.351775461028632"
"Less important","1995","Urban Area","2874","0.401426918390496","0.389980504929228","0.412873331851764"
"Less important","1995","Rural Area","1955","0.449391005548498","0.434347214781343","0.464434796315653"
"Quite unimportant","1995","Urban Area","714","0.114234954141773","0.10680704868762","0.121662859595925"
"Quite unimportant","1995","Rural Area","487","0.140311574905924","0.129807912974758","0.150815236837091"
"Very important","1996","Urban Area","","","",""
"Very important","1996","Rural Area","","","",""
"Important","1996","Urban Area","","","",""
"Important","1996","Rural Area","","","",""
"Less important","1996","Urban Area","","","",""
"Less important","1996","Rural Area","","","",""
"Quite unimportant","1996","Urban Area","","","",""
"Quite unimportant","1996","Rural Area","","","",""
"Very important","1997","Urban Area","","","",""
"Very important","1997","Rural Area","","","",""
"Important","1997","Urban Area","","","",""
"Important","1997","Rural Area","","","",""
"Less important","1997","Urban Area","","","",""
"Less important","1997","Rural Area","","","",""
"Quite unimportant","1997","Urban Area","","","",""
"Quite unimportant","1997","Rural Area","","","",""
"Very important","1998","Urban Area","","","",""
"Very important","1998","Rural Area","","","",""
"Important","1998","Urban Area","","","",""
"Important","1998","Rural Area","","","",""
"Less important","1998","Urban Area","","","",""
"Less important","1998","Rural Area","","","",""
"Quite unimportant","1998","Urban Area","","","",""
"Quite unimportant","1998","Rural Area","","","",""
"Very important","1999","Urban Area","","","",""
"Very important","1999","Rural Area","","","",""
"Important","1999","Urban Area","","","",""
"Important","1999","Rural Area","","","",""
"Less important","1999","Urban Area","","","",""
"Less important","1999","Rural Area","","","",""
"Quite unimportant","1999","Urban Area","","","",""
"Quite unimportant","1999","Rural Area","","","",""
"Very important","2000","Urban Area","","","",""
"Very important","2000","Rural Area","","","",""
"Important","2000","Urban Area","","","",""
"Important","2000","Rural Area","","","",""
"Less important","2000","Urban Area","","","",""
"Less important","2000","Rural Area","","","",""
"Quite unimportant","2000","Urban Area","","","",""
"Quite unimportant","2000","Rural Area","","","",""
