"plh0204_h","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","Full Time","(0) in school","","","",""
"0 Not at all Willing to take risks","2004","Full Time","(1a) inadequately completed","10","","",""
"0 Not at all Willing to take risks","2004","Full Time","(1b) general elementary school","44","0.116247733336215","0.0844370275732997","0.14805843909913"
"0 Not at all Willing to take risks","2004","Full Time","(1c) basic vocational qualification","114","0.0546048997578405","0.0444787968464816","0.0647310026691994"
"0 Not at all Willing to take risks","2004","Full Time","(2b) intermediate general qualification","11","","",""
"0 Not at all Willing to take risks","2004","Full Time","(2a) intermediate vocational","62","0.0310298602651132","0.0241595521700779","0.0379001683601485"
"0 Not at all Willing to take risks","2004","Full Time","(2c_gen) general maturity certificate","2","","",""
"0 Not at all Willing to take risks","2004","Full Time","(2c_voc) vocational maturity certificate","19","","",""
"0 Not at all Willing to take risks","2004","Full Time","(3a) lower tertiary education","19","","",""
"0 Not at all Willing to take risks","2004","Full Time","(3b) higher tertiary education","20","","",""
"0 Not at all Willing to take risks","2004","Part Time","(0) in school","3","","",""
"0 Not at all Willing to take risks","2004","Part Time","(1a) inadequately completed","13","","",""
"0 Not at all Willing to take risks","2004","Part Time","(1b) general elementary school","60","0.165571160112505","0.128346074700678","0.202796245524333"
"0 Not at all Willing to take risks","2004","Part Time","(1c) basic vocational qualification","97","0.0898117821748188","0.073621592233894","0.106001972115744"
"0 Not at all Willing to take risks","2004","Part Time","(2b) intermediate general qualification","2","","",""
"0 Not at all Willing to take risks","2004","Part Time","(2a) intermediate vocational","60","0.0398090627543615","0.0293449242394832","0.0502732012692398"
"0 Not at all Willing to take risks","2004","Part Time","(2c_gen) general maturity certificate","7","","",""
"0 Not at all Willing to take risks","2004","Part Time","(2c_voc) vocational maturity certificate","22","","",""
"0 Not at all Willing to take risks","2004","Part Time","(3a) lower tertiary education","13","","",""
"0 Not at all Willing to take risks","2004","Part Time","(3b) higher tertiary education","17","","",""
"0 Not at all Willing to take risks","2004","Not Working","(0) in school","16","","",""
"0 Not at all Willing to take risks","2004","Not Working","(1a) inadequately completed","56","0.289165482690882","0.217560175847777","0.360770789533987"
"0 Not at all Willing to take risks","2004","Not Working","(1b) general elementary school","302","0.254596201397113","0.230270548935204","0.278921853859022"
"0 Not at all Willing to take risks","2004","Not Working","(1c) basic vocational qualification","481","0.180231782353334","0.166328053408648","0.19413551129802"
"0 Not at all Willing to take risks","2004","Not Working","(2b) intermediate general qualification","16","","",""
"0 Not at all Willing to take risks","2004","Not Working","(2a) intermediate vocational","119","0.115314762993497","0.0973772886743162","0.133252237312679"
"0 Not at all Willing to take risks","2004","Not Working","(2c_gen) general maturity certificate","16","","",""
"0 Not at all Willing to take risks","2004","Not Working","(2c_voc) vocational maturity certificate","46","0.163697930352051","0.126786776736956","0.200609083967146"
"0 Not at all Willing to take risks","2004","Not Working","(3a) lower tertiary education","18","","",""
"0 Not at all Willing to take risks","2004","Not Working","(3b) higher tertiary education","31","0.075435335270072","0.0530360830169323","0.0978345875232116"
"1","2004","Full Time","(0) in school","","","",""
"1","2004","Full Time","(1a) inadequately completed","2","","",""
"1","2004","Full Time","(1b) general elementary school","22","","",""
