"plh0204_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"2","2004","35-65 y.","lower secondary degree","457","0.114367848732082","0.104578275996883","0.124157421467282"
"2","2004","35-65 y.","secondary school degree","394","0.102762968013376","0.0933210391715088","0.112204896855243"
"2","2004","35-65 y.","college entrance qualification","286","0.0872673579459206","0.0774396281000758","0.0970950877917655"
"2","2004","35-65 y.","Other degree","93","0.120368155695861","0.0981643513655986","0.142571960026123"
"2","2004","35-65 y.","no degree/no degree yet","24","","",""
"2","2004","66 and older","lower secondary degree","351","0.143317621847201","0.129440052321707","0.157195191372694"
"2","2004","66 and older","secondary school degree","56","0.119609699265247","0.092239873358624","0.14697952517187"
"2","2004","66 and older","college entrance qualification","47","0.0938511723476252","0.0692548130454925","0.118447531649758"
"2","2004","66 and older","Other degree","33","0.173999958381152","0.117507607714471","0.230492309047833"
"2","2004","66 and older","no degree/no degree yet","8","","",""
"3","2004","16-34 y.","lower secondary degree","114","0.103662046163454","0.0851362362752958","0.122187856051612"
"3","2004","16-34 y.","secondary school degree","209","0.119118043164528","0.104018820379975","0.134217265949081"
"3","2004","16-34 y.","college entrance qualification","202","0.123920272363037","0.108069988583998","0.139770556142076"
"3","2004","16-34 y.","Other degree","23","","",""
"3","2004","16-34 y.","no degree/no degree yet","64","0.0855977972298028","0.0645078900084114","0.106687704451194"
"3","2004","35-65 y.","lower secondary degree","508","0.111942217029536","0.102243760163998","0.121640673895074"
"3","2004","35-65 y.","secondary school degree","534","0.136323855801307","0.125654205119238","0.146993506483376"
"3","2004","35-65 y.","college entrance qualification","430","0.132852566752561","0.121033397529333","0.14467173597579"
"3","2004","35-65 y.","Other degree","105","0.134807813761726","0.111503573784121","0.158112053739331"
"3","2004","35-65 y.","no degree/no degree yet","17","","",""
"3","2004","66 and older","lower secondary degree","346","0.139153765321988","0.125446084872251","0.152861445771725"
"3","2004","66 and older","secondary school degree","61","0.0998147077791008","0.0745325325319193","0.125096883026282"
"3","2004","66 and older","college entrance qualification","70","0.147663889551033","0.117741669863622","0.177586109238444"
"3","2004","66 and older","Other degree","23","","",""
"3","2004","66 and older","no degree/no degree yet","9","","",""
"4","2004","16-34 y.","lower secondary degree","100","0.107721927629567","0.0888796417074583","0.126564213551675"
"4","2004","16-34 y.","secondary school degree","175","0.0999506858831683","0.0859698543466258","0.113931517419711"
"4","2004","16-34 y.","college entrance qualification","208","0.121075798102851","0.105383070765924","0.136768525439778"
"4","2004","16-34 y.","Other degree","17","","",""
"4","2004","16-34 y.","no degree/no degree yet","62","0.0814382191834835","0.060820384030289","0.102056054336678"
"4","2004","35-65 y.","lower secondary degree","465","0.111029773615442","0.101365963024923","0.120693584205962"
"4","2004","35-65 y.","secondary school degree","456","0.107546326508426","0.0979129299232875","0.117179723093565"
"4","2004","35-65 y.","college entrance qualification","335","0.104792979769348","0.094127427731173","0.115458531807522"
