"plh0204_h","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","lower secondary degree","West Germany","782","0.146205877568556","0.137320626715241","0.155091128421872"
"0 Not at all Willing to take risks","2004","lower secondary degree","East Germany","149","0.101665247241416","0.0862426526725031","0.117087841810329"
"0 Not at all Willing to take risks","2004","secondary school degree","West Germany","225","0.0648409043856547","0.0571742949763329","0.0725075137949765"
"0 Not at all Willing to take risks","2004","secondary school degree","East Germany","71","0.0336576234275617","0.0263158900064514","0.040999356848672"
"0 Not at all Willing to take risks","2004","college entrance qualification","West Germany","125","0.0382013805921685","0.0324297242677087","0.0439730369166283"
"0 Not at all Willing to take risks","2004","college entrance qualification","East Germany","19","","",""
"0 Not at all Willing to take risks","2004","Other degree","West Germany","222","0.178394414396172","0.156052732760949","0.200736096031395"
"0 Not at all Willing to take risks","2004","Other degree","East Germany","4","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","West Germany","91","0.152423828278972","0.126041135025697","0.178806521532248"
"0 Not at all Willing to take risks","2004","no degree/no degree yet","East Germany","7","","",""
"1","2004","lower secondary degree","West Germany","418","0.0682436185970761","0.0619021052815677","0.0745851319125845"
"1","2004","lower secondary degree","East Germany","106","0.0811203548080311","0.0671873009058485","0.0950534087102138"
"1","2004","secondary school degree","West Germany","155","0.0423300469097713","0.0360614786326845","0.0485986151868582"
"1","2004","secondary school degree","East Germany","77","0.0390175282599518","0.0311347558997888","0.0469003006201148"
"1","2004","college entrance qualification","West Germany","111","0.0293169525066464","0.0242374989562707","0.0343964060570222"
"1","2004","college entrance qualification","East Germany","31","0.0304385973147287","0.0204266912714776","0.0404505033579797"
"1","2004","Other degree","West Germany","90","0.0966257430184763","0.0793842917213427","0.11386719431561"
"1","2004","Other degree","East Germany","5","","",""
"1","2004","no degree/no degree yet","West Germany","31","0.040076415802189","0.025679611741437","0.054473219862941"
"1","2004","no degree/no degree yet","East Germany","2","","",""
"2","2004","lower secondary degree","West Germany","703","0.115982702670444","0.107930073667296","0.124035331673592"
"2","2004","lower secondary degree","East Germany","191","0.13234505138632","0.115051688360748","0.149638414411893"
"2","2004","secondary school degree","West Germany","384","0.100606317790705","0.0912409767235987","0.109971658857812"
"2","2004","secondary school degree","East Germany","206","0.08892765280997","0.0773402468501424","0.100515058769798"
"2","2004","college entrance qualification","West Germany","360","0.0802964757867259","0.0721138813438217","0.0884790702296301"
"2","2004","college entrance qualification","East Germany","71","0.0575104780075983","0.0439420809960396","0.071078875019157"
"2","2004","Other degree","West Germany","140","0.123455483157471","0.104258378982865","0.142652587332077"
"2","2004","Other degree","East Germany","4","","",""
"2","2004","no degree/no degree yet","West Germany","59","0.0948876619205602","0.0733767193213361","0.116398604519784"
"2","2004","no degree/no degree yet","East Germany","4","","",""
"3","2004","lower secondary degree","West Germany","741","0.114128390119429","0.106132019133","0.122124761105858"
"3","2004","lower secondary degree","East Germany","227","0.15766451371136","0.139066712243263","0.176262315179457"
"3","2004","secondary school degree","West Germany","536","0.126957792348768","0.116592457031875","0.13732312766566"
"3","2004","secondary school degree","East Germany","268","0.127062818374658","0.113504928145547","0.140620708603769"
