"plh0204_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","1-pers.-HH","West Germany","271","0.13498107066222","0.120679688397899","0.149282452926541"
"0 Not at all Willing to take risks","2004","1-pers.-HH","East Germany","52","0.0749970262770261","0.055677673570968","0.0943163789830843"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","West Germany","568","0.122222087761059","0.113518149249309","0.130926026272808"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","East Germany","107","0.0648671577336371","0.0535364022985676","0.0761979131687067"
"0 Not at all Willing to take risks","2004","Single parent ","West Germany","90","0.142906651817654","0.118670028264756","0.167143275370552"
"0 Not at all Willing to take risks","2004","Single parent ","East Germany","6","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","West Germany","170","0.0496555491109143","0.0422506169795192","0.0570604812423094"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","East Germany","15","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","West Germany","191","0.0835936408747196","0.0732994831343435","0.0938877986150957"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","East Germany","52","0.0634055337508082","0.0491654938913253","0.0776455736102911"
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","West Germany","102","0.0917968835155685","0.0766504339033384","0.106943333127799"
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","East Germany","8","","",""
"1","2004","1-pers.-HH","West Germany","137","0.0635305157228288","0.0533219017769927","0.0737391296686649"
"1","2004","1-pers.-HH","East Germany","41","0.059870107361482","0.0424681566386101","0.0772720580843538"
"1","2004","(Married) couple without C. ","West Germany","293","0.0550513944397564","0.0489904975258097","0.061112291353703"
"1","2004","(Married) couple without C. ","East Germany","103","0.0644177078733597","0.0531235616346317","0.0757118541120877"
"1","2004","Single parent ","West Germany","34","0.0415521095720802","0.0277319637765897","0.0553722553675706"
"1","2004","Single parent ","East Germany","10","","",""
"1","2004","Couple + C. LE 16 ","West Germany","129","0.0430354457808066","0.0361178091557732","0.04995308240584"
"1","2004","Couple + C. LE 16 ","East Germany","17","","",""
"1","2004","Couple + C. GT 16 ","West Germany","135","0.0565563984829906","0.0479650962815953","0.065147700684386"
"1","2004","Couple + C. GT 16 ","East Germany","31","0.0374952339347691","0.02639425424919","0.0485962136203483"
"1","2004","Couple + C. LE and GT 16","West Germany","48","0.0385257137618637","0.0284297085608067","0.0486217189629206"
"1","2004","Couple + C. LE and GT 16","East Germany","9","","",""
"2","2004","1-pers.-HH","West Germany","241","0.118407097584472","0.104884762748845","0.131929432420099"
"2","2004","1-pers.-HH","East Germany","63","0.0796968546731762","0.0598320166040192","0.0995616927423331"
"2","2004","(Married) couple without C. ","West Germany","575","0.104160792315574","0.0960434135408158","0.112278171090332"
"2","2004","(Married) couple without C. ","East Germany","196","0.119479383161161","0.104557417824153","0.134401348498168"
"2","2004","Single parent ","West Germany","70","0.0903076130544704","0.070458491340785","0.110156734768156"
"2","2004","Single parent ","East Germany","26","","",""
"2","2004","Couple + C. LE 16 ","West Germany","341","0.102702795740397","0.0923548067807435","0.113050784700051"
"2","2004","Couple + C. LE 16 ","East Germany","60","0.0660083784398348","0.0482145944418286","0.0838021624378409"
"2","2004","Couple + C. GT 16 ","West Germany","248","0.0870119989175941","0.0765290792203212","0.097494918614867"
"2","2004","Couple + C. GT 16 ","East Germany","98","0.112330092712408","0.0938779996170702","0.130782185807746"
"2","2004","Couple + C. LE and GT 16","West Germany","119","0.0864160158490672","0.0716767198562705","0.101155311841864"
"2","2004","Couple + C. LE and GT 16","East Germany","26","","",""
"3","2004","1-pers.-HH","West Germany","256","0.122206765346516","0.108498815261337","0.135914715431695"
"3","2004","1-pers.-HH","East Germany","98","0.139868065343933","0.114426677119719","0.165309453568147"
"3","2004","(Married) couple without C. ","West Germany","723","0.126174206592534","0.117350595410328","0.134997817774741"
"3","2004","(Married) couple without C. ","East Germany","257","0.148070255323723","0.131730498840945","0.1644100118065"
"3","2004","Single parent ","West Germany","94","0.100842524159746","0.0799893789879997","0.121695669331492"
"3","2004","Single parent ","East Germany","22","","",""
"3","2004","Couple + C. LE 16 ","West Germany","453","0.130022290491944","0.11855767126222","0.141486909721668"
"3","2004","Couple + C. LE 16 ","East Germany","90","0.141492623564951","0.116515857437681","0.16646938969222"
"3","2004","Couple + C. GT 16 ","West Germany","331","0.123339491302395","0.111109477443625","0.135569505161165"
"3","2004","Couple + C. GT 16 ","East Germany","143","0.122501811153645","0.103343104006685","0.141660518300606"
"3","2004","Couple + C. LE and GT 16","West Germany","173","0.112662443391265","0.0960765298745353","0.129248356907994"
"3","2004","Couple + C. LE and GT 16","East Germany","45","0.141875788408389","0.107201902798064","0.176549674018715"
"4","2004","1-pers.-HH","West Germany","202","0.0936137677417282","0.0814223198231147","0.105805215660342"
"4","2004","1-pers.-HH","East Germany","79","0.117844186763107","0.0941944823436033","0.14149389118261"
"4","2004","(Married) couple without C. ","West Germany","599","0.102199050842659","0.0941496769191754","0.110248424766143"
"4","2004","(Married) couple without C. ","East Germany","217","0.11235500024161","0.0978263377725929","0.126883662710627"
"4","2004","Single parent ","West Germany","73","0.0881343278972951","0.0685020896954115","0.107766566099179"
"4","2004","Single parent ","East Germany","34","0.0909001133331114","0.0577574668989838","0.124042759767239"
"4","2004","Couple + C. LE 16 ","West Germany","394","0.118365560102502","0.107353879180405","0.129377241024599"
"4","2004","Couple + C. LE 16 ","East Germany","102","0.13767578869704","0.112983498717299","0.162368078676781"
"4","2004","Couple + C. GT 16 ","West Germany","280","0.100056062646431","0.0888954102172226","0.111216715075639"
"4","2004","Couple + C. GT 16 ","East Germany","121","0.109004392592096","0.0907934841500321","0.12721530103416"
"4","2004","Couple + C. LE and GT 16","West Germany","121","0.0882724634372462","0.0733908321141679","0.103154094760324"
"4","2004","Couple + C. LE and GT 16","East Germany","36","0.073739328917995","0.0477682798373068","0.0997103779986833"
"5","2004","1-pers.-HH","West Germany","439","0.200522671870407","0.183765003455975","0.217280340284839"
"5","2004","1-pers.-HH","East Germany","176","0.253058431958538","0.22116856510507","0.284948298812007"
"5","2004","(Married) couple without C. ","West Germany","1167","0.221961840441754","0.21091881052543","0.233004870358079"
"5","2004","(Married) couple without C. ","East Germany","417","0.226488639427019","0.207232627952717","0.245744650901321"
"5","2004","Single parent ","West Germany","181","0.20941325147003","0.181235347919384","0.237591155020676"
"5","2004","Single parent ","East Germany","62","0.260667002236102","0.210053983216501","0.311280021255704"
"5","2004","Couple + C. LE 16 ","West Germany","718","0.227277162299816","0.212991958536159","0.241562366063472"
"5","2004","Couple + C. LE 16 ","East Germany","179","0.220700128409975","0.190979985914558","0.250420270905393"
