"plh0204_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","no migration background","West Germany","1021","0.0979047689757447","0.0928309498761554","0.102978588075334","0"
"0 Not at all Willing to take risks","2004","no migration background","East Germany","240","0.0555577030026079","0.0492660646835333","0.0618493413216825","0"
"0 Not at all Willing to take risks","2004","direct migration background","West Germany","403","0.161105099463384","0.146470184470598","0.175740014456171","0"
"0 Not at all Willing to take risks","2004","direct migration background","East Germany","9","","","","0"
"0 Not at all Willing to take risks","2004","indirect migration background","West Germany","50","0.0774883836502515","0.0585422063928236","0.0964345609076794","0"
"0 Not at all Willing to take risks","2004","indirect migration background","East Germany","1","","","","0"
"1","2004","indirect migration background","West Germany","34","0.0393813122005865","0.0255984955000311","0.053164128901142","1"
"1","2004","direct migration background","West Germany","174","0.0756512055490709","0.065124132188683","0.0861782789094588","1"
"1","2004","no migration background","East Germany","216","0.0513874523233598","0.0453232054993251","0.0574516991473946","1"
"1","2004","direct migration background","East Germany","6","","","","1"
"1","2004","no migration background","West Germany","604","0.0510447405146865","0.0472871865124781","0.0548022945168949","1"
"1","2004","indirect migration background","East Germany","1","","","","1"
"10 Very willing to take risks","2004","direct migration background","West Germany","29","","","","10"
"10 Very willing to take risks","2004","no migration background","East Germany","38","0.00989237451224969","0.00717408711825105","0.0126106619062483","10"
"10 Very willing to take risks","2004","indirect migration background","West Germany","18","","","","10"
"10 Very willing to take risks","2004","indirect migration background","East Germany","1","","","","10"
"10 Very willing to take risks","2004","no migration background","West Germany","120","0.00907182403451896","0.0074530908890714","0.0106905571799665","10"
"10 Very willing to take risks","2004","direct migration background","East Germany","2","","","","10"
"2","2004","direct migration background","West Germany","301","0.122468437277459","0.109417994571752","0.135518879983167","2"
"2","2004","direct migration background","East Germany","11","","","","2"
"2","2004","indirect migration background","East Germany","4","","","","2"
"2","2004","no migration background","East Germany","467","0.0963832855459191","0.0882774668679517","0.104489104223887","2"
"2","2004","indirect migration background","West Germany","73","0.0927594053395019","0.0722025069775671","0.113316303701437","2"
"2","2004","no migration background","West Germany","1284","0.100548305333174","0.0954139826260716","0.105682628040277","2"
"3","2004","no migration background","East Germany","657","0.136413290185253","0.126986036140913","0.145840544229592","3"
"3","2004","direct migration background","East Germany","15","","","","3"
"3","2004","direct migration background","West Germany","294","0.120421469806224","0.107465466351645","0.133377473260802","3"
"3","2004","no migration background","West Germany","1695","0.122683111322788","0.117081957527065","0.128284265118512","3"
"3","2004","indirect migration background","West Germany","82","0.122375922040902","0.0991528522768999","0.145598991804905","3"
"3","2004","indirect migration background","East Germany","4","","","","3"
"4","2004","direct migration background","West Germany","226","0.0952062876591418","0.0835223458368689","0.106890229481415","4"
"4","2004","direct migration background","East Germany","9","","","","4"
"4","2004","indirect migration background","East Germany","4","","","","4"
"4","2004","no migration background","East Germany","592","0.111445265830395","0.10280202133371","0.12008851032708","4"
"4","2004","indirect migration background","West Germany","62","0.0754705185610511","0.0567522177311282","0.094188819390974","4"
"4","2004","no migration background","West Germany","1419","0.10246169825106","0.0972842694849476","0.107639127017172","4"
"5","2004","direct migration background","West Germany","430","0.184156466636481","0.168726012506396","0.199586920766567","5"
"5","2004","no migration background","East Germany","1188","0.232207656336631","0.220610165190211","0.243805147483051","5"
"5","2004","direct migration background","East Germany","22","","","","5"
"5","2004","indirect migration background","West Germany","149","0.17335262380611","0.146527438609812","0.200177809002407","5"
"5","2004","indirect migration background","East Germany","8","","","","5"
"5","2004","no migration background","West Germany","2913","0.22547670384501","0.218342016550023","0.232611391139996","5"
"6","2004","direct migration background","West Germany","207","0.0889147021611201","0.0775842278220444","0.100245176500196","6"
"6","2004","indirect migration background","East Germany","6","","","","6"
"6","2004","indirect migration background","West Germany","100","0.133230865674446","0.109150032049164","0.157311699299728","6"
"6","2004","no migration background","East Germany","600","0.108412313256193","0.0998729550771106","0.116951671435274","6"
"6","2004","direct migration background","East Germany","12","","","","6"
"6","2004","no migration background","West Germany","1436","0.103825997819644","0.0986181763305074","0.10903381930878","6"
"7","2004","no migration background","East Germany","606","0.108906961944602","0.100350519361252","0.117463404527953","7"
"7","2004","direct migration background","East Germany","13","","","","7"
"7","2004","indirect migration background","West Germany","104","0.131139382663707","0.107219502632584","0.155059262694829","7"
"7","2004","indirect migration background","East Germany","1","","","","7"
"7","2004","direct migration background","West Germany","181","0.0681761054308971","0.0581423202461064","0.0782098906156877","7"
"7","2004","no migration background","West Germany","1543","0.107764762159101","0.102470749992984","0.113058774325217","7"
"8","2004","no migration background","East Germany","398","0.0744195334571167","0.0672108748993625","0.081628192014871","8"
"8","2004","direct migration background","West Germany","139","0.0600119937599745","0.050556984312645","0.069467003207304","8"
