"plh0204_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","lower secondary degree","in school","","","",""
"0 Not at all Willing to take risks","2004","lower secondary degree","inadequately","","","",""
"0 Not at all Willing to take risks","2004","lower secondary degree","general elemantary","292","0.203204291281073","0.183609956924157","0.22279862563799"
"0 Not at all Willing to take risks","2004","lower secondary degree","middle vocational","598","0.126250691172196","0.117252783414594","0.135248598929799"
"0 Not at all Willing to take risks","2004","lower secondary degree","vocational + Abi","2","","",""
"0 Not at all Willing to take risks","2004","lower secondary degree","higher vocational","35","0.0771554866889599","0.05325933265196","0.10105164072596"
"0 Not at all Willing to take risks","2004","lower secondary degree","higher education","4","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","in school","","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","inadequately","","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","general elemantary","29","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","middle vocational","218","0.0603067736240332","0.0531590390094752","0.0674545082385912"
"0 Not at all Willing to take risks","2004","secondary school degree","vocational + Abi","6","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","higher vocational","21","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","higher education","22","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","in school","","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","inadequately","","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","general elemantary","","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","middle vocational","13","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","vocational + Abi","42","0.0518833192331732","0.0379258398910441","0.0658407985753022"
"0 Not at all Willing to take risks","2004","college entrance qualification","higher vocational","13","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","higher education","76","0.0314505701434309","0.0254584423475585","0.0374426979393034"
"0 Not at all Willing to take risks","2004","Other degree","in school","","","",""
"0 Not at all Willing to take risks","2004","Other degree","inadequately","6","","",""
"0 Not at all Willing to take risks","2004","Other degree","general elemantary","108","0.272812331826626","0.226348396534841","0.31927626711841"
"0 Not at all Willing to take risks","2004","Other degree","middle vocational","69","0.158280534370854","0.123496868819303","0.193064199922405"
"0 Not at all Willing to take risks","2004","Other degree","vocational + Abi","19","","",""
"0 Not at all Willing to take risks","2004","Other degree","higher vocational","9","","",""
"0 Not at all Willing to take risks","2004","Other degree","higher education","15","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","in school","19","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","inadequately","73","0.315868099274986","0.252845290836569","0.378890907713403"
"0 Not at all Willing to take risks","2004","no degree/no degree yet","general elemantary","","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","middle vocational","6","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","higher vocational","","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","higher education","","","",""
"1","2004","lower secondary degree","in school","","","",""
"1","2004","lower secondary degree","inadequately","","","",""
"1","2004","lower secondary degree","general elemantary","154","0.0924314837219546","0.0783275500521125","0.106535417391797"
"1","2004","lower secondary degree","middle vocational","332","0.0658761249266881","0.0591556882975997","0.0725965615557765"
"1","2004","lower secondary degree","vocational + Abi","3","","",""
"1","2004","lower secondary degree","higher vocational","28","","",""
"1","2004","lower secondary degree","higher education","7","","",""
"1","2004","secondary school degree","in school","","","",""
"1","2004","secondary school degree","inadequately","","","",""
"1","2004","secondary school degree","general elemantary","24","","",""
"1","2004","secondary school degree","middle vocational","161","0.04348218245618","0.0373587557624268","0.0496056091499333"
"1","2004","secondary school degree","vocational + Abi","3","","",""
"1","2004","secondary school degree","higher vocational","21","","",""
"1","2004","secondary school degree","higher education","23","","",""
"1","2004","college entrance qualification","in school","","","",""
"1","2004","college entrance qualification","inadequately","","","",""
"1","2004","college entrance qualification","general elemantary","","","",""
"1","2004","college entrance qualification","middle vocational","10","","",""
"1","2004","college entrance qualification","vocational + Abi","30","0.0271423364268242","0.0169162257050112","0.0373684471486372"
"1","2004","college entrance qualification","higher vocational","14","","",""
"1","2004","college entrance qualification","higher education","88","0.0346394772553012","0.0283612599603354","0.0409176945502671"
"1","2004","Other degree","in school","","","",""
"1","2004","Other degree","inadequately","1","","",""
"1","2004","Other degree","general elemantary","39","0.138071236000612","0.102084038139271","0.174058433861953"
"1","2004","Other degree","middle vocational","38","0.117230328702027","0.0865738971742258","0.147886760229828"
"1","2004","Other degree","vocational + Abi","8","","",""
"1","2004","Other degree","higher vocational","1","","",""
"1","2004","Other degree","higher education","8","","",""
"1","2004","no degree/no degree yet","in school","10","","",""
"1","2004","no degree/no degree yet","inadequately","22","","",""
"1","2004","no degree/no degree yet","general elemantary","","","",""
"1","2004","no degree/no degree yet","middle vocational","1","","",""
"1","2004","no degree/no degree yet","vocational + Abi","","","",""
"1","2004","no degree/no degree yet","higher vocational","","","",""
"1","2004","no degree/no degree yet","higher education","","","",""
"2","2004","lower secondary degree","in school","","","",""
"2","2004","lower secondary degree","inadequately","","","",""
"2","2004","lower secondary degree","general elemantary","220","0.134552429983423","0.117935272418617","0.151169587548229"
"2","2004","lower secondary degree","middle vocational","601","0.112743704164809","0.104175260880893","0.121312147448724"
"2","2004","lower secondary degree","vocational + Abi","2","","",""
"2","2004","lower secondary degree","higher vocational","57","0.131400943668863","0.101146494312892","0.161655393024834"
"2","2004","lower secondary degree","higher education","14","","",""
"2","2004","secondary school degree","in school","","","",""
"2","2004","secondary school degree","inadequately","","","",""
"2","2004","secondary school degree","general elemantary","44","0.0836725159909034","0.0616265796281047","0.105718452353702"
"2","2004","secondary school degree","middle vocational","398","0.0943239571771647","0.08554809548646","0.103099818867869"
"2","2004","secondary school degree","vocational + Abi","6","","",""
"2","2004","secondary school degree","higher vocational","82","0.10578701954422","0.0834757986195062","0.128098240468933"
"2","2004","secondary school degree","higher education","60","0.111064448108929","0.0868156117371944","0.135313284480663"
"2","2004","college entrance qualification","in school","","","",""
"2","2004","college entrance qualification","inadequately","","","",""
"2","2004","college entrance qualification","general elemantary","","","",""
"2","2004","college entrance qualification","middle vocational","53","0.0568059968096358","0.0404884092408283","0.0731235843784433"
"2","2004","college entrance qualification","vocational + Abi","72","0.085794453064716","0.0681700768464814","0.103418829282951"
"2","2004","college entrance qualification","higher vocational","25","","",""
"2","2004","college entrance qualification","higher education","281","0.0818528771877883","0.0724409399065659","0.0912648144690107"
"2","2004","Other degree","in school","","","",""
"2","2004","Other degree","inadequately","2","","",""
"2","2004","Other degree","general elemantary","57","0.193523724490196","0.152311729039025","0.234735719941367"
"2","2004","Other degree","middle vocational","47","0.100987462297744","0.0722734084109772","0.129701516184512"
"2","2004","Other degree","vocational + Abi","13","","",""
"2","2004","Other degree","higher vocational","7","","",""
"2","2004","Other degree","higher education","18","","",""
"2","2004","no degree/no degree yet","in school","28","","",""
"2","2004","no degree/no degree yet","inadequately","30","0.142431653221832","0.0950497417567902","0.189813564686874"
"2","2004","no degree/no degree yet","general elemantary","","","",""
"2","2004","no degree/no degree yet","middle vocational","5","","",""
"2","2004","no degree/no degree yet","vocational + Abi","","","",""
"2","2004","no degree/no degree yet","higher vocational","","","",""
"2","2004","no degree/no degree yet","higher education","","","",""
"3","2004","lower secondary degree","in school","","","",""
"3","2004","lower secondary degree","inadequately","","","",""
"3","2004","lower secondary degree","general elemantary","210","0.121195737923257","0.105303672850985","0.13708780299553"
"3","2004","lower secondary degree","middle vocational","675","0.121483042375527","0.112632617171338","0.130333467579716"
"3","2004","lower secondary degree","vocational + Abi","4","","",""
"3","2004","lower secondary degree","higher vocational","55","0.105536317269603","0.0780217518390051","0.133050882700201"
"3","2004","lower secondary degree","higher education","24","","",""
"3","2004","secondary school degree","in school","","","",""
"3","2004","secondary school degree","inadequately","","","",""
"3","2004","secondary school degree","general elemantary","68","0.119838523112614","0.0939807463836897","0.145696299841538"
"3","2004","secondary school degree","middle vocational","554","0.130511487745028","0.120396889938088","0.140626085551968"
"3","2004","secondary school degree","vocational + Abi","4","","",""
"3","2004","secondary school degree","higher vocational","98","0.119718639551393","0.0961693233852286","0.143267955717558"
"3","2004","secondary school degree","higher education","80","0.123625951805446","0.0982239576324017","0.149027945978491"
"3","2004","college entrance qualification","in school","","","",""
"3","2004","college entrance qualification","inadequately","","","",""
"3","2004","college entrance qualification","general elemantary","","","",""
"3","2004","college entrance qualification","middle vocational","67","0.10780243604791","0.0859397686376368","0.129665103458183"
"3","2004","college entrance qualification","vocational + Abi","140","0.133471096992714","0.112069441668274","0.154872752317155"
"3","2004","college entrance qualification","higher vocational","51","0.105350018460816","0.0738977890301492","0.136802247891483"
"3","2004","college entrance qualification","higher education","444","0.140784033081517","0.128843223260281","0.152724842902754"
"3","2004","Other degree","in school","","","",""
"3","2004","Other degree","inadequately","2","","",""
"3","2004","Other degree","general elemantary","44","0.130647957166608","0.0954911125498785","0.165804801783337"
"3","2004","Other degree","middle vocational","61","0.146936925703747","0.11319778995825","0.180676061449245"
"3","2004","Other degree","vocational + Abi","17","","",""
"3","2004","Other degree","higher vocational","9","","",""
"3","2004","Other degree","higher education","18","","",""
"3","2004","no degree/no degree yet","in school","59","0.0894324119830048","0.0671666800048573","0.111698143961152"
"3","2004","no degree/no degree yet","inadequately","18","","",""
"3","2004","no degree/no degree yet","general elemantary","","","",""
"3","2004","no degree/no degree yet","middle vocational","10","","",""
"3","2004","no degree/no degree yet","vocational + Abi","","","",""
"3","2004","no degree/no degree yet","higher vocational","3","","",""
"3","2004","no degree/no degree yet","higher education","","","",""
"4","2004","lower secondary degree","in school","","","",""
"4","2004","lower secondary degree","inadequately","","","",""
"4","2004","lower secondary degree","general elemantary","156","0.101350077054462","0.0866541192594201","0.116046034849504"
