"plh0204_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","lower secondary degree","(0) in school","","","",""
"0 Not at all Willing to take risks","2004","lower secondary degree","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2004","lower secondary degree","(1b) general elementary school","292","0.203710740758878","0.184080054869518","0.223341426648237"
"0 Not at all Willing to take risks","2004","lower secondary degree","(1c) basic vocational qualification","629","0.121658936161941","0.113154794256968","0.130163078066914"
"0 Not at all Willing to take risks","2004","lower secondary degree","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2004","lower secondary degree","(2a) intermediate vocational","2","","",""
"0 Not at all Willing to take risks","2004","lower secondary degree","(2c_gen) general maturity certificate","2","","",""
"0 Not at all Willing to take risks","2004","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"0 Not at all Willing to take risks","2004","lower secondary degree","(3a) lower tertiary education","3","","",""
"0 Not at all Willing to take risks","2004","lower secondary degree","(3b) higher tertiary education","1","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","(0) in school","","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","(1b) general elementary school","","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","(1c) basic vocational qualification","","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","(2b) intermediate general qualification","29","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","(2a) intermediate vocational","239","0.0550044174861097","0.0486742336668396","0.0613346013053798"
"0 Not at all Willing to take risks","2004","secondary school degree","(2c_gen) general maturity certificate","","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","(2c_voc) vocational maturity certificate","6","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","(3a) lower tertiary education","19","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","(3b) higher tertiary education","3","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","(0) in school","","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","(1b) general elementary school","","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","(1c) basic vocational qualification","","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","(2c_gen) general maturity certificate","13","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","(2c_voc) vocational maturity certificate","55","0.0507460840734543","0.0389771446365196","0.0625150235103891"
"0 Not at all Willing to take risks","2004","college entrance qualification","(3a) lower tertiary education","26","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","(3b) higher tertiary education","50","0.0304477467581107","0.0233656639701777","0.0375298295460438"
"0 Not at all Willing to take risks","2004","Other degree","(0) in school","","","",""
"0 Not at all Willing to take risks","2004","Other degree","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2004","Other degree","(1b) general elementary school","114","0.262241521106226","0.218475198162926","0.306007844049527"
"0 Not at all Willing to take risks","2004","Other degree","(1c) basic vocational qualification","63","0.158542092266188","0.122384995777544","0.194699188754832"
"0 Not at all Willing to take risks","2004","Other degree","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2004","Other degree","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2004","Other degree","(2c_gen) general maturity certificate","10","","",""
"0 Not at all Willing to take risks","2004","Other degree","(2c_voc) vocational maturity certificate","24","","",""
"0 Not at all Willing to take risks","2004","Other degree","(3a) lower tertiary education","2","","",""
"0 Not at all Willing to take risks","2004","Other degree","(3b) higher tertiary education","13","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","(0) in school","19","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","(1a) inadequately completed","79","0.269974731405422","0.216115724335632","0.323833738475211"
"0 Not at all Willing to take risks","2004","no degree/no degree yet","(1b) general elementary school","","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","(3a) lower tertiary education","","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","(3b) higher tertiary education","","","",""
"1","2004","lower secondary degree","(0) in school","","","",""
"1","2004","lower secondary degree","(1a) inadequately completed","","","",""
"1","2004","lower secondary degree","(1b) general elementary school","154","0.0926618522656922","0.0785290541565366","0.106794650374848"
"1","2004","lower secondary degree","(1c) basic vocational qualification","356","0.0641539200094749","0.057779499502724","0.0705283405162258"
"1","2004","lower secondary degree","(2b) intermediate general qualification","","","",""
"1","2004","lower secondary degree","(2a) intermediate vocational","1","","",""
"1","2004","lower secondary degree","(2c_gen) general maturity certificate","2","","",""
"1","2004","lower secondary degree","(2c_voc) vocational maturity certificate","4","","",""
"1","2004","lower secondary degree","(3a) lower tertiary education","6","","",""
"1","2004","lower secondary degree","(3b) higher tertiary education","1","","",""
"1","2004","secondary school degree","(0) in school","","","",""
"1","2004","secondary school degree","(1a) inadequately completed","","","",""
"1","2004","secondary school degree","(1b) general elementary school","","","",""
"1","2004","secondary school degree","(1c) basic vocational qualification","","","",""
"1","2004","secondary school degree","(2b) intermediate general qualification","24","","",""
