"plh0204_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"9","2007","66 and older","(2b) intermediate general qualification","","","",""
"9","2007","66 and older","(2a) intermediate vocational","","","",""
"9","2007","66 and older","(2c_gen) general maturity certificate","","","",""
"9","2007","66 and older","(2c_voc) vocational maturity certificate","","","",""
"9","2007","66 and older","(3a) lower tertiary education","","","",""
"9","2007","66 and older","(3b) higher tertiary education","","","",""
"10 Very willing to take risks","2007","16-34 y.","(0) in school","","","",""
"10 Very willing to take risks","2007","16-34 y.","(1a) inadequately completed","","","",""
"10 Very willing to take risks","2007","16-34 y.","(1b) general elementary school","","","",""
"10 Very willing to take risks","2007","16-34 y.","(1c) basic vocational qualification","","","",""
"10 Very willing to take risks","2007","16-34 y.","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2007","16-34 y.","(2a) intermediate vocational","","","",""
"10 Very willing to take risks","2007","16-34 y.","(2c_gen) general maturity certificate","","","",""
"10 Very willing to take risks","2007","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2007","16-34 y.","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2007","16-34 y.","(3b) higher tertiary education","","","",""
"10 Very willing to take risks","2007","35-65 y.","(0) in school","","","",""
"10 Very willing to take risks","2007","35-65 y.","(1a) inadequately completed","","","",""
"10 Very willing to take risks","2007","35-65 y.","(1b) general elementary school","","","",""
"10 Very willing to take risks","2007","35-65 y.","(1c) basic vocational qualification","","","",""
"10 Very willing to take risks","2007","35-65 y.","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2007","35-65 y.","(2a) intermediate vocational","","","",""
"10 Very willing to take risks","2007","35-65 y.","(2c_gen) general maturity certificate","","","",""
"10 Very willing to take risks","2007","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2007","35-65 y.","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2007","35-65 y.","(3b) higher tertiary education","","","",""
"10 Very willing to take risks","2007","66 and older","(0) in school","","","",""
"10 Very willing to take risks","2007","66 and older","(1a) inadequately completed","","","",""
"10 Very willing to take risks","2007","66 and older","(1b) general elementary school","","","",""
"10 Very willing to take risks","2007","66 and older","(1c) basic vocational qualification","","","",""
"10 Very willing to take risks","2007","66 and older","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2007","66 and older","(2a) intermediate vocational","","","",""
"10 Very willing to take risks","2007","66 and older","(2c_gen) general maturity certificate","","","",""
"10 Very willing to take risks","2007","66 and older","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2007","66 and older","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2007","66 and older","(3b) higher tertiary education","","","",""
"0 Not at all Willing to take risks","2008","16-34 y.","(0) in school","5","","",""
"0 Not at all Willing to take risks","2008","16-34 y.","(1a) inadequately completed","1","","",""
"0 Not at all Willing to take risks","2008","16-34 y.","(1b) general elementary school","19","","",""
"0 Not at all Willing to take risks","2008","16-34 y.","(1c) basic vocational qualification","10","","",""
"0 Not at all Willing to take risks","2008","16-34 y.","(2b) intermediate general qualification","7","","",""
"0 Not at all Willing to take risks","2008","16-34 y.","(2a) intermediate vocational","18","","",""
"0 Not at all Willing to take risks","2008","16-34 y.","(2c_gen) general maturity certificate","7","","",""
"0 Not at all Willing to take risks","2008","16-34 y.","(2c_voc) vocational maturity certificate","8","","",""
"0 Not at all Willing to take risks","2008","16-34 y.","(3a) lower tertiary education","2","","",""
"0 Not at all Willing to take risks","2008","16-34 y.","(3b) higher tertiary education","5","","",""
"0 Not at all Willing to take risks","2008","35-65 y.","(0) in school","","","",""
"0 Not at all Willing to take risks","2008","35-65 y.","(1a) inadequately completed","13","","",""
"0 Not at all Willing to take risks","2008","35-65 y.","(1b) general elementary school","56","0.103525515387269","0.0789436547357893","0.128107376038748"
"0 Not at all Willing to take risks","2008","35-65 y.","(1c) basic vocational qualification","165","0.0571669001413759","0.0486805900173616","0.0656532102653902"
"0 Not at all Willing to take risks","2008","35-65 y.","(2b) intermediate general qualification","1","","",""
"0 Not at all Willing to take risks","2008","35-65 y.","(2a) intermediate vocational","119","0.0401407357314453","0.0333450933104559","0.0469363781524348"
"0 Not at all Willing to take risks","2008","35-65 y.","(2c_gen) general maturity certificate","5","","",""
"0 Not at all Willing to take risks","2008","35-65 y.","(2c_voc) vocational maturity certificate","23","","",""
"0 Not at all Willing to take risks","2008","35-65 y.","(3a) lower tertiary education","15","","",""
"0 Not at all Willing to take risks","2008","35-65 y.","(3b) higher tertiary education","28","","",""
"0 Not at all Willing to take risks","2008","66 and older","(0) in school","","","",""
"0 Not at all Willing to take risks","2008","66 and older","(1a) inadequately completed","14","","",""
"0 Not at all Willing to take risks","2008","66 and older","(1b) general elementary school","97","0.14892583255347","0.122552331019395","0.175299334087545"
"0 Not at all Willing to take risks","2008","66 and older","(1c) basic vocational qualification","166","0.0953244865050125","0.0823237274241676","0.108325245585857"
"0 Not at all Willing to take risks","2008","66 and older","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2008","66 and older","(2a) intermediate vocational","32","0.0638367886612023","0.0428252566012747","0.0848483207211298"
"0 Not at all Willing to take risks","2008","66 and older","(2c_gen) general maturity certificate","3","","",""
"0 Not at all Willing to take risks","2008","66 and older","(2c_voc) vocational maturity certificate","12","","",""
"0 Not at all Willing to take risks","2008","66 and older","(3a) lower tertiary education","12","","",""
"0 Not at all Willing to take risks","2008","66 and older","(3b) higher tertiary education","14","","",""
"1","2008","16-34 y.","(0) in school","5","","",""
"1","2008","16-34 y.","(1a) inadequately completed","1","","",""
"1","2008","16-34 y.","(1b) general elementary school","12","","",""
"1","2008","16-34 y.","(1c) basic vocational qualification","15","","",""
"1","2008","16-34 y.","(2b) intermediate general qualification","10","","",""
"1","2008","16-34 y.","(2a) intermediate vocational","24","","",""
"1","2008","16-34 y.","(2c_gen) general maturity certificate","14","","",""
"1","2008","16-34 y.","(2c_voc) vocational maturity certificate","16","","",""
"1","2008","16-34 y.","(3a) lower tertiary education","4","","",""
"1","2008","16-34 y.","(3b) higher tertiary education","8","","",""
"1","2008","35-65 y.","(0) in school","","","",""
"1","2008","35-65 y.","(1a) inadequately completed","11","","",""
"1","2008","35-65 y.","(1b) general elementary school","51","0.0940515623942159","0.070497987490432","0.117605137298"
"1","2008","35-65 y.","(1c) basic vocational qualification","141","0.0500913027296269","0.0421177611768834","0.0580648442823704"
"1","2008","35-65 y.","(2b) intermediate general qualification","6","","",""
"1","2008","35-65 y.","(2a) intermediate vocational","150","0.0437228198328053","0.0366436871570974","0.0508019525085132"
"1","2008","35-65 y.","(2c_gen) general maturity certificate","3","","",""
"1","2008","35-65 y.","(2c_voc) vocational maturity certificate","47","0.0460122953351851","0.0320663846231759","0.0599582060471943"
"1","2008","35-65 y.","(3a) lower tertiary education","39","0.0336071450818733","0.022783689163319","0.0444306010004275"
"1","2008","35-65 y.","(3b) higher tertiary education","61","0.037808422956181","0.0288102828296718","0.0468065630826903"
"1","2008","66 and older","(0) in school","","","",""
"1","2008","66 and older","(1a) inadequately completed","10","","",""
"1","2008","66 and older","(1b) general elementary school","96","0.145715097501066","0.119578279588716","0.171851915413417"
"1","2008","66 and older","(1c) basic vocational qualification","215","0.109069808686727","0.0952693294131546","0.122870287960299"
"1","2008","66 and older","(2b) intermediate general qualification","6","","",""
"1","2008","66 and older","(2a) intermediate vocational","37","0.0712263559399771","0.0491197676297028","0.0933329442502514"
"1","2008","66 and older","(2c_gen) general maturity certificate","2","","",""
"1","2008","66 and older","(2c_voc) vocational maturity certificate","7","","",""
"1","2008","66 and older","(3a) lower tertiary education","16","","",""
"1","2008","66 and older","(3b) higher tertiary education","23","","",""
"2","2008","16-34 y.","(0) in school","14","","",""
"2","2008","16-34 y.","(1a) inadequately completed","6","","",""
"2","2008","16-34 y.","(1b) general elementary school","23","","",""
"2","2008","16-34 y.","(1c) basic vocational qualification","47","0.118563558576901","0.0880791810546725","0.14904793609913"
"2","2008","16-34 y.","(2b) intermediate general qualification","28","","",""
"2","2008","16-34 y.","(2a) intermediate vocational","95","0.0918998951355703","0.07326308369036","0.110536706580781"
"2","2008","16-34 y.","(2c_gen) general maturity certificate","58","0.0961034072031726","0.0724611088972382","0.119745705509107"
"2","2008","16-34 y.","(2c_voc) vocational maturity certificate","44","0.0906822283511241","0.0630546401575009","0.118309816544747"
"2","2008","16-34 y.","(3a) lower tertiary education","14","","",""
"2","2008","16-34 y.","(3b) higher tertiary education","41","0.109940094168083","0.0763924112989454","0.14348777703722"
"2","2008","35-65 y.","(0) in school","","","",""
"2","2008","35-65 y.","(1a) inadequately completed","12","","",""
"2","2008","35-65 y.","(1b) general elementary school","89","0.161007229763611","0.131350457426325","0.190664002100898"
"2","2008","35-65 y.","(1c) basic vocational qualification","372","0.132613292640742","0.120215936518104","0.145010648763379"
"2","2008","35-65 y.","(2b) intermediate general qualification","12","","",""
"2","2008","35-65 y.","(2a) intermediate vocational","410","0.123280955259014","0.111899120141973","0.134662790376054"
"2","2008","35-65 y.","(2c_gen) general maturity certificate","19","","",""
"2","2008","35-65 y.","(2c_voc) vocational maturity certificate","106","0.122120893970927","0.100326194440268","0.143915593501586"
"2","2008","35-65 y.","(3a) lower tertiary education","115","0.102949517380855","0.0846982138927178","0.121200820868993"
"2","2008","35-65 y.","(3b) higher tertiary education","188","0.10638336779566","0.0918374816342946","0.120929253957026"
"2","2008","66 and older","(0) in school","","","",""
"2","2008","66 and older","(1a) inadequately completed","5","","",""
"2","2008","66 and older","(1b) general elementary school","132","0.186175857039096","0.157340453294863","0.215011260783329"
"2","2008","66 and older","(1c) basic vocational qualification","315","0.153639558873374","0.137675281707225","0.169603836039523"
"2","2008","66 and older","(2b) intermediate general qualification","5","","",""
"2","2008","66 and older","(2a) intermediate vocational","70","0.140918072667305","0.111012848791942","0.170823296542669"
"2","2008","66 and older","(2c_gen) general maturity certificate","2","","",""
"2","2008","66 and older","(2c_voc) vocational maturity certificate","24","","",""
"2","2008","66 and older","(3a) lower tertiary education","41","0.109481515097776","0.0781696975008665","0.140793332694685"
"2","2008","66 and older","(3b) higher tertiary education","43","0.102145590823281","0.0753860712607375","0.128905110385825"
"3","2008","16-34 y.","(0) in school","49","0.174144871039668","0.134750844677323","0.213538897402013"
"3","2008","16-34 y.","(1a) inadequately completed","5","","",""
"3","2008","16-34 y.","(1b) general elementary school","20","","",""
"3","2008","16-34 y.","(1c) basic vocational qualification","50","0.120023768993052","0.0893776616380903","0.150669876348013"
"3","2008","16-34 y.","(2b) intermediate general qualification","38","0.107750183581594","0.0753127283496169","0.140187638813571"
"3","2008","16-34 y.","(2a) intermediate vocational","140","0.168189816409645","0.144059711767939","0.192319921051351"
"3","2008","16-34 y.","(2c_gen) general maturity certificate","87","0.124634820221618","0.0981391289401524","0.151130511503084"
"3","2008","16-34 y.","(2c_voc) vocational maturity certificate","81","0.216507544250188","0.176881751006221","0.256133337494155"
"3","2008","16-34 y.","(3a) lower tertiary education","30","0.164545146001926","0.112770276977667","0.216320015026185"
"3","2008","16-34 y.","(3b) higher tertiary education","47","0.109669774265741","0.0761582724525055","0.143181276078977"
"3","2008","35-65 y.","(0) in school","","","",""
"3","2008","35-65 y.","(1a) inadequately completed","14","","",""
"3","2008","35-65 y.","(1b) general elementary school","77","0.101923878624759","0.077511132723234","0.126336624526284"
"3","2008","35-65 y.","(1c) basic vocational qualification","448","0.154584884169754","0.141370477034429","0.167799291305078"
"3","2008","35-65 y.","(2b) intermediate general qualification","18","","",""
"3","2008","35-65 y.","(2a) intermediate vocational","516","0.15063533738491","0.138251803394033","0.163018871375788"
"3","2008","35-65 y.","(2c_gen) general maturity certificate","16","","",""
"3","2008","35-65 y.","(2c_voc) vocational maturity certificate","128","0.140582786186999","0.117445807873282","0.163719764500716"
"3","2008","35-65 y.","(3a) lower tertiary education","187","0.188744889027901","0.165243712199312","0.21224606585649"
"3","2008","35-65 y.","(3b) higher tertiary education","282","0.16189330300551","0.144515623124594","0.179270982886426"
"3","2008","66 and older","(0) in school","","","",""
"3","2008","66 and older","(1a) inadequately completed","8","","",""
"3","2008","66 and older","(1b) general elementary school","119","0.146214545773537","0.120040627832866","0.172388463714208"
"3","2008","66 and older","(1c) basic vocational qualification","279","0.139590530146293","0.124247871435274","0.154933188857311"
"3","2008","66 and older","(2b) intermediate general qualification","9","","",""
"3","2008","66 and older","(2a) intermediate vocational","75","0.136985141698816","0.107432773621161","0.166537509776471"
"3","2008","66 and older","(2c_gen) general maturity certificate","3","","",""
"3","2008","66 and older","(2c_voc) vocational maturity certificate","23","","",""
"3","2008","66 and older","(3a) lower tertiary education","56","0.21122849236644","0.170295992749955","0.252160991982926"
"3","2008","66 and older","(3b) higher tertiary education","59","0.112375845692753","0.0844686253034464","0.14028306608206"
"4","2008","16-34 y.","(0) in school","44","0.139273409596549","0.103307602893","0.175239216300097"
"4","2008","16-34 y.","(1a) inadequately completed","1","","",""
"4","2008","16-34 y.","(1b) general elementary school","16","","",""
"4","2008","16-34 y.","(1c) basic vocational qualification","49","0.096944158263495","0.0690428644233074","0.124845452103683"
"4","2008","16-34 y.","(2b) intermediate general qualification","28","","",""
"4","2008","16-34 y.","(2a) intermediate vocational","118","0.122145198270396","0.101020195021504","0.143270201519289"
"4","2008","16-34 y.","(2c_gen) general maturity certificate","70","0.0940263536068399","0.0706140846285994","0.11743862258508"
"4","2008","16-34 y.","(2c_voc) vocational maturity certificate","57","0.15189634929442","0.117364313927933","0.186428384660907"
"4","2008","16-34 y.","(3a) lower tertiary education","24","","",""
"4","2008","16-34 y.","(3b) higher tertiary education","49","0.141714135021351","0.104311911362657","0.179116358680045"
"4","2008","35-65 y.","(0) in school","","","",""
"4","2008","35-65 y.","(1a) inadequately completed","14","","",""
"4","2008","35-65 y.","(1b) general elementary school","68","0.11872593449744","0.0926253412669367","0.144826527727944"
"4","2008","35-65 y.","(1c) basic vocational qualification","304","0.107149891622312","0.0958437528322334","0.118456030412391"
"4","2008","35-65 y.","(2b) intermediate general qualification","6","","",""
"4","2008","35-65 y.","(2a) intermediate vocational","380","0.125615154180402","0.114141377228279","0.137088931132525"
"4","2008","35-65 y.","(2c_gen) general maturity certificate","14","","",""
"4","2008","35-65 y.","(2c_voc) vocational maturity certificate","123","0.148038336236463","0.124398978846821","0.171677693626106"
"4","2008","35-65 y.","(3a) lower tertiary education","131","0.123936845385956","0.104147054115826","0.143726636656087"
"4","2008","35-65 y.","(3b) higher tertiary education","205","0.118055317094917","0.102832636168059","0.133277998021776"
"4","2008","66 and older","(0) in school","","","",""
"4","2008","66 and older","(1a) inadequately completed","4","","",""
"4","2008","66 and older","(1b) general elementary school","56","0.0747512287642455","0.0552690511886998","0.0942334063397912"
"4","2008","66 and older","(1c) basic vocational qualification","217","0.115341833850316","0.101200146652891","0.129483521047741"
"4","2008","66 and older","(2b) intermediate general qualification","5","","",""
"4","2008","66 and older","(2a) intermediate vocational","61","0.096611203242535","0.071219167838838","0.122003238646232"
"4","2008","66 and older","(2c_gen) general maturity certificate","3","","",""
"4","2008","66 and older","(2c_voc) vocational maturity certificate","18","","",""
"4","2008","66 and older","(3a) lower tertiary education","39","0.087504389345742","0.059167855826966","0.115840922864518"
"4","2008","66 and older","(3b) higher tertiary education","48","0.0958547805438437","0.0698417157056953","0.121867845381992"
"5","2008","16-34 y.","(0) in school","70","0.193471448769486","0.152437679985528","0.234505217553444"
"5","2008","16-34 y.","(1a) inadequately completed","8","","",""
"5","2008","16-34 y.","(1b) general elementary school","62","0.224436828603345","0.176987997626321","0.271885659580369"
"5","2008","16-34 y.","(1c) basic vocational qualification","87","0.199677085794458","0.161980418360996","0.237373753227919"
"5","2008","16-34 y.","(2b) intermediate general qualification","87","0.274098351586412","0.227433849529702","0.320762853643122"
"5","2008","16-34 y.","(2a) intermediate vocational","191","0.203381835326537","0.177414437941797","0.229349232711278"
"5","2008","16-34 y.","(2c_gen) general maturity certificate","119","0.218859835645364","0.185692663550244","0.252027007740484"
"5","2008","16-34 y.","(2c_voc) vocational maturity certificate","61","0.132310457899458","0.0997115305220927","0.164909385276823"
"5","2008","16-34 y.","(3a) lower tertiary education","41","0.207844714661717","0.15118301044963","0.264506418873803"
"5","2008","16-34 y.","(3b) higher tertiary education","63","0.20350404953199","0.16032697915649","0.246681119907489"
"5","2008","35-65 y.","(0) in school","","","",""
"5","2008","35-65 y.","(1a) inadequately completed","16","","",""
"5","2008","35-65 y.","(1b) general elementary school","113","0.171298805901865","0.140897080269207","0.201700531534522"
"5","2008","35-65 y.","(1c) basic vocational qualification","616","0.222744708912441","0.207535216926663","0.237954200898219"
"5","2008","35-65 y.","(2b) intermediate general qualification","15","","",""
"5","2008","35-65 y.","(2a) intermediate vocational","680","0.208840677916664","0.194768102133921","0.222913253699407"
"5","2008","35-65 y.","(2c_gen) general maturity certificate","16","","",""
"5","2008","35-65 y.","(2c_voc) vocational maturity certificate","164","0.20629974492285","0.179364796533697","0.233234693312004"
"5","2008","35-65 y.","(3a) lower tertiary education","205","0.18652093704646","0.163126625387464","0.209915248705457"
"5","2008","35-65 y.","(3b) higher tertiary education","307","0.197054556799644","0.178288891965064","0.215820221634225"
"5","2008","66 and older","(0) in school","","","",""
"5","2008","66 and older","(1a) inadequately completed","11","","",""
"5","2008","66 and older","(1b) general elementary school","95","0.141822025864472","0.115978034020643","0.167666017708301"
"5","2008","66 and older","(1c) basic vocational qualification","356","0.177992400920669","0.161058434191099","0.194926367650239"
"5","2008","66 and older","(2b) intermediate general qualification","8","","",""
"5","2008","66 and older","(2a) intermediate vocational","118","0.227994293056143","0.191934879222014","0.264053706890273"
"5","2008","66 and older","(2c_gen) general maturity certificate","4","","",""
"5","2008","66 and older","(2c_voc) vocational maturity certificate","35","0.191730436730694","0.131664291448673","0.251796582012714"
"5","2008","66 and older","(3a) lower tertiary education","83","0.200550868912218","0.160397304729225","0.24070443309521"
"5","2008","66 and older","(3b) higher tertiary education","114","0.236936112728981","0.199364345813106","0.274507879644856"
"6","2008","16-34 y.","(0) in school","43","0.105404825801724","0.073506593610632","0.137303057992817"
"6","2008","16-34 y.","(1a) inadequately completed","2","","",""
"6","2008","16-34 y.","(1b) general elementary school","38","0.123090455730763","0.0857259316742581","0.160454979787268"
"6","2008","16-34 y.","(1c) basic vocational qualification","50","0.12664259540029","0.0952814351156674","0.158003755684913"
"6","2008","16-34 y.","(2b) intermediate general qualification","40","0.12446627908284","0.0899314886617552","0.159001069503925"
"6","2008","16-34 y.","(2a) intermediate vocational","100","0.116308461430151","0.0956259513725878","0.136990971487713"
"6","2008","16-34 y.","(2c_gen) general maturity certificate","83","0.124368733816643","0.0978973184815133","0.150840149151773"
"6","2008","16-34 y.","(2c_voc) vocational maturity certificate","51","0.12851029521445","0.0963126482794993","0.1607079421494"
"6","2008","16-34 y.","(3a) lower tertiary education","35","0.185740779893674","0.131434512612317","0.240047047175032"
"6","2008","16-34 y.","(3b) higher tertiary education","48","0.132739467699642","0.0963521799759469","0.169126755423337"
"6","2008","35-65 y.","(0) in school","","","",""
"6","2008","35-65 y.","(1a) inadequately completed","7","","",""
"6","2008","35-65 y.","(1b) general elementary school","46","0.0901065144060635","0.067002073795017","0.11321095501711"
"6","2008","35-65 y.","(1c) basic vocational qualification","262","0.0849324003253607","0.0747419716243733","0.095122829026348"
"6","2008","35-65 y.","(2b) intermediate general qualification","13","","",""
"6","2008","35-65 y.","(2a) intermediate vocational","337","0.115279239515606","0.104222865167264","0.126335613863947"
"6","2008","35-65 y.","(2c_gen) general maturity certificate","10","","",""
"6","2008","35-65 y.","(2c_voc) vocational maturity certificate","105","0.126277663856786","0.104167674635972","0.148387653077599"
"6","2008","35-65 y.","(3a) lower tertiary education","131","0.101852996309189","0.0836880589475345","0.120017933670843"
"6","2008","35-65 y.","(3b) higher tertiary education","200","0.102781971374702","0.0884556343779181","0.117108308371485"
"6","2008","66 and older","(0) in school","","","",""
"6","2008","66 and older","(1a) inadequately completed","1","","",""
"6","2008","66 and older","(1b) general elementary school","44","0.0726837456868268","0.0534514265376022","0.0919160648360514"
"6","2008","66 and older","(1c) basic vocational qualification","155","0.0722287216369092","0.0607684349648204","0.083689008308998"
"6","2008","66 and older","(2b) intermediate general qualification","3","","",""
"6","2008","66 and older","(2a) intermediate vocational","48","0.124996856693924","0.0965718371649802","0.153421876222867"
"6","2008","66 and older","(2c_gen) general maturity certificate","1","","",""
"6","2008","66 and older","(2c_voc) vocational maturity certificate","15","","",""
"6","2008","66 and older","(3a) lower tertiary education","47","0.0902416646749887","0.0615085318635726","0.118974797486405"
"6","2008","66 and older","(3b) higher tertiary education","61","0.125207875083262","0.0959640757893117","0.154451674377212"
"7","2008","16-34 y.","(0) in school","57","0.140615999708221","0.10450545052602","0.176726548890422"
"7","2008","16-34 y.","(1a) inadequately completed","4","","",""
"7","2008","16-34 y.","(1b) general elementary school","45","0.192023797355057","0.147227029718525","0.236820564991588"
"7","2008","16-34 y.","(1c) basic vocational qualification","55","0.121433913985247","0.0906330122215139","0.152234815748981"
"7","2008","16-34 y.","(2b) intermediate general qualification","51","0.124851541005601","0.090270954686435","0.159432127324767"
"7","2008","16-34 y.","(2a) intermediate vocational","121","0.144074842786086","0.121420095951782","0.166729589620389"
"7","2008","16-34 y.","(2c_gen) general maturity certificate","94","0.159285815035602","0.129931384202945","0.188640245868259"
"7","2008","16-34 y.","(2c_voc) vocational maturity certificate","51","0.125146134671599","0.0933114523562235","0.156980816986975"
"7","2008","16-34 y.","(3a) lower tertiary education","28","","",""
"7","2008","16-34 y.","(3b) higher tertiary education","47","0.197228045260757","0.154554837642473","0.239901252879041"
"7","2008","35-65 y.","(0) in school","","","",""
"7","2008","35-65 y.","(1a) inadequately completed","7","","",""
"7","2008","35-65 y.","(1b) general elementary school","39","0.0626346460259685","0.0430829765125419","0.082186315539395"
"7","2008","35-65 y.","(1c) basic vocational qualification","272","0.0879079032711619","0.0775573760081538","0.09825843053417"
"7","2008","35-65 y.","(2b) intermediate general qualification","11","","",""
"7","2008","35-65 y.","(2a) intermediate vocational","323","0.0995980689013328","0.0892304806235072","0.109965657179158"
"7","2008","35-65 y.","(2c_gen) general maturity certificate","16","","",""
"7","2008","35-65 y.","(2c_voc) vocational maturity certificate","85","0.093078041885192","0.0737384582458025","0.112417625524582"
"7","2008","35-65 y.","(3a) lower tertiary education","146","0.137775621968698","0.1170756562555","0.158475587681895"
"7","2008","35-65 y.","(3b) higher tertiary education","242","0.145843933541214","0.129192926872501","0.162494940209928"
"7","2008","66 and older","(0) in school","","","",""
"7","2008","66 and older","(1a) inadequately completed","1","","",""
"7","2008","66 and older","(1b) general elementary school","22","","",""
"7","2008","66 and older","(1c) basic vocational qualification","119","0.0679834650153839","0.0568396598080412","0.0791272702227267"
"7","2008","66 and older","(2b) intermediate general qualification","2","","",""
"7","2008","66 and older","(2a) intermediate vocational","41","0.0690270522162959","0.0472386886410331","0.0908154157915586"
"7","2008","66 and older","(2c_gen) general maturity certificate","1","","",""
"7","2008","66 and older","(2c_voc) vocational maturity certificate","19","","",""
"7","2008","66 and older","(3a) lower tertiary education","45","0.12086607451794","0.0881774882756859","0.153554660760193"
"7","2008","66 and older","(3b) higher tertiary education","58","0.115449458361542","0.0872121812492452","0.143686735473838"
"8","2008","16-34 y.","(0) in school","45","0.13040526897138","0.095424519389918","0.165386018552842"
"8","2008","16-34 y.","(1a) inadequately completed","2","","",""
"8","2008","16-34 y.","(1b) general elementary school","37","0.0816415498503706","0.0505006183025904","0.112782481398151"
"8","2008","16-34 y.","(1c) basic vocational qualification","37","0.0866656136712814","0.060135168930714","0.113196058411849"
"8","2008","16-34 y.","(2b) intermediate general qualification","37","0.106166794055379","0.0739399982989004","0.138393589811858"
"8","2008","16-34 y.","(2a) intermediate vocational","79","0.0763818244667605","0.0592466516162482","0.0935169973172728"
"8","2008","16-34 y.","(2c_gen) general maturity certificate","44","0.0864721968776847","0.0639266872579162","0.109017706497453"
"8","2008","16-34 y.","(2c_voc) vocational maturity certificate","32","0.059536667518414","0.0367706409969611","0.082302694039867"
"8","2008","16-34 y.","(3a) lower tertiary education","14","","",""
"8","2008","16-34 y.","(3b) higher tertiary education","21","","",""
"8","2008","35-65 y.","(0) in school","","","",""
"8","2008","35-65 y.","(1a) inadequately completed","5","","",""
"8","2008","35-65 y.","(1b) general elementary school","29","","",""
"8","2008","35-65 y.","(1c) basic vocational qualification","205","0.0760931518571263","0.0664010929224108","0.0857852107918418"
"8","2008","35-65 y.","(2b) intermediate general qualification","8","","",""
"8","2008","35-65 y.","(2a) intermediate vocational","210","0.0644670458479466","0.0559648226082506","0.0729692690876426"
"8","2008","35-65 y.","(2c_gen) general maturity certificate","13","","",""
"8","2008","35-65 y.","(2c_voc) vocational maturity certificate","70","0.0648355945611656","0.0484452050216048","0.0812259841007264"
"8","2008","35-65 y.","(3a) lower tertiary education","68","0.0829023564287799","0.0663421970012562","0.0994625158563037"
"8","2008","35-65 y.","(3b) higher tertiary education","159","0.07956444532843","0.0667975908478033","0.0923312998090566"
"8","2008","66 and older","(0) in school","","","",""
"8","2008","66 and older","(1a) inadequately completed","1","","",""
"8","2008","66 and older","(1b) general elementary school","27","","",""
"8","2008","66 and older","(1c) basic vocational qualification","99","0.0445053048585481","0.0353759500603488","0.0536346596567474"
"8","2008","66 and older","(2b) intermediate general qualification","1","","",""
"8","2008","66 and older","(2a) intermediate vocational","27","","",""
"8","2008","66 and older","(2c_gen) general maturity certificate","","","",""
"8","2008","66 and older","(2c_voc) vocational maturity certificate","9","","",""
"8","2008","66 and older","(3a) lower tertiary education","38","0.0859636543224594","0.0578539953484544","0.114073313296464"
"8","2008","66 and older","(3b) higher tertiary education","60","0.126163270822478","0.0968241458522716","0.155502395792685"
"9","2008","16-34 y.","(0) in school","19","","",""
"9","2008","16-34 y.","(1a) inadequately completed","1","","",""
"9","2008","16-34 y.","(1b) general elementary school","9","","",""
"9","2008","16-34 y.","(1c) basic vocational qualification","17","","",""
"9","2008","16-34 y.","(2b) intermediate general qualification","17","","",""
"9","2008","16-34 y.","(2a) intermediate vocational","29","","",""
"9","2008","16-34 y.","(2c_gen) general maturity certificate","14","","",""
"9","2008","16-34 y.","(2c_voc) vocational maturity certificate","9","","",""
"9","2008","16-34 y.","(3a) lower tertiary education","4","","",""
"9","2008","16-34 y.","(3b) higher tertiary education","4","","",""
"9","2008","35-65 y.","(0) in school","","","",""
"9","2008","35-65 y.","(1a) inadequately completed","1","","",""
"9","2008","35-65 y.","(1b) general elementary school","15","","",""
"9","2008","35-65 y.","(1c) basic vocational qualification","46","0.0127092631490044","0.00861465936303492","0.0168038669349739"
"9","2008","35-65 y.","(2b) intermediate general qualification","3","","",""
"9","2008","35-65 y.","(2a) intermediate vocational","49","0.0179291547785629","0.013335214009109","0.0225230955480168"
"9","2008","35-65 y.","(2c_gen) general maturity certificate","6","","",""
"9","2008","35-65 y.","(2c_voc) vocational maturity certificate","11","","",""
"9","2008","35-65 y.","(3a) lower tertiary education","19","","",""
"9","2008","35-65 y.","(3b) higher tertiary education","45","0.0255327353004402","0.0180912437323233","0.0329742268685572"
"9","2008","66 and older","(0) in school","","","",""
"9","2008","66 and older","(1a) inadequately completed","1","","",""
"9","2008","66 and older","(1b) general elementary school","3","","",""
"9","2008","66 and older","(1c) basic vocational qualification","26","","",""
"9","2008","66 and older","(2b) intermediate general qualification","","","",""
"9","2008","66 and older","(2a) intermediate vocational","6","","",""
"9","2008","66 and older","(2c_gen) general maturity certificate","","","",""
"9","2008","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"9","2008","66 and older","(3a) lower tertiary education","4","","",""
"9","2008","66 and older","(3b) higher tertiary education","9","","",""
