"plh0204_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1","2004","35-65 y.","(2b) intermediate general qualification","6","","",""
"1","2004","35-65 y.","(2a) intermediate vocational","119","0.0420966957114675","0.0352834378270972","0.0489099535958378"
"1","2004","35-65 y.","(2c_gen) general maturity certificate","6","","",""
"1","2004","35-65 y.","(2c_voc) vocational maturity certificate","32","0.0334781102857042","0.021579749102814","0.0453764714685943"
"1","2004","35-65 y.","(3a) lower tertiary education","37","0.0306328035413424","0.0209153570873513","0.0403502499953334"
"1","2004","35-65 y.","(3b) higher tertiary education","43","0.0317727084831474","0.0239252977765827","0.0396201191897121"
"1","2004","66 and older","(0) in school","","","",""
"1","2004","66 and older","(1a) inadequately completed","7","","",""
"1","2004","66 and older","(1b) general elementary school","98","0.128286691793925","0.104143649889868","0.152429733697982"
"1","2004","66 and older","(1c) basic vocational qualification","167","0.0945113752991919","0.0807580806987108","0.108264669899673"
"1","2004","66 and older","(2b) intermediate general qualification","5","","",""
"1","2004","66 and older","(2a) intermediate vocational","28","","",""
"1","2004","66 and older","(2c_gen) general maturity certificate","","","",""
"1","2004","66 and older","(2c_voc) vocational maturity certificate","10","","",""
"1","2004","66 and older","(3a) lower tertiary education","16","","",""
"1","2004","66 and older","(3b) higher tertiary education","15","","",""
"2","2004","16-34 y.","(0) in school","28","","",""
"2","2004","16-34 y.","(1a) inadequately completed","3","","",""
"2","2004","16-34 y.","(1b) general elementary school","40","0.0733943413835977","0.0492728762441878","0.0975158065230077"
"2","2004","16-34 y.","(1c) basic vocational qualification","55","0.0667312120262313","0.048015531792446","0.0854468922600167"
"2","2004","16-34 y.","(2b) intermediate general qualification","27","","",""
"2","2004","16-34 y.","(2a) intermediate vocational","111","0.0855983407628136","0.0701750967391121","0.101021584786515"
"2","2004","16-34 y.","(2c_gen) general maturity certificate","47","0.0553961118980521","0.0385462646348459","0.0722459591612583"
"2","2004","16-34 y.","(2c_voc) vocational maturity certificate","28","","",""
"2","2004","16-34 y.","(3a) lower tertiary education","13","","",""
"2","2004","16-34 y.","(3b) higher tertiary education","22","","",""
"2","2004","35-65 y.","(0) in school","","","",""
"2","2004","35-65 y.","(1a) inadequately completed","24","","",""
"2","2004","35-65 y.","(1b) general elementary school","124","0.156792567066162","0.131890460428849","0.181694673703475"
"2","2004","35-65 y.","(1c) basic vocational qualification","390","0.108085820609477","0.0980089401742868","0.118162701044668"
"2","2004","35-65 y.","(2b) intermediate general qualification","13","","",""
"2","2004","35-65 y.","(2a) intermediate vocational","332","0.0981515213197471","0.0880570101271307","0.108246032512363"
"2","2004","35-65 y.","(2c_gen) general maturity certificate","11","","",""
"2","2004","35-65 y.","(2c_voc) vocational maturity certificate","74","0.0814187248480891","0.0633294242632478","0.0995080254329303"
"2","2004","35-65 y.","(3a) lower tertiary education","98","0.0781065914536783","0.0629745047284449","0.0932386781789117"
"2","2004","35-65 y.","(3b) higher tertiary education","188","0.11320734143874","0.0990311704152923","0.127383512462187"
"2","2004","66 and older","(0) in school","","","",""
"2","2004","66 and older","(1a) inadequately completed","8","","",""
"2","2004","66 and older","(1b) general elementary school","115","0.163705753147207","0.136992555788398","0.190418950506016"
"2","2004","66 and older","(1c) basic vocational qualification","256","0.140483210348869","0.12414657561609","0.156819845081648"
"2","2004","66 and older","(2b) intermediate general qualification","4","","",""
"2","2004","66 and older","(2a) intermediate vocational","39","0.103752727786763","0.0740542448835134","0.133451210690013"
"2","2004","66 and older","(2c_gen) general maturity certificate","1","","",""
"2","2004","66 and older","(2c_voc) vocational maturity certificate","19","","",""
"2","2004","66 and older","(3a) lower tertiary education","26","","",""
"2","2004","66 and older","(3b) higher tertiary education","27","","",""
"3","2004","16-34 y.","(0) in school","60","0.0898641194416037","0.067585282465679","0.112142956417528"
"3","2004","16-34 y.","(1a) inadequately completed","4","","",""
"3","2004","16-34 y.","(1b) general elementary school","58","0.129524856562314","0.0984664144581878","0.16058329866644"
