"plh0204_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","16-34 y.","1-pers.-HH","14","","","","0"
"0 Not at all Willing to take risks","2004","16-34 y.","(Married) couple without C. ","17","","","","0"
"0 Not at all Willing to take risks","2004","16-34 y.","Single parent ","23","","","","0"
"0 Not at all Willing to take risks","2004","16-34 y.","Couple + C. LE 16 ","71","0.0503738749290117","0.0380909031616282","0.0626568466963951","0"
"0 Not at all Willing to take risks","2004","16-34 y.","Couple + C. GT 16 ","47","0.0453773676709755","0.0346237842927022","0.0561309510492488","0"
"0 Not at all Willing to take risks","2004","16-34 y.","Couple + C. LE and GT 16","23","","","","0"
"0 Not at all Willing to take risks","2004","35-65 y.","1-pers.-HH","77","0.0611144407854199","0.0475046057523108","0.074724275818529","0"
"0 Not at all Willing to take risks","2004","35-65 y.","(Married) couple without C. ","296","0.0926075651204697","0.083515587002344","0.101699543238595","0"
"0 Not at all Willing to take risks","2004","35-65 y.","Single parent ","46","0.104330471962861","0.0789895931110465","0.129671350814676","0"
"0 Not at all Willing to take risks","2004","35-65 y.","Couple + C. LE 16 ","114","0.0436206063409323","0.0360981024569148","0.0511431102249497","0"
"0 Not at all Willing to take risks","2004","35-65 y.","Couple + C. GT 16 ","167","0.0940468791493414","0.0821125465853523","0.10598121171333","0"
"0 Not at all Willing to take risks","2004","35-65 y.","Couple + C. LE and GT 16","87","0.10310070816884","0.0852916175234086","0.120909798814272","0"
"0 Not at all Willing to take risks","2004","66 and older","1-pers.-HH","232","0.237212338334714","0.211712953371744","0.262711723297683","0"
"0 Not at all Willing to take risks","2004","66 and older","(Married) couple without C. ","362","0.167280902507748","0.152110082481602","0.182451722533893","0"
"0 Not at all Willing to take risks","2004","66 and older","Single parent ","27","","","","0"
"0 Not at all Willing to take risks","2004","66 and older","Couple + C. LE 16 ","","","","","0"
"0 Not at all Willing to take risks","2004","66 and older","Couple + C. GT 16 ","29","","","","0"
"0 Not at all Willing to take risks","2004","66 and older","Couple + C. LE and GT 16","","","","","0"
"1","2004","35-65 y.","(Married) couple without C. ","182","0.0503864416669766","0.0435257505029194","0.0572471328310337","1"
"1","2004","16-34 y.","Single parent ","18","","","","1"
"1","2004","16-34 y.","(Married) couple without C. ","26","","","","1"
"1","2004","16-34 y.","Couple + C. LE and GT 16","8","","","","1"
"1","2004","35-65 y.","1-pers.-HH","45","0.0439874262091254","0.0323362253810481","0.0556386270372027","1"
"1","2004","16-34 y.","1-pers.-HH","13","","","","1"
"1","2004","16-34 y.","Couple + C. LE 16 ","57","0.045942639679853","0.034185013119101","0.0577002662406049","1"
"1","2004","16-34 y.","Couple + C. GT 16 ","28","","","","1"
"1","2004","35-65 y.","Single parent ","23","","","","1"
"1","2004","35-65 y.","Couple + C. LE 16 ","89","0.0397235782766297","0.0325303510315968","0.0469168055216626","1"
"1","2004","35-65 y.","Couple + C. GT 16 ","124","0.0724772454793333","0.0618765049399581","0.0830779860187086","1"
"1","2004","35-65 y.","Couple + C. LE and GT 16","49","0.0486346430910595","0.0360371069575857","0.0612321792245334","1"
"1","2004","66 and older","1-pers.-HH","120","0.105177887523898","0.0867875451678705","0.123568229879925","1"
"1","2004","66 and older","(Married) couple without C. ","188","0.0775564976525618","0.06668434366772","0.0884286516374036","1"
"1","2004","66 and older","Single parent ","3","","","","1"
"1","2004","66 and older","Couple + C. LE 16 ","","","","","1"
"1","2004","66 and older","Couple + C. GT 16 ","14","","","","1"
"1","2004","66 and older","Couple + C. LE and GT 16","","","","","1"
"10 Very willing to take risks","2004","16-34 y.","Single parent ","10","","","","10"
"10 Very willing to take risks","2004","16-34 y.","Couple + C. LE 16 ","9","","","","10"
"10 Very willing to take risks","2004","16-34 y.","1-pers.-HH","7","","","","10"
"10 Very willing to take risks","2004","35-65 y.","Couple + C. LE and GT 16","9","","","","10"
"10 Very willing to take risks","2004","16-34 y.","Couple + C. GT 16 ","15","","","","10"
"10 Very willing to take risks","2004","16-34 y.","Couple + C. LE and GT 16","26","","","","10"
"10 Very willing to take risks","2004","35-65 y.","Couple + C. LE 16 ","30","0.00961466305106639","0.00602072487610887","0.0132086012260239","10"
"10 Very willing to take risks","2004","16-34 y.","(Married) couple without C. ","14","","","","10"
"10 Very willing to take risks","2004","35-65 y.","(Married) couple without C. ","32","0.00790608728058008","0.00512832698076437","0.0106838475803958","10"
"10 Very willing to take risks","2004","35-65 y.","Single parent ","6","","","","10"
"10 Very willing to take risks","2004","35-65 y.","Couple + C. GT 16 ","11","","","","10"
"10 Very willing to take risks","2004","35-65 y.","1-pers.-HH","13","","","","10"
"10 Very willing to take risks","2004","66 and older","1-pers.-HH","5","","","","10"
"10 Very willing to take risks","2004","66 and older","(Married) couple without C. ","12","","","","10"
"10 Very willing to take risks","2004","66 and older","Single parent ","","","","","10"
"10 Very willing to take risks","2004","66 and older","Couple + C. LE 16 ","","","","","10"
"10 Very willing to take risks","2004","66 and older","Couple + C. GT 16 ","2","","","","10"
"10 Very willing to take risks","2004","66 and older","Couple + C. LE and GT 16","","","","","10"
"2","2004","16-34 y.","1-pers.-HH","35","0.0624338398805459","0.0438056106672521","0.0810620690938398","2"
"2","2004","16-34 y.","(Married) couple without C. ","65","0.0463327447911117","0.0334642245987646","0.0592012649834588","2"
"2","2004","16-34 y.","Couple + C. LE and GT 16","36","0.0566628356706264","0.0390511177480981","0.0742745535931547","2"
"2","2004","35-65 y.","1-pers.-HH","117","0.0988970231789136","0.0819359459261129","0.115858100431714","2"
"2","2004","35-65 y.","Couple + C. LE and GT 16","109","0.102766001035454","0.0849825243788143","0.120549477692093","2"
"2","2004","66 and older","1-pers.-HH","152","0.148284727736501","0.126981045880172","0.16958840959283","2"
"2","2004","66 and older","(Married) couple without C. ","286","0.122798175377641","0.109457361276698","0.136138989478584","2"
"2","2004","66 and older","Single parent ","11","","","","2"
"2","2004","35-65 y.","(Married) couple without C. ","420","0.109865478666243","0.100057127189848","0.119673830142637","2"
"2","2004","35-65 y.","Single parent ","58","0.109670944988751","0.0837671584216706","0.135574731555832","2"
"2","2004","35-65 y.","Couple + C. LE 16 ","271","0.101208192638895","0.090100116350746","0.112316268927045","2"
"2","2004","35-65 y.","Couple + C. GT 16 ","246","0.111191968130644","0.098338693920395","0.124045242340894","2"
"2","2004","16-34 y.","Single parent ","27","","","","2"
"2","2004","16-34 y.","Couple + C. LE 16 ","130","0.0895881343658104","0.07354945342909","0.105626815302531","2"
"2","2004","16-34 y.","Couple + C. GT 16 ","77","0.0555072142317027","0.043677023885264","0.0673374045781413","2"
"2","2004","66 and older","Couple + C. LE 16 ","","","","","2"
"2","2004","66 and older","Couple + C. GT 16 ","23","","","","2"
"2","2004","66 and older","Couple + C. LE and GT 16","","","","","2"
"3","2004","16-34 y.","(Married) couple without C. ","131","0.122208171321245","0.10215735549149","0.142258987151","3"
"3","2004","16-34 y.","1-pers.-HH","71","0.112515797457531","0.0881854867540907","0.136846108160971","3"
"3","2004","16-34 y.","Couple + C. LE 16 ","171","0.123463788300107","0.104989012472999","0.141938564127215","3"
"3","2004","16-34 y.","Single parent ","43","0.0885475499719484","0.0626145409429762","0.114480559000921","3"
"3","2004","16-34 y.","Couple + C. LE and GT 16","59","0.0932980709918238","0.0711422576125325","0.115453884371115","3"
"3","2004","35-65 y.","1-pers.-HH","146","0.126524186317906","0.10763614914341","0.145412223492403","3"
"3","2004","35-65 y.","(Married) couple without C. ","524","0.12537524107269","0.114989096918739","0.135761385226642","3"
"3","2004","35-65 y.","Single parent ","61","0.0965138523197468","0.0720346218278278","0.120993082811666","3"
"3","2004","35-65 y.","Couple + C. LE 16 ","371","0.135489640694172","0.122884734647746","0.148094546740598","3"
"3","2004","16-34 y.","Couple + C. GT 16 ","142","0.103068314476282","0.0873589012314804","0.118777727721084","3"
"3","2004","35-65 y.","Couple + C. GT 16 ","308","0.130401126999478","0.116633051610189","0.144169202388768","3"
"3","2004","35-65 y.","Couple + C. LE and GT 16","159","0.132949054540761","0.113065042641434","0.152833066440089","3"
"3","2004","66 and older","1-pers.-HH","137","0.131343709456733","0.111095442325615","0.151591976587852","3"
"3","2004","66 and older","(Married) couple without C. ","325","0.140070570385445","0.125963349478303","0.154177791292587","3"
"3","2004","66 and older","Single parent ","12","","","","3"
"3","2004","66 and older","Couple + C. LE and GT 16","","","","","3"
"3","2004","66 and older","Couple + C. LE 16 ","1","","","","3"
"3","2004","66 and older","Couple + C. GT 16 ","24","","","","3"
"4","2004","16-34 y.","1-pers.-HH","63","0.111529292763855","0.0872924179836319","0.135766167544078","4"
"4","2004","16-34 y.","(Married) couple without C. ","130","0.124077087596268","0.103895055283297","0.144259119909239","4"
"4","2004","16-34 y.","Single parent ","42","0.0991102544539668","0.0718334967665354","0.126387012141398","4"
"4","2004","16-34 y.","Couple + C. LE 16 ","148","0.113561138123539","0.0957429430689203","0.131379333178158","4"
"4","2004","16-34 y.","Couple + C. GT 16 ","131","0.0987988544641495","0.0833816896146188","0.11421601931368","4"
"4","2004","16-34 y.","Couple + C. LE and GT 16","63","0.0904378708544048","0.068589933302485","0.112285808406325","4"
