"plh0204_h","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","in school","19","","",""
"0 Not at all Willing to take risks","2004","inadequately","79","0.295083229738404","0.237857101552497","0.352309357924312"
"0 Not at all Willing to take risks","2004","general elemantary","429","0.184821307737375","0.169840858096141","0.199801757378609"
"0 Not at all Willing to take risks","2004","middle vocational","909","0.0986857465827699","0.0930578908346439","0.104313602330896"
"0 Not at all Willing to take risks","2004","vocational + Abi","69","0.0699492226426387","0.0552523074601949","0.0846461378250825"
"0 Not at all Willing to take risks","2004","higher vocational","78","0.0518864994788425","0.0411584969804623","0.0626145019772227"
"0 Not at all Willing to take risks","2004","higher education","118","0.035688829131965","0.0301414135307886","0.0412362447331415"
"1","2004","in school","10","","",""
"1","2004","inadequately","23","","",""
"1","2004","general elemantary","217","0.0883569504368034","0.0774033929556127","0.0993105079179941"
"1","2004","middle vocational","543","0.0564059953667913","0.0520525525706953","0.0607594381628872"
"1","2004","vocational + Abi","44","0.0338123767844188","0.0233975992784225","0.0442271542904151"
"1","2004","higher vocational","64","0.0360759198009351","0.0270562292930777","0.0450956103087925"
"1","2004","higher education","126","0.034762452996764","0.02928487884271","0.040240027150818"
"2","2004","in school","28","","",""
"2","2004","inadequately","32","0.127449222298069","0.0856067701934093","0.169291674402728"
"2","2004","general elemantary","321","0.132068710293514","0.119002036143398","0.14513538444363"
"2","2004","middle vocational","1107","0.102434385701823","0.0967125733751585","0.108156198028488"
"2","2004","vocational + Abi","93","0.0903920061724265","0.0738695899525418","0.106914422392311"
"2","2004","higher vocational","171","0.0986676478611267","0.0842434595985768","0.113091836123677"
"2","2004","higher education","374","0.0887976157696517","0.0802916421606005","0.097303589378703"
"3","2004","in school","59","0.0894324119830048","0.0671666800048573","0.111698143961152"
"3","2004","inadequately","20","","",""
"3","2004","general elemantary","322","0.122056232380939","0.109422381397253","0.134690083364626"
"3","2004","middle vocational","1373","0.126113014036084","0.119848531387575","0.132377496684592"
"3","2004","vocational + Abi","165","0.132383997284976","0.112855764942738","0.151912229627215"
"3","2004","higher vocational","216","0.119013293007039","0.103351411700265","0.134675174313813"
"3","2004","higher education","567","0.135591134184815","0.125353697997136","0.145828570372493"
"4","2004","in school","59","0.0885068779268827","0.0663454050863642","0.110668350767401"
"4","2004","inadequately","16","","",""
"4","2004","general elemantary","231","0.090576796665401","0.0795000068739216","0.10165358645688"
"4","2004","middle vocational","1168","0.102517248260718","0.0967933863499058","0.10824111017153"
"4","2004","vocational + Abi","126","0.102629737453549","0.0851431985959311","0.120116276311167"
"4","2004","higher vocational","180","0.0958935094291803","0.0816516755875626","0.110135343270798"
"4","2004","higher education","512","0.120325266473044","0.110596552620842","0.130053980325246"
"5","2004","in school","142","0.237831506858246","0.204611967878975","0.271051045837517"
"5","2004","inadequately","33","0.135527904034098","0.0925798957207381","0.178475912347457"
"5","2004","general elemantary","475","0.173570340107192","0.158953175932979","0.188187504281406"
"5","2004","middle vocational","2491","0.23324226941683","0.225262132678428","0.241222406155232"
"5","2004","vocational + Abi","244","0.224321753208464","0.200285990216776","0.248357516200152"
