"plh0204_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","1-pers.-HH","(0) in school","","","",""
"0 Not at all Willing to take risks","2004","1-pers.-HH","(1a) inadequately completed","5","","",""
"0 Not at all Willing to take risks","2004","1-pers.-HH","(1b) general elementary school","96","0.264766529697135","0.220288415314104","0.309244644080167"
"0 Not at all Willing to take risks","2004","1-pers.-HH","(1c) basic vocational qualification","131","0.151646004709421","0.128121179639055","0.175170829779786"
"0 Not at all Willing to take risks","2004","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"0 Not at all Willing to take risks","2004","1-pers.-HH","(2a) intermediate vocational","43","0.0840109744915743","0.0621223406975492","0.105899608285599"
"0 Not at all Willing to take risks","2004","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"0 Not at all Willing to take risks","2004","1-pers.-HH","(2c_voc) vocational maturity certificate","18","","",""
"0 Not at all Willing to take risks","2004","1-pers.-HH","(3a) lower tertiary education","6","","",""
"0 Not at all Willing to take risks","2004","1-pers.-HH","(3b) higher tertiary education","13","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","(0) in school","","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","(1a) inadequately completed","23","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","(1b) general elementary school","142","0.212023939297104","0.180911053978975","0.243136824615232"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","(1c) basic vocational qualification","345","0.14133632840182","0.12802738446327","0.15464527234037"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","(2b) intermediate general qualification","9","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","(2a) intermediate vocational","82","0.0554232890928565","0.0437938874148473","0.0670526907708656"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","(2c_gen) general maturity certificate","3","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","(2c_voc) vocational maturity certificate","24","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","(3a) lower tertiary education","15","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","(3b) higher tertiary education","28","","",""
"0 Not at all Willing to take risks","2004","Single parent ","(0) in school","2","","",""
"0 Not at all Willing to take risks","2004","Single parent ","(1a) inadequately completed","4","","",""
"0 Not at all Willing to take risks","2004","Single parent ","(1b) general elementary school","34","0.265549620980612","0.196469619627453","0.33462962233377"
"0 Not at all Willing to take risks","2004","Single parent ","(1c) basic vocational qualification","29","","",""
