"plh0204_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","1-pers.-HH","no migration background","294","0.128874278042538","0.116014962923088","0.141733593161989","0"
"0 Not at all Willing to take risks","2004","1-pers.-HH","direct migration background","26","","","","0"
"0 Not at all Willing to take risks","2004","1-pers.-HH","indirect migration background","3","","","","0"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","no migration background","511","0.0968486281986141","0.0896096320773475","0.104087624319881","0"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","direct migration background","158","0.220923642819406","0.19082840557504","0.251018880063773","0"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","indirect migration background","6","","","","0"
"0 Not at all Willing to take risks","2004","Single parent ","no migration background","70","0.109283434510083","0.0886932266529806","0.129873642367185","0"
"0 Not at all Willing to take risks","2004","Single parent ","direct migration background","21","","","","0"
"0 Not at all Willing to take risks","2004","Single parent ","indirect migration background","5","","","","0"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","no migration background","106","0.0326776075868444","0.0265866463503258","0.038768568823363","0"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","direct migration background","65","0.0991648985318603","0.0752894531696231","0.123040343894098","0"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","indirect migration background","14","","","","0"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","no migration background","166","0.0642872988759454","0.0559065274964965","0.0726680702553943","0"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","direct migration background","66","0.168641249612655","0.132874194405701","0.204408304819608","0"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","indirect migration background","11","","","","0"
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","no migration background","56","0.055168494474877","0.0429670935367471","0.0673698954130069","0"
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","direct migration background","44","0.155030619500096","0.114411790558963","0.19564944844123","0"
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","indirect migration background","10","","","","0"
"1","2004","Single parent ","direct migration background","6","","","","1"
"1","2004","1-pers.-HH","indirect migration background","3","","","","1"
"1","2004","1-pers.-HH","direct migration background","14","","","","1"
"1","2004","(Married) couple without C. ","indirect migration background","6","","","","1"
"1","2004","Single parent ","no migration background","35","0.0434556839579204","0.0300004999608874","0.0569108679549535","1"
"1","2004","1-pers.-HH","no migration background","161","0.0597228322127251","0.0506280471420941","0.0688176172833561","1"
"1","2004","(Married) couple without C. ","no migration background","335","0.0544657430616146","0.0489111571960724","0.0600203289271568","1"
"1","2004","(Married) couple without C. ","direct migration background","55","0.076035375082961","0.0568079034489358","0.0952628467169863","1"
"1","2004","Single parent ","indirect migration background","3","","","","1"
"1","2004","Couple + C. LE 16 ","no migration background","94","0.037068349055128","0.0305958135523002","0.0435408845579558","1"
"1","2004","Couple + C. LE 16 ","direct migration background","39","0.0594362920345621","0.040548995104037","0.0783235889650872","1"
