"plh0204_h","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","(0) in school","19","","",""
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","79","0.269974731405422","0.216115724335632","0.323833738475211"
"0 Not at all Willing to take risks","2004","(1b) general elementary school","406","0.212879367490817","0.194961829400313","0.230796905581321"
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","692","0.12407769002456","0.115782908555294","0.132372471493827"
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","29","","",""
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","241","0.0559075710564986","0.0495433502651844","0.0622717918478128"
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","25","","",""
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","87","0.0672919679082085","0.0548599889960391","0.0797239468203779"
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","50","0.0357249382012551","0.0269098435937125","0.0445400328087978"
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","68","0.0356613561082062","0.0285236190536654","0.042799093162747"
"1","2004","(0) in school","10","","",""
"1","2004","(1a) inadequately completed","23","","",""
"1","2004","(1b) general elementary school","194","0.0981099498058735","0.0850895527809496","0.111130346830797"
"1","2004","(1c) basic vocational qualification","391","0.0677285064585623","0.0614061022689511","0.0740509106481736"
"1","2004","(2b) intermediate general qualification","24","","",""
"1","2004","(2a) intermediate vocational","183","0.0416079060746132","0.0360761603381721","0.0471396518110542"
"1","2004","(2c_gen) general maturity certificate","16","","",""
"1","2004","(2c_voc) vocational maturity certificate","59","0.0344687997545768","0.0254160184595916","0.0435215810495619"
"1","2004","(3a) lower tertiary education","60","0.038072851315386","0.0289837789859284","0.0471619236448436"
"1","2004","(3b) higher tertiary education","66","0.0322437879232319","0.0254446657586119","0.0390429100878518"
"2","2004","(0) in school","28","","",""
"2","2004","(1a) inadequately completed","35","0.132394839187344","0.0912775543094876","0.1735121240652"
"2","2004","(1b) general elementary school","279","0.14172756610528","0.126461376602893","0.156993755607667"
"2","2004","(1c) basic vocational qualification","701","0.114126440575076","0.106126176712979","0.122126704437173"
"2","2004","(2b) intermediate general qualification","44","0.0828963778025866","0.0609977740022992","0.104794981602874"
"2","2004","(2a) intermediate vocational","482","0.0956579584527708","0.0875103606417599","0.103805556263782"
"2","2004","(2c_gen) general maturity certificate","59","0.0569450667443464","0.0413386595308874","0.0725514739578055"
"2","2004","(2c_voc) vocational maturity certificate","121","0.0796636699395711","0.0662270748590007","0.0931002650201414"
"2","2004","(3a) lower tertiary education","137","0.0811984561820922","0.0682259014638755","0.094171010900309"
"2","2004","(3b) higher tertiary education","237","0.0945793181508172","0.0833159020795644","0.10584273422207"
"3","2004","(0) in school","60","0.0898641194416037","0.067585282465679","0.112142956417528"
"3","2004","(1a) inadequately completed","30","0.138771089196919","0.0968302963558016","0.180711882038036"
"3","2004","(1b) general elementary school","255","0.121448626383653","0.107150774716055","0.135746478051251"
"3","2004","(1c) basic vocational qualification","788","0.122867151392558","0.11460723050861","0.131127072276507"
"3","2004","(2b) intermediate general qualification","69","0.120363618064129","0.0945208723984016","0.146206363729857"
"3","2004","(2a) intermediate vocational","649","0.127992711488504","0.118738160647297","0.137247262329711"
"3","2004","(2c_gen) general maturity certificate","77","0.111526331344919","0.090327233728343","0.132725428961494"
"3","2004","(2c_voc) vocational maturity certificate","221","0.126655675033642","0.110151612136939","0.143159737930344"
"3","2004","(3a) lower tertiary education","206","0.133104247729148","0.116971060937671","0.149237434520625"
"3","2004","(3b) higher tertiary education","361","0.137483243065638","0.124228983013509","0.150737503117767"
"4","2004","(0) in school","59","0.0883727921174367","0.0662614978949377","0.110484086339936"
"4","2004","(1a) inadequately completed","14","","",""
"4","2004","(1b) general elementary school","182","0.0966739527300697","0.0837389088245749","0.109608996635565"
"4","2004","(1c) basic vocational qualification","648","0.0985251108977041","0.0910265903125226","0.106023631482886"
"4","2004","(2b) intermediate general qualification","54","0.073047482533058","0.052380797750933","0.0937141673151829"
"4","2004","(2a) intermediate vocational","567","0.10899029340689","0.100357769358747","0.117622817455033"
"4","2004","(2c_gen) general maturity certificate","88","0.105506245824412","0.0848175017598042","0.12619498988902"
"4","2004","(2c_voc) vocational maturity certificate","165","0.0973750313099283","0.082663317480228","0.112086745139629"
"4","2004","(3a) lower tertiary education","211","0.126805494971412","0.111001557567289","0.142609432375534"
"4","2004","(3b) higher tertiary education","301","0.115394885408163","0.103097441911764","0.127692328904562"
"5","2004","(0) in school","142","0.237471197796896","0.204321480149066","0.270620915444725"
"5","2004","(1a) inadequately completed","35","0.135817378666711","0.094254245982521","0.177380511350902"
"5","2004","(1b) general elementary school","350","0.165634787791358","0.149362643952332","0.181906931630384"
"5","2004","(1c) basic vocational qualification","1376","0.235549663754571","0.224872861793303","0.246226465715839"
"5","2004","(2b) intermediate general qualification","132","0.205782651602531","0.173674632783454","0.237890670421608"
"5","2004","(2a) intermediate vocational","1209","0.237566205174635","0.225776686691394","0.249355723657876"
"5","2004","(2c_gen) general maturity certificate","159","0.192745447472535","0.166180821721094","0.219310073223976"
"5","2004","(2c_voc) vocational maturity certificate","338","0.233999169188049","0.212990063302683","0.255008275073415"
"5","2004","(3a) lower tertiary education","386","0.237089954887705","0.216890762267278","0.257289147508132"
"5","2004","(3b) higher tertiary education","518","0.196918784055108","0.18161248694054","0.212225081169677"
"6","2004","(0) in school","94","0.118319595120549","0.0931584636000812","0.143480726641017"
"6","2004","(1a) inadequately completed","16","","",""
"6","2004","(1b) general elementary school","120","0.0553614999847812","0.0453516481819021","0.0653713517876603"
"6","2004","(1c) basic vocational qualification","538","0.0871468516594346","0.0800502306136206","0.0942434727052487"
"6","2004","(2b) intermediate general qualification","74","0.0996525982199719","0.0758629064181812","0.123442290021763"
"6","2004","(2a) intermediate vocational","584","0.121481931626763","0.112432238308829","0.130531624944698"
"6","2004","(2c_gen) general maturity certificate","124","0.136176816881879","0.11307902825337","0.159274605510389"
"6","2004","(2c_voc) vocational maturity certificate","212","0.130703866940344","0.113977027660218","0.14743070622047"
"6","2004","(3a) lower tertiary education","203","0.101598292501671","0.087249371125212","0.11594721387813"
"6","2004","(3b) higher tertiary education","353","0.147430143025857","0.133784155717952","0.161076130333762"
"7","2004","(0) in school","102","0.161300338970883","0.132647536238335","0.189953141703432"
"7","2004","(1a) inadequately completed","14","","",""
