"plh0204_h","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","Full Time","lower secondary degree","127","0.0605395169934245","0.0504705900902181","0.0706084438966308"
"0 Not at all Willing to take risks","2004","Full Time","secondary school degree","82","0.0318819176280422","0.0256212336096012","0.0381426016464832"
"0 Not at all Willing to take risks","2004","Full Time","college entrance qualification","38","0.0141471989794651","0.00969013481702456","0.0186042631419057"
"0 Not at all Willing to take risks","2004","Full Time","Other degree","43","0.0954998277223637","0.0666616865044597","0.124337968940268"
"0 Not at all Willing to take risks","2004","Full Time","no degree/no degree yet","10","","",""
"0 Not at all Willing to take risks","2004","Part Time","lower secondary degree","123","0.094646386597665","0.07962083349354","0.10967193970179"
"0 Not at all Willing to take risks","2004","Part Time","secondary school degree","67","0.036315584761525","0.0273081572567132","0.0453230122663368"
"0 Not at all Willing to take risks","2004","Part Time","college entrance qualification","38","0.0283374268998544","0.0195794478555105","0.0370954059441984"
"0 Not at all Willing to take risks","2004","Part Time","Other degree","50","0.174435630709462","0.129827013257093","0.219044248161831"
"0 Not at all Willing to take risks","2004","Part Time","no degree/no degree yet","16","","",""
"0 Not at all Willing to take risks","2004","Not Working","lower secondary degree","681","0.194783750271791","0.182411372470678","0.207156128072904"
"0 Not at all Willing to take risks","2004","Not Working","secondary school degree","147","0.111284371625988","0.0958701231029514","0.126698620149025"
"0 Not at all Willing to take risks","2004","Not Working","college entrance qualification","68","0.079477940669818","0.0647291219650298","0.0942267593746062"
"0 Not at all Willing to take risks","2004","Not Working","Other degree","133","0.241029073119437","0.203651475543698","0.278406670695177"
"0 Not at all Willing to take risks","2004","Not Working","no degree/no degree yet","72","0.128897040646749","0.104002753823568","0.15379132746993"
"1","2004","Full Time","lower secondary degree","79","0.0340754721575873","0.0264156798856341","0.0417352644295406"
"1","2004","Full Time","secondary school degree","71","0.0248961435965119","0.0193437930339657","0.0304484941590581"
"1","2004","Full Time","college entrance qualification","58","0.0259380196423252","0.0199391514272953","0.031936887857355"
"1","2004","Full Time","Other degree","15","","",""
"1","2004","Full Time","no degree/no degree yet","2","","",""
"1","2004","Part Time","lower secondary degree","89","0.0640848535041985","0.0515139855406331","0.0766557214677638"
"1","2004","Part Time","secondary school degree","78","0.0584202602888774","0.0471275773916754","0.0697129431860794"
