"plh0204_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","lower secondary degree","Male","310","0.0979231030649565","0.088319204579016","0.107527001550897"
"0 Not at all Willing to take risks","2004","lower secondary degree","Female","621","0.177984395398016","0.165933381055593","0.190035409740438"
"0 Not at all Willing to take risks","2004","secondary school degree","Male","88","0.035410968672727","0.0284190414629322","0.0424028958825217"
"0 Not at all Willing to take risks","2004","secondary school degree","Female","208","0.0716148734941193","0.063188444341398","0.0800413026468406"
"0 Not at all Willing to take risks","2004","college entrance qualification","Male","47","0.022787836110631","0.0173207079833816","0.0282549642378803"
"0 Not at all Willing to take risks","2004","college entrance qualification","Female","97","0.0518083736933366","0.0431306544426441","0.0604860929440291"
"0 Not at all Willing to take risks","2004","Other degree","Male","85","0.138205747332205","0.109948124206894","0.166463370457516"
"0 Not at all Willing to take risks","2004","Other degree","Female","141","0.211061099408704","0.178598781333626","0.243523417483782"
"0 Not at all Willing to take risks","2004","no degree/no degree yet","Male","30","0.0918731854867408","0.0641828901888819","0.1195634807846"
"0 Not at all Willing to take risks","2004","no degree/no degree yet","Female","68","0.18555170526562","0.150702058789107","0.220401351742132"
"1","2004","lower secondary degree","Male","164","0.0450818491273293","0.0383773377526671","0.0517863605019915"
"1","2004","lower secondary degree","Female","360","0.0933544945242631","0.0841885129289812","0.102520476119545"
"1","2004","secondary school degree","Male","53","0.0191792386351505","0.0139904337315062","0.0243680435387949"
"1","2004","secondary school degree","Female","179","0.0592949776005506","0.0515768214971307","0.0670131337039705"
"1","2004","college entrance qualification","Male","54","0.0245410760177776","0.0188726227601538","0.0302095292754014"
"1","2004","college entrance qualification","Female","88","0.0354167209845055","0.0281801704818798","0.0426532714871313"
"1","2004","Other degree","Male","47","0.111309800180686","0.0855576985830498","0.137061901778323"
"1","2004","Other degree","Female","48","0.0831403201127317","0.0611763406535368","0.105104299571927"
"1","2004","no degree/no degree yet","Male","9","","",""
"1","2004","no degree/no degree yet","Female","24","","",""
"2","2004","lower secondary degree","Male","348","0.0986100439727112","0.0889761884142654","0.108243899531157"
"2","2004","lower secondary degree","Female","546","0.136748911297966","0.12592403070071","0.147573791895222"
"2","2004","secondary school degree","Male","186","0.0773052880160674","0.0672013551402928","0.0874092208918421"
"2","2004","secondary school degree","Female","404","0.113104909580755","0.102754566966051","0.123455252195459"
"2","2004","college entrance qualification","Male","177","0.0567653981038147","0.0482879530738642","0.0652428431337651"
"2","2004","college entrance qualification","Female","254","0.100433459877964","0.0886651684027777","0.11220175135315"
"2","2004","Other degree","Male","61","0.102386451687262","0.0775644542905356","0.127208449083989"
"2","2004","Other degree","Female","83","0.141998397374027","0.114230722448112","0.169766072299942"
"2","2004","no degree/no degree yet","Male","32","0.0844491984276167","0.0577929553796411","0.111105441475592"
"2","2004","no degree/no degree yet","Female","31","0.0857188521598931","0.0606224076169527","0.110815296702833"
"3","2004","lower secondary degree","Male","450","0.116164600745125","0.105810657141999","0.126518544348251"
"3","2004","lower secondary degree","Female","518","0.124790851543328","0.114378713748449","0.135202989338206"
"3","2004","secondary school degree","Male","266","0.0979079957680996","0.086664759627876","0.109151231908323"
"3","2004","secondary school degree","Female","538","0.150582675896524","0.138895059891782","0.162270291901265"
"3","2004","college entrance qualification","Male","334","0.121025718322379","0.109076480776294","0.132974955868465"
"3","2004","college entrance qualification","Female","368","0.144872758993888","0.131092217155041","0.158653300832734"
"3","2004","Other degree","Male","64","0.12083066336726","0.0941439171165401","0.14751740961798"
"3","2004","Other degree","Female","87","0.150579497434824","0.12212846460068","0.179030530268969"
"3","2004","no degree/no degree yet","Male","41","0.102239976361008","0.0731963760346411","0.131283576687376"
"3","2004","no degree/no degree yet","Female","49","0.1168335220024","0.088037057832036","0.145629986172763"
"4","2004","lower secondary degree","Male","391","0.103392948315969","0.0935544292391756","0.113231467392762"
"4","2004","lower secondary degree","Female","400","0.0977054983031505","0.08835087581465","0.107060120791651"
"4","2004","secondary school degree","Male","265","0.0936947382760931","0.082670421417137","0.104719055135049"
"4","2004","secondary school degree","Female","431","0.116401777199409","0.105921202577619","0.126882351821199"
"4","2004","college entrance qualification","Male","283","0.095581400762479","0.0848096892350975","0.10635311228986"
"4","2004","college entrance qualification","Female","329","0.128310146913369","0.115216245879709","0.141404047947029"
"4","2004","Other degree","Male","59","0.0810625499790459","0.0587153103417777","0.103409789616314"
"4","2004","Other degree","Female","56","0.103282977600489","0.0790729197340309","0.127493035466947"
"4","2004","no degree/no degree yet","Male","28","","",""
