"plh0204_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","in school","Urban Area","14","","","","0"
"0 Not at all Willing to take risks","2004","in school","Rural Area","5","","","","0"
"0 Not at all Willing to take risks","2004","inadequately","Urban Area","63","0.306077297081096","0.240023407711272","0.37213118645092","0"
"0 Not at all Willing to take risks","2004","inadequately","Rural Area","16","","","","0"
"0 Not at all Willing to take risks","2004","general elemantary","Urban Area","300","0.178969338536685","0.160978812783842","0.196959864289527","0"
"0 Not at all Willing to take risks","2004","general elemantary","Rural Area","129","0.197196472956735","0.170209196332989","0.224183749580482","0"
"0 Not at all Willing to take risks","2004","middle vocational","Urban Area","621","0.0990598842103475","0.0920099775586203","0.106109790862075","0"
"0 Not at all Willing to take risks","2004","middle vocational","Rural Area","288","0.0979474601305838","0.0886066230659433","0.107288297195224","0"
"0 Not at all Willing to take risks","2004","vocational + Abi","Urban Area","58","0.0751950104996553","0.0578991586812197","0.0924908623180909","0"
"0 Not at all Willing to take risks","2004","vocational + Abi","Rural Area","11","","","","0"
"0 Not at all Willing to take risks","2004","higher vocational","Urban Area","52","0.0503159626551318","0.0371128488228348","0.0635190764874289","0"
"0 Not at all Willing to take risks","2004","higher vocational","Rural Area","26","","","","0"
"0 Not at all Willing to take risks","2004","higher education","Urban Area","87","0.0371274525477217","0.0304239250644362","0.0438309800310072","0"
"0 Not at all Willing to take risks","2004","higher education","Rural Area","31","0.0315976684120724","0.0218613968134015","0.0413339400107432","0"
"1","2004","higher education","Rural Area","39","0.0312473735554202","0.0215634700212177","0.0409312770896228","1"
"1","2004","higher vocational","Urban Area","40","0.0335006648602433","0.0226323703531932","0.0443689593672934","1"
"1","2004","higher vocational","Rural Area","24","","","","1"
"1","2004","higher education","Urban Area","87","0.0359985021130878","0.029393811393236","0.0426031928329396","1"
"1","2004","in school","Urban Area","9","","","","1"
"1","2004","in school","Rural Area","1","","","","1"
"1","2004","inadequately","Urban Area","20","","","","1"
"1","2004","inadequately","Rural Area","3","","","","1"
"1","2004","general elemantary","Urban Area","149","0.0922104049380481","0.0786317292547209","0.105789080621375","1"
"1","2004","general elemantary","Rural Area","68","0.0802080462845809","0.0617851195381658","0.098630973030996","1"
"1","2004","middle vocational","Urban Area","346","0.056676584503587","0.0512200282275087","0.0621331407796653","1"
"1","2004","middle vocational","Rural Area","197","0.0558720413373651","0.0486545546882087","0.0630895279865215","1"
"1","2004","vocational + Abi","Urban Area","36","0.0357859795065033","0.0236026627091286","0.0479692963038779","1"
"1","2004","vocational + Abi","Rural Area","8","","","","1"
"10 Very willing to take risks","2004","general elemantary","Rural Area","10","","","","10"
"10 Very willing to take risks","2004","middle vocational","Urban Area","61","0.00667050534704651","0.00474957096515228","0.00859143972894074","10"
"10 Very willing to take risks","2004","middle vocational","Rural Area","50","0.0140819346912166","0.0103791806425568","0.0177846887398764","10"
"10 Very willing to take risks","2004","vocational + Abi","Urban Area","7","","","","10"
"10 Very willing to take risks","2004","vocational + Abi","Rural Area","","","","","10"
"10 Very willing to take risks","2004","higher vocational","Urban Area","5","","","","10"
"10 Very willing to take risks","2004","higher vocational","Rural Area","3","","","","10"
