"plh0204_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","(0) in school","Male","9","","",""
"0 Not at all Willing to take risks","2004","(0) in school","Female","10","","",""
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","Male","21","","",""
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","Female","58","0.356092075016222","0.279716822931278","0.432467327101165"
"0 Not at all Willing to take risks","2004","(1b) general elementary school","Male","76","0.129164748854304","0.102658361794102","0.155671135914507"
"0 Not at all Willing to take risks","2004","(1b) general elementary school","Female","330","0.248238532684119","0.225528627583577","0.270948437784661"
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","Male","299","0.101920885282812","0.0915733859082723","0.112268384657352"
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","Female","393","0.150204442911156","0.136933184882876","0.163475700939436"
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","Male","10","","",""
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","Female","19","","",""
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","Male","69","0.0316493427112638","0.0242390668808307","0.0390596185416968"
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","Female","172","0.075724486841699","0.0660320680822813","0.0854169056011167"
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","Male","5","","",""
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","Female","20","","",""
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","Male","25","","",""
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","Female","62","0.0861167216275483","0.067367295696996","0.104866147558101"
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","Male","20","","",""
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","Female","30","0.0441544337434911","0.0297831922462229","0.0585256752407594"
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","Male","27","","",""
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","Female","41","0.0500295034262997","0.0370993128262748","0.0629596940263246"
"1","2004","(0) in school","Male","4","","",""
"1","2004","(0) in school","Female","6","","",""
"1","2004","(1a) inadequately completed","Male","5","","",""
"1","2004","(1a) inadequately completed","Female","18","","",""
"1","2004","(1b) general elementary school","Male","35","0.0588947973343122","0.040288151717437","0.0775014429511874"
"1","2004","(1b) general elementary school","Female","159","0.114673544992792","0.0979231894030677","0.131423900582516"
"1","2004","(1c) basic vocational qualification","Male","161","0.0539731106314671","0.0462447570848111","0.0617014641781231"
"1","2004","(1c) basic vocational qualification","Female","230","0.0839485269814074","0.073647513529543","0.0942495404332719"
"1","2004","(2b) intermediate general qualification","Male","5","","",""
"1","2004","(2b) intermediate general qualification","Female","19","","",""
"1","2004","(2a) intermediate vocational","Male","40","0.0189565396799077","0.0131841006271591","0.0247289787326564"
"1","2004","(2a) intermediate vocational","Female","143","0.0601121518866026","0.0514038709532811","0.068820432819924"
