"plh0204_h","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","(0) in school","in school","19","","",""
"0 Not at all Willing to take risks","2004","(0) in school","inadequately","","","",""
"0 Not at all Willing to take risks","2004","(0) in school","general elemantary","","","",""
"0 Not at all Willing to take risks","2004","(0) in school","middle vocational","","","",""
"0 Not at all Willing to take risks","2004","(0) in school","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","(0) in school","higher vocational","","","",""
"0 Not at all Willing to take risks","2004","(0) in school","higher education","","","",""
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","in school","","","",""
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","inadequately","73","0.315868099274986","0.252845290836569","0.378890907713403"
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","general elemantary","","","",""
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","middle vocational","6","","",""
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","higher vocational","","","",""
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","higher education","","","",""
"0 Not at all Willing to take risks","2004","(1b) general elementary school","in school","","","",""
"0 Not at all Willing to take risks","2004","(1b) general elementary school","inadequately","6","","",""
"0 Not at all Willing to take risks","2004","(1b) general elementary school","general elemantary","400","0.213706390290017","0.195604826072058","0.231807954507975"
"0 Not at all Willing to take risks","2004","(1b) general elementary school","middle vocational","","","",""
"0 Not at all Willing to take risks","2004","(1b) general elementary school","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","(1b) general elementary school","higher vocational","","","",""
"0 Not at all Willing to take risks","2004","(1b) general elementary school","higher education","","","",""
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","in school","","","",""
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","inadequately","","","",""
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","general elemantary","","","",""
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","middle vocational","654","0.127735668855017","0.118968111255698","0.136503226454336"
