"plh0204_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","Full Time","Male","163","0.0344229402197357","0.0296645013474872","0.0391813790919843","0"
"0 Not at all Willing to take risks","2004","Full Time","Female","141","0.0568810727999364","0.0483005497655546","0.0654615958343183","0"
"0 Not at all Willing to take risks","2004","Part Time","Male","64","0.0509542169209983","0.0397996725631811","0.0621087612788155","0"
"0 Not at all Willing to take risks","2004","Part Time","Female","234","0.0758602506850563","0.0671071607964683","0.0846133405736442","0"
"0 Not at all Willing to take risks","2004","Not Working","Male","345","0.123112618988053","0.11181301362698","0.134412224349126","0"
"0 Not at all Willing to take risks","2004","Not Working","Female","777","0.187673743790301","0.176743535408204","0.198603952172398","0"
"1","2004","Not Working","Male","176","0.0567707476724083","0.0488126178749937","0.0647288774698229","1"
"1","2004","Part Time","Male","36","0.033194678501586","0.0241076490290167","0.0422817079741553","1"
"1","2004","Full Time","Female","107","0.038103901819315","0.0310114654515601","0.04519633818707","1"
"1","2004","Part Time","Female","194","0.0641695781226803","0.0560683922270503","0.0722707640183104","1"
"1","2004","Full Time","Male","118","0.0244377115938053","0.0204077137557867","0.0284677094318239","1"
"1","2004","Not Working","Female","404","0.0882530210835271","0.080312236867679","0.0961938052993753","1"
"10 Very willing to take risks","2004","Part Time","Male","31","0.0211275019344544","0.0138328373788326","0.0284221664900762","10"
"10 Very willing to take risks","2004","Full Time","Female","14","","","","10"
"10 Very willing to take risks","2004","Not Working","Male","30","0.0110900400526843","0.007488526830419","0.0146915532749495","10"
"10 Very willing to take risks","2004","Not Working","Female","30","0.00706280485269038","0.00471851703501764","0.00940709267036312","10"
"10 Very willing to take risks","2004","Full Time","Male","75","0.0127540086811281","0.00982525338235611","0.0156827639799002","10"
"10 Very willing to take risks","2004","Part Time","Female","28","","","","10"
"2","2004","Part Time","Male","94","0.0805817226196806","0.0667749228306373","0.0943885224087239","2"
"2","2004","Part Time","Female","388","0.109298296974859","0.0989835574526985","0.119613036497019","2"
"2","2004","Not Working","Female","661","0.138717003200632","0.129040928259981","0.148393078141283","2"
"2","2004","Full Time","Female","277","0.0955271540897498","0.084637656876841","0.106416651302658","2"
"2","2004","Not Working","Male","326","0.104013835578564","0.0935151171506457","0.114512554006481","2"
"2","2004","Full Time","Male","394","0.0696749743860082","0.0630298547474054","0.076320094024611","2"
"3","2004","Full Time","Female","402","0.140030350763734","0.127174545295307","0.152886156232161","3"
"3","2004","Part Time","Female","519","0.144515004019278","0.132891204938516","0.15613880310004","3"
"3","2004","Part Time","Male","172","0.101520765785611","0.0862010872691212","0.116840444302101","3"
"3","2004","Full Time","Male","612","0.106802223033019","0.0987408130900546","0.114863632975984","3"
"3","2004","Not Working","Male","384","0.12325606707308","0.111950805419042","0.134561328727117","3"
"3","2004","Not Working","Female","658","0.131779316765728","0.122310403747068","0.141248229784389","3"
"4","2004","Part Time","Male","135","0.0869747049907007","0.0726806294089928","0.101268780572409","4"
"4","2004","Part Time","Female","421","0.113775853677223","0.103278441085393","0.124273266269054","4"
"4","2004","Not Working","Female","533","0.100058368509364","0.0916580584259689","0.108458678592758","4"
"4","2004","Full Time","Female","321","0.119507655768364","0.107490344850107","0.131524966686621","4"
"4","2004","Not Working","Male","337","0.0994641606546283","0.0891715891568408","0.109756732152416","4"
"4","2004","Full Time","Male","565","0.096501984625091","0.088795101593694","0.104208867656488","4"
"5","2004","Part Time","Male","311","0.21956118363189","0.19856378952961","0.240558577734171","5"
"5","2004","Full Time","Female","661","0.242979385850678","0.227090801289834","0.258867970411523","5"
"5","2004","Part Time","Female","840","0.243268327775665","0.229084313264771","0.257452342286558","5"
"5","2004","Not Working","Male","715","0.223047503628565","0.208731031984566","0.237363975272564","5"
"5","2004","Not Working","Female","950","0.186017064196221","0.175124114934163","0.196910013458278","5"
"5","2004","Full Time","Male","1233","0.227948072268268","0.216998724207398","0.238897420329138","5"
"6","2004","Part Time","Male","198","0.122434498332859","0.105807652831541","0.139061343834178","6"
"6","2004","Not Working","Female","370","0.0669129686443115","0.0599181306026357","0.0739078066859873","6"
"6","2004","Not Working","Male","334","0.0937667246119156","0.0837417228872859","0.103791726336545","6"
"6","2004","Full Time","Female","334","0.118813251867694","0.106826181308951","0.130800322426437","6"
"6","2004","Part Time","Female","361","0.100459645272737","0.0905218150706974","0.110397475474776","6"
"6","2004","Full Time","Male","764","0.137047225590856","0.12807137360351","0.146023077578203","6"
"7","2004","Full Time","Female","330","0.102862936863582","0.0916089733927389","0.114116900334425","7"
"7","2004","Part Time","Female","315","0.0806115158316345","0.0716117025333161","0.0896113291299528","7"
"7","2004","Not Working","Male","305","0.0851538573606811","0.0755550721382875","0.0947526425830748","7"
"7","2004","Not Working","Female","301","0.054167586163555","0.0478312490419533","0.0605039232851568","7"
"7","2004","Part Time","Male","238","0.14986082952813","0.131755465269725","0.167966193786536","7"
"7","2004","Full Time","Male","959","0.16664090921884","0.156914468466997","0.176367349970682","7"
"8","2004","Full Time","Female","177","0.0688257281111977","0.0594471384857151","0.0782043177366803","8"
"8","2004","Part Time","Male","175","0.113150920857534","0.0970825408779875","0.12921930083708","8"
"8","2004","Not Working","Male","235","0.0658217374730169","0.0572938859471392","0.0743495889988946","8"
"8","2004","Not Working","Female","170","0.0313368719318926","0.026459614902952","0.0362141289608332","8"
"8","2004","Part Time","Female","175","0.0436402271508662","0.0368865611709522","0.0503938931307801","8"
"8","2004","Full Time","Male","598","0.102003069733055","0.0941037245722119","0.109902414893898","8"
"9","2004","Not Working","Female","48","0.00802125086177748","0.00552416387560732","0.0105183378479476","9"
"9","2004","Full Time","Male","158","0.021766880650194","0.0179582722329586","0.0255754890674293","9"
"9","2004","Part Time","Male","39","0.0206389768965547","0.0134273428975529","0.0278506108955565","9"
"9","2004","Part Time","Female","40","0.0167215138494076","0.0124825326412838","0.0209604950575314","9"
"9","2004","Not Working","Male","61","0.0145027069064041","0.0103912822723919","0.0186141315404162","9"
"9","2004","Full Time","Female","35","0.0119250511174033","0.00790370262689016","0.0159463996079164","9"
"0 Not at all Willing to take risks","2005","Part Time","Male","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","Female","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","Male","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","Female","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","Female","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","Male","","","","","0"
"1","2005","Not Working","Male","","","","","1"
"1","2005","Part Time","Female","","","","","1"
"1","2005","Full Time","Female","","","","","1"
"1","2005","Part Time","Male","","","","","1"
"1","2005","Full Time","Male","","","","","1"
"1","2005","Not Working","Female","","","","","1"
"10 Very willing to take risks","2005","Part Time","Male","","","","","10"
"10 Very willing to take risks","2005","Full Time","Female","","","","","10"
"10 Very willing to take risks","2005","Not Working","Female","","","","","10"
"10 Very willing to take risks","2005","Full Time","Male","","","","","10"
"10 Very willing to take risks","2005","Part Time","Female","","","","","10"
"10 Very willing to take risks","2005","Not Working","Male","","","","","10"
"2","2005","Full Time","Female","","","","","2"
"2","2005","Part Time","Male","","","","","2"
"2","2005","Part Time","Female","","","","","2"
"2","2005","Not Working","Male","","","","","2"
"2","2005","Not Working","Female","","","","","2"
"2","2005","Full Time","Male","","","","","2"
"3","2005","Part Time","Male","","","","","3"
"3","2005","Part Time","Female","","","","","3"
"3","2005","Full Time","Female","","","","","3"
"3","2005","Not Working","Male","","","","","3"
"3","2005","Not Working","Female","","","","","3"
"3","2005","Full Time","Male","","","","","3"
"4","2005","Full Time","Female","","","","","4"
"4","2005","Part Time","Male","","","","","4"
"4","2005","Part Time","Female","","","","","4"
"4","2005","Not Working","Male","","","","","4"
"4","2005","Not Working","Female","","","","","4"
"4","2005","Full Time","Male","","","","","4"
"5","2005","Part Time","Male","","","","","5"
"5","2005","Part Time","Female","","","","","5"
"5","2005","Not Working","Male","","","","","5"
"5","2005","Not Working","Female","","","","","5"
"5","2005","Full Time","Female","","","","","5"
"5","2005","Full Time","Male","","","","","5"
