"plh0204_h","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","Not Employed","(0) in school","16","","",""
"0 Not at all Willing to take risks","2004","Not Employed","(1a) inadequately completed","56","0.289165482690882","0.217560175847777","0.360770789533987"
"0 Not at all Willing to take risks","2004","Not Employed","(1b) general elementary school","302","0.254596201397113","0.230270548935204","0.278921853859022"
"0 Not at all Willing to take risks","2004","Not Employed","(1c) basic vocational qualification","481","0.180231782353334","0.166328053408648","0.19413551129802"
"0 Not at all Willing to take risks","2004","Not Employed","(2b) intermediate general qualification","16","","",""
"0 Not at all Willing to take risks","2004","Not Employed","(2a) intermediate vocational","119","0.115314762993497","0.0973772886743162","0.133252237312679"
"0 Not at all Willing to take risks","2004","Not Employed","(2c_gen) general maturity certificate","16","","",""
"0 Not at all Willing to take risks","2004","Not Employed","(2c_voc) vocational maturity certificate","46","0.163697930352051","0.126786776736956","0.200609083967146"
"0 Not at all Willing to take risks","2004","Not Employed","(3a) lower tertiary education","18","","",""
"0 Not at all Willing to take risks","2004","Not Employed","(3b) higher tertiary education","31","0.075435335270072","0.0530360830169323","0.0978345875232116"
"0 Not at all Willing to take risks","2004","Employed","(0) in school","3","","",""
"0 Not at all Willing to take risks","2004","Employed","(1a) inadequately completed","23","","",""
"0 Not at all Willing to take risks","2004","Employed","(1b) general elementary school","104","0.140289371207145","0.115807372175537","0.164771370238753"
"0 Not at all Willing to take risks","2004","Employed","(1c) basic vocational qualification","211","0.0681821586221857","0.0593546510561819","0.0770096661881896"
"0 Not at all Willing to take risks","2004","Employed","(2b) intermediate general qualification","13","","",""
"0 Not at all Willing to take risks","2004","Employed","(2a) intermediate vocational","122","0.0339609112658299","0.0281928465660512","0.0397289759656086"
"0 Not at all Willing to take risks","2004","Employed","(2c_gen) general maturity certificate","9","","",""
"0 Not at all Willing to take risks","2004","Employed","(2c_voc) vocational maturity certificate","41","0.0283852245402893","0.0188855819731772","0.0378848671074015"
"0 Not at all Willing to take risks","2004","Employed","(3a) lower tertiary education","32","0.028037386814029","0.018863963231193","0.0372108103968651"
"0 Not at all Willing to take risks","2004","Employed","(3b) higher tertiary education","37","0.0224546053114631","0.0160551781888686","0.0288540324340575"
"1","2004","Not Employed","(0) in school","9","","",""
"1","2004","Not Employed","(1a) inadequately completed","17","","",""
"1","2004","Not Employed","(1b) general elementary school","145","0.115758268243647","0.0978932176103344","0.13362331887696"
"1","2004","Not Employed","(1c) basic vocational qualification","253","0.0869827418082205","0.076789176602562","0.0971763070138789"
"1","2004","Not Employed","(2b) intermediate general qualification","13","","",""
"1","2004","Not Employed","(2a) intermediate vocational","62","0.0523296510168933","0.0398234037131157","0.0648358983206709"
"1","2004","Not Employed","(2c_gen) general maturity certificate","7","","",""
"1","2004","Not Employed","(2c_voc) vocational maturity certificate","20","","",""
"1","2004","Not Employed","(3a) lower tertiary education","23","","",""
"1","2004","Not Employed","(3b) higher tertiary education","23","","",""
"1","2004","Employed","(0) in school","1","","",""
"1","2004","Employed","(1a) inadequately completed","6","","",""
"1","2004","Employed","(1b) general elementary school","49","0.0674007312518326","0.049726595616921","0.0850748668867442"
"1","2004","Employed","(1c) basic vocational qualification","138","0.0485629270326784","0.0410349258826018","0.056090928182755"
"1","2004","Employed","(2b) intermediate general qualification","11","","",""
"1","2004","Employed","(2a) intermediate vocational","121","0.037646996950006","0.0315855615890788","0.0437084323109333"
"1","2004","Employed","(2c_gen) general maturity certificate","9","","",""
"1","2004","Employed","(2c_voc) vocational maturity certificate","39","0.0299915495339873","0.0202348876759882","0.0397482113919865"
"1","2004","Employed","(3a) lower tertiary education","37","0.0272452516692414","0.0181986599115707","0.0362918434269122"
"1","2004","Employed","(3b) higher tertiary education","43","0.0261080647463491","0.0192205483938191","0.0329955810988791"
"2","2004","Not Employed","(0) in school","26","","",""
"2","2004","Not Employed","(1a) inadequately completed","21","","",""
"2","2004","Not Employed","(1b) general elementary school","198","0.173965365800069","0.152797685733118","0.195133045867019"
"2","2004","Not Employed","(1c) basic vocational qualification","406","0.133471600274921","0.12117016177833","0.145773038771512"
"2","2004","Not Employed","(2b) intermediate general qualification","19","","",""
"2","2004","Not Employed","(2a) intermediate vocational","147","0.112968545147676","0.0951909617350851","0.130746128560267"
"2","2004","Not Employed","(2c_gen) general maturity certificate","25","","",""
"2","2004","Not Employed","(2c_voc) vocational maturity certificate","45","0.120949659702786","0.088421189637833","0.153478129767739"
"2","2004","Not Employed","(3a) lower tertiary education","45","0.106390391273318","0.0781827438700005","0.134598038676636"
"2","2004","Not Employed","(3b) higher tertiary education","49","0.0708963480941667","0.0491282002415839","0.0926644959467496"
"2","2004","Employed","(0) in school","2","","",""
"2","2004","Employed","(1a) inadequately completed","14","","",""
"2","2004","Employed","(1b) general elementary school","81","0.0856317040536474","0.0659058317695545","0.10535757633774"
"2","2004","Employed","(1c) basic vocational qualification","295","0.0948703554592173","0.0846077443347912","0.105132966583643"
"2","2004","Employed","(2b) intermediate general qualification","25","","",""
"2","2004","Employed","(2a) intermediate vocational","335","0.0892629489500012","0.080183171087459","0.0983427268125435"
