"plh0204_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","1-pers.-HH","Male","70","0.0631521699400447","0.049531178715458","0.0767731611646315"
"0 Not at all Willing to take risks","2004","1-pers.-HH","Female","253","0.168605318874501","0.15071268185716","0.186497955891843"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","Male","266","0.0930614604876743","0.0835700440558454","0.102552876919503"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","Female","409","0.130233439328077","0.119323870017643","0.14114300863851"
"0 Not at all Willing to take risks","2004","Single parent ","Male","23","","",""
"0 Not at all Willing to take risks","2004","Single parent ","Female","73","0.132666714422722","0.108226431738235","0.157106997107208"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","Male","50","0.027696455113758","0.0205009153560983","0.0348919948714177"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","Female","135","0.0652626290266771","0.0545865047307962","0.075938753322558"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","Male","105","0.0645999146623671","0.0539432249674628","0.0752566043572715"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","Female","138","0.0966120429498399","0.0831788882125772","0.110045197687103"
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","Male","38","0.046078257154008","0.0324114120662659","0.0597451022417501"
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","Female","72","0.118653828617929","0.0973000726118724","0.140007584623985"
"1","2004","1-pers.-HH","Male","33","0.0343272273134425","0.0241315894160578","0.0445228652108273"
"1","2004","1-pers.-HH","Female","145","0.0841355522269291","0.0708695376404916","0.0974015668133665"
"1","2004","(Married) couple without C. ","Male","153","0.0439197135302073","0.0372249676168897","0.0506144594435248"
"1","2004","(Married) couple without C. ","Female","243","0.0703674742000402","0.0620768613742855","0.0786580870257949"
"1","2004","Single parent ","Male","5","","",""
"1","2004","Single parent ","Female","39","0.053454873422309","0.03724810054977","0.069661646294848"
"1","2004","Couple + C. LE 16 ","Male","40","0.0268290780428475","0.0197439486597204","0.0339142074259745"
"1","2004","Couple + C. LE 16 ","Female","106","0.0577367174950662","0.0476546705669027","0.0678187644232296"
"1","2004","Couple + C. GT 16 ","Male","61","0.0389165159868024","0.0305324405202761","0.0473005914533287"
"1","2004","Couple + C. GT 16 ","Female","105","0.068502537579478","0.0570165219194005","0.0799885532395556"
"1","2004","Couple + C. LE and GT 16","Male","22","","",""
"1","2004","Couple + C. LE and GT 16","Female","35","0.0380533011226831","0.0254195647574866","0.0506870374878795"
"2","2004","1-pers.-HH","Male","93","0.0818438519255695","0.0664930400133939","0.0971946638377451"
"2","2004","1-pers.-HH","Female","211","0.132787416446103","0.116570198944818","0.149004633947388"
"2","2004","(Married) couple without C. ","Male","326","0.0917220211128445","0.0822922018670703","0.101151840358619"
"2","2004","(Married) couple without C. ","Female","445","0.123178031153593","0.112525143722846","0.13383091858434"
"2","2004","Single parent ","Male","23","","",""
"2","2004","Single parent ","Female","73","0.0921739517903779","0.0713320351391433","0.113015868441612"
"2","2004","Couple + C. LE 16 ","Male","139","0.078317861742102","0.0665371549915838","0.0900985684926202"
"2","2004","Couple + C. LE 16 ","Female","262","0.118044503690432","0.104097440882306","0.131991566498559"
"2","2004","Couple + C. GT 16 ","Male","149","0.0745795425524459","0.0631905043213253","0.0859685807835666"
"2","2004","Couple + C. GT 16 ","Female","197","0.113356346513567","0.0989410788390839","0.12777161418805"
"2","2004","Couple + C. LE and GT 16","Male","59","0.0784787482565358","0.0609483175244814","0.0960091789885901"
"2","2004","Couple + C. LE and GT 16","Female","86","0.0921171119835147","0.0730209887388151","0.111213235228214"
"3","2004","1-pers.-HH","Male","133","0.111225626468256","0.0936189153388523","0.12883233759766"
"3","2004","1-pers.-HH","Female","221","0.136324044178837","0.119925822971894","0.152722265385779"
"3","2004","(Married) couple without C. ","Male","415","0.113974631494479","0.103592552131627","0.12435671085733"
"3","2004","(Married) couple without C. ","Female","565","0.147520379139785","0.136025272349061","0.159015485930509"
"3","2004","Single parent ","Male","32","0.0903175356961834","0.0602882487377337","0.120346822654633"
"3","2004","Single parent ","Female","84","0.0962945007869358","0.0750402188736569","0.117548782700215"
"3","2004","Couple + C. LE 16 ","Male","235","0.110118297591089","0.0963922268792091","0.123844368302968"
"3","2004","Couple + C. LE 16 ","Female","308","0.15505467220283","0.139409034515988","0.170700309889671"
"3","2004","Couple + C. GT 16 ","Male","228","0.119107487997833","0.105065175386068","0.133149800609598"
"3","2004","Couple + C. GT 16 ","Female","246","0.127933261888335","0.112745568048542","0.143120955728129"
"3","2004","Couple + C. LE and GT 16","Male","103","0.11062317534644","0.0901761638964465","0.131070186796433"
"3","2004","Couple + C. LE and GT 16","Female","115","0.125300024691928","0.1034392638916","0.147160785492256"
"4","2004","1-pers.-HH","Male","117","0.0922056068811807","0.076004210034608","0.108407003727753"
"4","2004","1-pers.-HH","Female","164","0.102772953050284","0.0882610057844405","0.117284900316127"
"4","2004","(Married) couple without C. ","Male","377","0.100546334104155","0.0907213990947733","0.110371269113537"
"4","2004","(Married) couple without C. ","Female","439","0.107910051130951","0.0978527774188328","0.117967324843069"
"4","2004","Single parent ","Male","41","0.0992756078481703","0.067947706090745","0.130603509605596"
"4","2004","Single parent ","Female","66","0.0835955576073137","0.0636536167661552","0.103537498448472"
"4","2004","Couple + C. LE 16 ","Male","214","0.104077143906837","0.0906876753405483","0.117466612473127"
"4","2004","Couple + C. LE 16 ","Female","282","0.139680566015852","0.12469633722129","0.154664794810415"
"4","2004","Couple + C. GT 16 ","Male","197","0.0990937550670647","0.0861407484633221","0.112046761670807"
"4","2004","Couple + C. GT 16 ","Female","204","0.10532777386825","0.0913695979801532","0.119285949756346"
"4","2004","Couple + C. LE and GT 16","Male","69","0.0665727142339503","0.0503227558266257","0.0828226726412749"
