"plh0204_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","16-34 y.","in school","19","","",""
"0 Not at all Willing to take risks","2004","16-34 y.","inadequately","7","","",""
"0 Not at all Willing to take risks","2004","16-34 y.","general elemantary","44","0.0651158826202776","0.0490232694295175","0.0812084958110378"
"0 Not at all Willing to take risks","2004","16-34 y.","middle vocational","84","0.0308493456726644","0.0241236785969545","0.0375750127483743"
"0 Not at all Willing to take risks","2004","16-34 y.","vocational + Abi","12","","",""
"0 Not at all Willing to take risks","2004","16-34 y.","higher vocational","9","","",""
"0 Not at all Willing to take risks","2004","16-34 y.","higher education","12","","",""
"0 Not at all Willing to take risks","2004","35-65 y.","in school","","","",""
"0 Not at all Willing to take risks","2004","35-65 y.","inadequately","46","0.308776877118404","0.231697168898382","0.385856585338426"
"0 Not at all Willing to take risks","2004","35-65 y.","general elemantary","166","0.188122072729025","0.162632094731863","0.213612050726187"
"0 Not at all Willing to take risks","2004","35-65 y.","middle vocational","458","0.0830398332687601","0.0762167129379012","0.0898629535996189"
"0 Not at all Willing to take risks","2004","35-65 y.","vocational + Abi","35","0.0594408365413108","0.0406924887293411","0.0781891843532804"
"0 Not at all Willing to take risks","2004","35-65 y.","higher vocational","41","0.0407417277818092","0.029225443540411","0.0522580120232074"
"0 Not at all Willing to take risks","2004","35-65 y.","higher education","70","0.0238162023654457","0.0184719592816688","0.0291604454492226"
"0 Not at all Willing to take risks","2004","66 and older","in school","","","",""
"0 Not at all Willing to take risks","2004","66 and older","inadequately","26","","",""
"0 Not at all Willing to take risks","2004","66 and older","general elemantary","219","0.285503976986467","0.253664616720777","0.317343337252158"
"0 Not at all Willing to take risks","2004","66 and older","middle vocational","367","0.200878673679487","0.183168223081711","0.218589124277264"
"0 Not at all Willing to take risks","2004","66 and older","vocational + Abi","22","","",""
"0 Not at all Willing to take risks","2004","66 and older","higher vocational","28","","",""
"0 Not at all Willing to take risks","2004","66 and older","higher education","36","0.081658067490621","0.0601891652319378","0.103126969749304"
"1","2004","16-34 y.","in school","10","","",""
"1","2004","16-34 y.","inadequately","1","","",""
"1","2004","16-34 y.","general elemantary","37","0.040916542441065","0.0279959662983124","0.0538371185838175"
"1","2004","16-34 y.","middle vocational","61","0.0251187302820085","0.0190318964605977","0.0312055641034193"
"1","2004","16-34 y.","vocational + Abi","14","","",""
"1","2004","16-34 y.","higher vocational","11","","",""
"1","2004","16-34 y.","higher education","15","","",""
"1","2004","35-65 y.","in school","","","",""
"1","2004","35-65 y.","inadequately","15","","",""
"1","2004","35-65 y.","general elemantary","77","0.090517123569532","0.0718031138157824","0.109231133323282"
"1","2004","35-65 y.","middle vocational","301","0.0539537254398154","0.0483673326324644","0.0595401182471663"
"1","2004","35-65 y.","vocational + Abi","24","","",""
"1","2004","35-65 y.","higher vocational","35","0.0327082732705046","0.0223465396562445","0.0430700068847647"
"1","2004","35-65 y.","higher education","80","0.0312919988146068","0.025189646939695","0.0373943506895186"
"1","2004","66 and older","in school","","","",""
"1","2004","66 and older","inadequately","7","","",""
"1","2004","66 and older","general elemantary","103","0.12745025021254","0.103941811362325","0.150958689062755"
"1","2004","66 and older","middle vocational","181","0.0914938770497223","0.0787495684516326","0.104238185647812"
"1","2004","66 and older","vocational + Abi","6","","",""
"1","2004","66 and older","higher vocational","18","","",""
"1","2004","66 and older","higher education","31","0.049769644744915","0.03272041344552","0.0668188760443099"
"2","2004","16-34 y.","in school","28","","",""
"2","2004","16-34 y.","inadequately","4","","",""
"2","2004","16-34 y.","general elemantary","66","0.0626997730601798","0.0468881460336432","0.0785114000867164"
"2","2004","16-34 y.","middle vocational","199","0.0734065819731878","0.0632621239995927","0.0835510399467829"
"2","2004","16-34 y.","vocational + Abi","21","","",""
"2","2004","16-34 y.","higher vocational","23","","",""
"2","2004","16-34 y.","higher education","35","0.0487217997287348","0.0306307372067338","0.0668128622507358"
"2","2004","35-65 y.","in school","","","",""
"2","2004","35-65 y.","inadequately","21","","",""
"2","2004","35-65 y.","general elemantary","136","0.158809471439634","0.134970385292114","0.182648557587155"
"2","2004","35-65 y.","middle vocational","637","0.101420927596249","0.0939563282881875","0.10888552690431"
"2","2004","35-65 y.","vocational + Abi","58","0.100271542570453","0.0764553648488864","0.124087720292019"
"2","2004","35-65 y.","higher vocational","117","0.097506706252937","0.080225895565954","0.11478751693992"
"2","2004","35-65 y.","higher education","286","0.0984049932147507","0.0879650420494401","0.108844944380061"
"2","2004","66 and older","in school","","","",""
"2","2004","66 and older","inadequately","7","","",""
"2","2004","66 and older","general elemantary","119","0.16686352029834","0.140579177638005","0.193147862958676"
"2","2004","66 and older","middle vocational","271","0.13179816570913","0.116845405567352","0.146750925850908"
"2","2004","66 and older","vocational + Abi","14","","",""
"2","2004","66 and older","higher vocational","31","0.12811696857438","0.087095572117013","0.169138365031747"
"2","2004","66 and older","higher education","53","0.0898338744089228","0.067416307139898","0.112251441677948"
"3","2004","16-34 y.","in school","59","0.0894324119830048","0.0671666800048573","0.111698143961152"
"3","2004","16-34 y.","inadequately","4","","",""
