"plh0204_h","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","(0) in school","West Germany","16","","",""
"0 Not at all Willing to take risks","2004","(0) in school","East Germany","3","","",""
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","West Germany","75","0.271596761668513","0.215557986333934","0.327635537003093"
"0 Not at all Willing to take risks","2004","(1a) inadequately completed","East Germany","4","","",""
"0 Not at all Willing to take risks","2004","(1b) general elementary school","West Germany","372","0.217131134723983","0.197993952987353","0.236268316460613"
"0 Not at all Willing to take risks","2004","(1b) general elementary school","East Germany","34","0.170369587808811","0.120914614472647","0.219824561144974"
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","West Germany","577","0.128764730462705","0.119395201442647","0.138134259482764"
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","East Germany","115","0.0964848386169923","0.0794866113010174","0.113483065932967"
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","West Germany","23","","",""
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","East Germany","6","","",""
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","West Germany","184","0.0643084908671284","0.055864610160418","0.0727523715738388"
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","East Germany","57","0.0354033352586763","0.0267796327263724","0.0440270377909802"
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","West Germany","24","","",""
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","East Germany","1","","",""
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","West Germany","86","0.0731383848649484","0.0592906628369584","0.0869861068929383"
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","East Germany","1","","",""
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","West Germany","33","0.0410962385884893","0.0289375520859067","0.0532549250910719"
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","East Germany","17","","",""
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","West Germany","56","0.0366715121061311","0.0284218316894179","0.0449211925228443"
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","East Germany","12","","",""
"1","2004","(0) in school","West Germany","9","","",""
"1","2004","(0) in school","East Germany","1","","",""
"1","2004","(1a) inadequately completed","West Germany","22","","",""
"1","2004","(1a) inadequately completed","East Germany","1","","",""
"1","2004","(1b) general elementary school","West Germany","169","0.0948108194885942","0.0812129444191369","0.108408694558052"
"1","2004","(1b) general elementary school","East Germany","25","","",""
"1","2004","(1c) basic vocational qualification","West Germany","311","0.0660239835989638","0.0590774154749501","0.0729705517229775"
"1","2004","(1c) basic vocational qualification","East Germany","80","0.0777631213944471","0.0623456036173411","0.093180639171553"
"1","2004","(2b) intermediate general qualification","West Germany","18","","",""
"1","2004","(2b) intermediate general qualification","East Germany","6","","",""
"1","2004","(2a) intermediate vocational","West Germany","127","0.0433319239014191","0.0363234055867648","0.0503404422160734"
"1","2004","(2a) intermediate vocational","East Germany","56","0.0374000730233145","0.0285456974799644","0.0462544485666646"
"1","2004","(2c_gen) general maturity certificate","West Germany","16","","",""
"1","2004","(2c_gen) general maturity certificate","East Germany","","","",""
"1","2004","(2c_voc) vocational maturity certificate","West Germany","53","0.0353632379086368","0.0255399669880203","0.0451865088292533"
"1","2004","(2c_voc) vocational maturity certificate","East Germany","6","","",""
"1","2004","(3a) lower tertiary education","West Germany","26","","",""
"1","2004","(3a) lower tertiary education","East Germany","34","0.0512686065301022","0.0346799736309334","0.0678572394292709"
"1","2004","(3b) higher tertiary education","West Germany","54","0.0340292731669007","0.0260714582634472","0.0419870880703543"
"1","2004","(3b) higher tertiary education","East Germany","12","","",""
"2","2004","(0) in school","West Germany","25","","",""
"2","2004","(0) in school","East Germany","3","","",""
"2","2004","(1a) inadequately completed","West Germany","34","0.135932500509329","0.0927531708249381","0.179111830193721"
"2","2004","(1a) inadequately completed","East Germany","1","","",""
"2","2004","(1b) general elementary school","West Germany","253","0.142775396643872","0.126536877532896","0.159013915754849"
"2","2004","(1b) general elementary school","East Germany","26","","",""
"2","2004","(1c) basic vocational qualification","West Germany","543","0.109879177659959","0.10113067445109","0.118627680868828"
"2","2004","(1c) basic vocational qualification","East Germany","158","0.139130298777775","0.119205867060081","0.159054730495468"
"2","2004","(2b) intermediate general qualification","West Germany","34","0.0758000126310093","0.0513182581269201","0.100281767135099"
"2","2004","(2b) intermediate general qualification","East Germany","10","","",""
"2","2004","(2a) intermediate vocational","West Germany","327","0.100031355043376","0.0897031856764765","0.110359524410275"
"2","2004","(2a) intermediate vocational","East Germany","155","0.0849837517048746","0.0719706401299993","0.0979968632797499"
