"plh0204_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","1-pers.-HH","323","0.123497069369135","0.11153708568273","0.13545705305554"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","675","0.111229853136345","0.103994915469003","0.118464790803687"
"0 Not at all Willing to take risks","2004","Single parent ","96","0.11598433730815","0.0969751086546534","0.134993565961647"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","185","0.0457258022136934","0.0392956170919168","0.05215598733547"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","243","0.0793043410696064","0.0708259979857345","0.0877826841534784"
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","110","0.0799048164452901","0.0673262300064489","0.0924834028841312"
"1","2004","1-pers.-HH","178","0.0628297271250312","0.0540087354125766","0.0716507188374858"
"1","2004","(Married) couple without C. ","396","0.056846474911157","0.0515183751442966","0.0621745746780174"
"1","2004","Single parent ","44","0.040606927257661","0.028889474938273","0.052324379577049"
"1","2004","Couple + C. LE 16 ","146","0.0416627569002003","0.0355118464508469","0.0478136673495536"
"1","2004","Couple + C. GT 16 ","166","0.0525065364092414","0.0455081284495265","0.0595049443689563"
"1","2004","Couple + C. LE and GT 16","57","0.0366999488088","0.0279774182084038","0.0454224794091961"
"2","2004","1-pers.-HH","304","0.110995985442812","0.0995769065916473","0.122415064293977"
"2","2004","(Married) couple without C. ","771","0.107096643594865","0.0999809122890951","0.114212374900636"
"2","2004","Single parent ","96","0.0868480140121482","0.0701299369840725","0.103566091040224"
"2","2004","Couple + C. LE 16 ","401","0.0973840945307167","0.0882576477585647","0.106510541302869"
"2","2004","Couple + C. GT 16 ","346","0.0923912498851753","0.0833053234380095","0.101477176332341"
"2","2004","Couple + C. LE and GT 16","145","0.084835417724527","0.0719093274640873","0.0977615079849668"
"3","2004","1-pers.-HH","354","0.125588037717973","0.11354162446319","0.137634450972755"
"3","2004","(Married) couple without C. ","980","0.130370646286425","0.122622703819315","0.138118588753535"
"3","2004","Single parent ","116","0.0943399082777999","0.0769872832478717","0.111692533307728"
"3","2004","Couple + C. LE 16 ","543","0.131684866951222","0.121275775156096","0.142093958746348"
