"plh0204_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","in school","West Germany","16","","",""
"0 Not at all Willing to take risks","2004","in school","East Germany","3","","",""
"0 Not at all Willing to take risks","2004","inadequately","West Germany","75","0.294110469288467","0.234837214611982","0.353383723964952"
"0 Not at all Willing to take risks","2004","inadequately","East Germany","4","","",""
"0 Not at all Willing to take risks","2004","general elemantary","West Germany","390","0.192374521620063","0.175926104189387","0.208822939050738"
"0 Not at all Willing to take risks","2004","general elemantary","East Germany","39","0.126271866350617","0.0925636995030611","0.159980033198172"
"0 Not at all Willing to take risks","2004","middle vocational","West Germany","751","0.108142043508632","0.101353256110766","0.114930830906499"
"0 Not at all Willing to take risks","2004","middle vocational","East Germany","158","0.0601135546148836","0.0512279983966786","0.0689991108330886"
"0 Not at all Willing to take risks","2004","vocational + Abi","West Germany","68","0.0755841302869613","0.0592336602922172","0.0919346002817055"
"0 Not at all Willing to take risks","2004","vocational + Abi","East Germany","1","","",""
"0 Not at all Willing to take risks","2004","higher vocational","West Germany","62","0.0550058731150042","0.042138392485211","0.0678733537447973"
"0 Not at all Willing to take risks","2004","higher vocational","East Germany","16","","",""
"0 Not at all Willing to take risks","2004","higher education","West Germany","89","0.0384025504775797","0.0315466396691558","0.0452584612860036"
"0 Not at all Willing to take risks","2004","higher education","East Germany","29","","",""
"1","2004","in school","West Germany","9","","",""
"1","2004","in school","East Germany","1","","",""
"1","2004","inadequately","West Germany","22","","",""
"1","2004","inadequately","East Germany","1","","",""
"1","2004","general elemantary","West Germany","186","0.0865051901818305","0.074774610829091","0.09823576953457"
"1","2004","general elemantary","East Germany","31","0.102711042641101","0.0719026950455226","0.133519390236678"
"1","2004","middle vocational","West Germany","423","0.0572826149673329","0.0522027841028154","0.0623624458318504"
"1","2004","middle vocational","East Germany","120","0.0528302680202413","0.0444681549885383","0.0611923810519442"
"1","2004","vocational + Abi","West Germany","39","0.0346140198822133","0.0233067502681866","0.04592128949624"
"1","2004","vocational + Abi","East Germany","5","","",""
"1","2004","higher vocational","West Germany","47","0.0348579612694664","0.0245060379838176","0.0452098845551152"
"1","2004","higher vocational","East Germany","17","","",""
"1","2004","higher education","West Germany","80","0.0332312559060444","0.0268365120802819","0.0396259997318068"
"1","2004","higher education","East Germany","46","0.0395055730511249","0.0288258676789699","0.0501852784232799"
"2","2004","in school","West Germany","25","","",""
"2","2004","in school","East Germany","3","","",""
"2","2004","inadequately","West Germany","32","0.134466751851581","0.090087038048835","0.178846465654328"
"2","2004","inadequately","East Germany","","","",""
"2","2004","general elemantary","West Germany","285","0.132950649591296","0.118782521408502","0.147118777774091"
"2","2004","general elemantary","East Germany","36","0.125232275628193","0.0916431895989373","0.158821361657449"
"2","2004","middle vocational","West Germany","829","0.102629121865041","0.0959952302927654","0.109263013437316"
"2","2004","middle vocational","East Germany","278","0.101640057781538","0.0903442222079034","0.112935893355173"
"2","2004","vocational + Abi","West Germany","86","0.0933028577998857","0.0753116702418062","0.111294045357965"
"2","2004","vocational + Abi","East Germany","7","","",""
"2","2004","higher vocational","West Germany","121","0.0947685687947575","0.0782380527836726","0.111299084805842"
"2","2004","higher vocational","East Germany","50","0.113375598574973","0.0836154919621269","0.14313570518782"
"2","2004","higher education","West Germany","272","0.092688867739487","0.0823426793619637","0.10303505611701"
"2","2004","higher education","East Germany","102","0.0767438603344043","0.0621501545359264","0.0913375661328823"
"3","2004","in school","West Germany","39","0.0798970951448176","0.0553325424523613","0.104461647837274"
"3","2004","in school","East Germany","20","","",""
"3","2004","inadequately","West Germany","19","","",""
"3","2004","inadequately","East Germany","1","","",""
"3","2004","general elemantary","West Germany","283","0.123225924040173","0.109509521283563","0.136942326796784"
"3","2004","general elemantary","East Germany","39","0.112989258466714","0.0808617761013656","0.145116740832062"
"3","2004","middle vocational","West Germany","1011","0.121833413349843","0.11468320434123","0.128983622358457"
"3","2004","middle vocational","East Germany","362","0.143569485687697","0.130461442617005","0.15667752875839"
"3","2004","vocational + Abi","West Germany","147","0.135697751274014","0.114514121314375","0.156881381233653"
"3","2004","vocational + Abi","East Germany","18","","",""
"3","2004","higher vocational","West Germany","149","0.10879217456447","0.0912184926418614","0.126365856487078"
"3","2004","higher vocational","East Germany","67","0.157568988784115","0.123370462367858","0.191767515200372"
"3","2004","higher education","West Germany","405","0.139309420925569","0.126955573269713","0.151663268581425"
"3","2004","higher education","East Germany","162","0.124073165325791","0.105999114016201","0.142147216635381"
"4","2004","in school","West Germany","41","0.0881014133373813","0.0624217176126519","0.113781109062111"
"4","2004","in school","East Germany","18","","",""
"4","2004","inadequately","West Germany","13","","",""
"4","2004","inadequately","East Germany","3","","",""
"4","2004","general elemantary","West Germany","201","0.0916185167276243","0.079580052083895","0.103656981371354"
"4","2004","general elemantary","East Germany","30","0.0825018065126191","0.0545809965214982","0.11042261650374"
"4","2004","middle vocational","West Germany","848","0.0996535853705311","0.0931057408169327","0.106201429924129"
"4","2004","middle vocational","East Germany","320","0.114198116109685","0.10230875574455","0.12608747647482"
"4","2004","vocational + Abi","West Germany","107","0.0975853877900223","0.0792294452210222","0.115941330359022"
"4","2004","vocational + Abi","East Germany","19","","",""
"4","2004","higher vocational","West Germany","132","0.0959163423764901","0.0792965707733083","0.112536113979672"
"4","2004","higher vocational","East Germany","48","0.0958073798950085","0.0681803112286935","0.123434448561324"
"4","2004","higher education","West Germany","352","0.119900088443168","0.108310601415597","0.131489575470739"
"4","2004","higher education","East Germany","160","0.121642321248291","0.103721384179137","0.139563258317446"
"5","2004","in school","West Germany","106","0.239665198342121","0.20099021934029","0.278340177343951"
"5","2004","in school","East Germany","36","0.230241136778712","0.165612782303285","0.29486949125414"
"5","2004","inadequately","West Germany","32","0.140006918529641","0.094867351436233","0.18514648562305"
"5","2004","inadequately","East Germany","1","","",""
"5","2004","general elemantary","West Germany","397","0.1735218778026","0.157718928847922","0.189324826757277"
"5","2004","general elemantary","East Germany","78","0.173946000178029","0.135477512092019","0.212414488264039"
"5","2004","middle vocational","West Germany","1818","0.232282231798497","0.223051080527464","0.241513383069529"
"5","2004","middle vocational","East Germany","673","0.237158258476931","0.221258260398352","0.253058256555509"
"5","2004","vocational + Abi","West Germany","201","0.215027113794321","0.189614158325999","0.240440069262643"
"5","2004","vocational + Abi","East Germany","43","0.31631403259696","0.242627191652575","0.390000873541345"
"5","2004","higher vocational","West Germany","274","0.245614668840869","0.221320714833933","0.269908622847806"
"5","2004","higher vocational","East Germany","97","0.236210005006584","0.196340488101956","0.276079521911212"
"5","2004","higher education","West Germany","622","0.203422155622686","0.189060592517777","0.217783718727595"
"5","2004","higher education","East Germany","282","0.247898456608129","0.224225210367125","0.271571702849133"
"6","2004","in school","West Germany","67","0.110742685900642","0.0823114058186831","0.1391739659826"
"6","2004","in school","East Germany","27","","",""
