"plh0204_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","Not Employed","in school","16","","","","0"
"0 Not at all Willing to take risks","2004","Not Employed","inadequately","54","0.301827500009278","0.228365417761735","0.375289582256821","0"
"0 Not at all Willing to take risks","2004","Not Employed","general elemantary","316","0.237594878317196","0.215496922611435","0.259692834022957","0"
"0 Not at all Willing to take risks","2004","Not Employed","middle vocational","583","0.160631204924392","0.149466327864198","0.171796081984586","0"
"0 Not at all Willing to take risks","2004","Not Employed","vocational + Abi","37","0.177567281661548","0.133200561565568","0.221934001757529","0"
"0 Not at all Willing to take risks","2004","Not Employed","higher vocational","48","0.117603952544591","0.0890519615753346","0.146155943513847","0"
"0 Not at all Willing to take risks","2004","Not Employed","higher education","49","0.0642159928536347","0.0489690463350744","0.0794629393721951","0"
"0 Not at all Willing to take risks","2004","Employed","in school","3","","","","0"
"0 Not at all Willing to take risks","2004","Employed","inadequately","25","","","","0"
"0 Not at all Willing to take risks","2004","Employed","general elemantary","113","0.111465354591014","0.0933080106263472","0.129622698555681","0"
"0 Not at all Willing to take risks","2004","Employed","middle vocational","326","0.0550383751016421","0.0495501365483141","0.0605266136549702","0"
"0 Not at all Willing to take risks","2004","Employed","vocational + Abi","32","0.0291320117983643","0.0179696735681249","0.0402943500286037","0"
"0 Not at all Willing to take risks","2004","Employed","higher vocational","30","0.017302117255422","0.00977561713375213","0.0248286173770919","0"
"0 Not at all Willing to take risks","2004","Employed","higher education","69","0.0247439923383104","0.0194462844544952","0.0300417002221255","0"
"1","2004","Employed","higher education","80","0.0265744023573005","0.0210893984846111","0.0320594062299898","1"
"1","2004","Employed","middle vocational","246","0.0428139224103525","0.0379421859394831","0.0476856588812218","1"
"1","2004","Employed","vocational + Abi","31","0.028912120452455","0.0177907300180061","0.0400335108869039","1"
"1","2004","Employed","higher vocational","31","0.029213014526196","0.0194926265972599","0.0389334024551322","1"
"1","2004","Not Employed","in school","9","","","","1"
"1","2004","Not Employed","inadequately","18","","","","1"
"1","2004","Not Employed","general elemantary","157","0.11003209542086","0.0937845588558617","0.126279631985858","1"
"1","2004","Not Employed","middle vocational","297","0.075696210573987","0.067653415316769","0.083739005831205","1"
"1","2004","Not Employed","vocational + Abi","13","","","","1"
"1","2004","Not Employed","higher vocational","33","0.0491168540692915","0.0299622796319725","0.0682714285066105","1"
"1","2004","Not Employed","higher education","46","0.0561041929931721","0.0417911111333424","0.0704172748530018","1"
"1","2004","Employed","in school","1","","","","1"
"1","2004","Employed","inadequately","5","","","","1"
"1","2004","Employed","general elemantary","60","0.0582282154957757","0.0447173004155883","0.0717391305759631","1"
"10 Very willing to take risks","2004","Not Employed","higher vocational","3","","","","10"
"10 Very willing to take risks","2004","Not Employed","higher education","10","","","","10"
"10 Very willing to take risks","2004","Employed","in school","2","","","","10"
"10 Very willing to take risks","2004","Employed","inadequately","1","","","","10"
"10 Very willing to take risks","2004","Employed","general elemantary","23","","","","10"
"10 Very willing to take risks","2004","Employed","middle vocational","85","0.0112925926599223","0.00874972465332852","0.0138354606665161","10"
