"plh0204_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","Not Employed","no migration background","856","0.154006262366133","0.145450941400693","0.162561583331573","0"
"0 Not at all Willing to take risks","2004","Not Employed","direct migration background","244","0.218244712322307","0.193355420712463","0.243134003932151","0"
"0 Not at all Willing to take risks","2004","Not Employed","indirect migration background","22","","","","0"
"0 Not at all Willing to take risks","2004","Employed","no migration background","405","0.0421709484355315","0.0384869564544408","0.0458549404166222","0"
"0 Not at all Willing to take risks","2004","Employed","direct migration background","168","0.112632488790896","0.0964547940485038","0.128810183533288","0"
"0 Not at all Willing to take risks","2004","Employed","indirect migration background","29","","","","0"
"1","2004","Employed","direct migration background","72","0.0534882321798354","0.0419742602795077","0.0650022040801632","1"
"1","2004","Not Employed","indirect migration background","11","","","","1"
"1","2004","Not Employed","direct migration background","108","0.10460122476256","0.0861603342223452","0.123042115302775","1"
"1","2004","Employed","no migration background","359","0.0361430287950328","0.0327217650316511","0.0395642925584144","1"
"1","2004","Not Employed","no migration background","461","0.0720539171351216","0.0659251416513689","0.0781826926188743","1"
"1","2004","Employed","indirect migration background","24","","","","1"
"10 Very willing to take risks","2004","Not Employed","indirect migration background","3","","","","10"
"10 Very willing to take risks","2004","Not Employed","direct migration background","5","","","","10"
"10 Very willing to take risks","2004","Employed","direct migration background","26","","","","10"
"10 Very willing to take risks","2004","Employed","indirect migration background","16","","","","10"
"10 Very willing to take risks","2004","Not Employed","no migration background","52","0.00896202975514835","0.00672829356450935","0.0111957659457873","10"
"10 Very willing to take risks","2004","Employed","no migration background","106","0.00945271753406587","0.00767900214135005","0.0112264329267817","10"
"2","2004","Not Employed","indirect migration background","26","","","","2"
"2","2004","Employed","no migration background","950","0.0836253556315894","0.0785510863564632","0.0886996249067156","2"
"2","2004","Employed","indirect migration background","51","0.105956871063372","0.0801404778613147","0.131773264265429","2"
"2","2004","Not Employed","direct migration background","160","0.15411282846193","0.132356737191195","0.175868919732666","2"
"2","2004","Employed","direct migration background","152","0.096895651093861","0.0817581515321675","0.112033150655555","2"
"2","2004","Not Employed","no migration background","801","0.12206107905397","0.114302105053622","0.129820053054317","2"
"3","2004","Not Employed","direct migration background","117","0.112958103461951","0.0938843563790722","0.132031850544829","3"
"3","2004","Employed","no migration background","1454","0.121914094475885","0.115916688459358","0.127911500492411","3"
"3","2004","Not Employed","indirect migration background","27","","","","3"
"3","2004","Not Employed","no migration background","898","0.130831121210161","0.122838464534244","0.138823777886077","3"
"3","2004","Employed","direct migration background","192","0.127339660643829","0.11028129192611","0.144398029361548","3"
"3","2004","Employed","indirect migration background","59","0.114431000567023","0.0877295521734374","0.14113244896061","3"
"4","2004","Not Employed","indirect migration background","22","","","","4"
"4","2004","Employed","no migration background","1252","0.106341069232932","0.100690341263012","0.111991797202852","4"
"4","2004","Employed","indirect migration background","44","0.0740170277908246","0.052057697510106","0.0959763580715432","4"
"4","2004","Not Employed","direct migration background","89","0.0905991225845659","0.0733031520206874","0.107895093148444","4"
