"plh0204_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","16-34 y.","no migration background","110","0.0313836351210119","0.0261988506609032","0.0365684195811206","0"
"0 Not at all Willing to take risks","2004","16-34 y.","direct migration background","53","0.0761762880686559","0.0553620627306181","0.0969905134066938","0"
"0 Not at all Willing to take risks","2004","16-34 y.","indirect migration background","42","0.0738117594236305","0.0535073302290329","0.0941161886182282","0"
"0 Not at all Willing to take risks","2004","35-65 y.","no migration background","558","0.0644678446504378","0.0597745000487792","0.0691611892520964","0"
"0 Not at all Willing to take risks","2004","35-65 y.","direct migration background","252","0.163043340047895","0.144623457116341","0.181463222979448","0"
"0 Not at all Willing to take risks","2004","35-65 y.","indirect migration background","7","","","","0"
"0 Not at all Willing to take risks","2004","66 and older","no migration background","593","0.194949796037918","0.181651148825636","0.2082484432502","0"
"0 Not at all Willing to take risks","2004","66 and older","direct migration background","107","0.275612772161551","0.229197793633424","0.322027750689677","0"
"0 Not at all Willing to take risks","2004","66 and older","indirect migration background","2","","","","0"
"1","2004","16-34 y.","no migration background","102","0.0261141606565795","0.0213717927376138","0.0308565285755452","1"
"1","2004","16-34 y.","indirect migration background","27","","","","1"
"1","2004","35-65 y.","indirect migration background","7","","","","1"
"1","2004","66 and older","no migration background","307","0.0873605112232011","0.0778819634807228","0.0968390589656794","1"
"1","2004","16-34 y.","direct migration background","25","","","","1"
"1","2004","35-65 y.","no migration background","411","0.0449954746082066","0.0410338926870391","0.0489570565293741","1"
"1","2004","35-65 y.","direct migration background","115","0.079795541633014","0.0662836756465476","0.0933074076194805","1"
"1","2004","66 and older","direct migration background","40","0.126913600874082","0.0923351297916096","0.161492071956554","1"
"1","2004","66 and older","indirect migration background","1","","","","1"
"10 Very willing to take risks","2004","16-34 y.","indirect migration background","18","","","","10"
"10 Very willing to take risks","2004","16-34 y.","no migration background","52","0.0120103907654117","0.00877104027589289","0.0152497412549305","10"
"10 Very willing to take risks","2004","35-65 y.","direct migration background","16","","","","10"
"10 Very willing to take risks","2004","35-65 y.","indirect migration background","1","","","","10"
"10 Very willing to take risks","2004","35-65 y.","no migration background","87","0.00884610774231627","0.00705662231740255","0.01063559316723","10"
"10 Very willing to take risks","2004","16-34 y.","direct migration background","15","","","","10"
"10 Very willing to take risks","2004","66 and older","no migration background","19","","","","10"
"10 Very willing to take risks","2004","66 and older","direct migration background","","","","","10"
"10 Very willing to take risks","2004","66 and older","indirect migration background","","","","","10"
"2","2004","16-34 y.","direct migration background","58","0.0688399028731366","0.0489749243844789","0.0887048813617944","2"
