"plh0204_h","year","education","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","lower secondary degree","931","0.139535666391521","0.131719164623233","0.147352168159809"
"0 Not at all Willing to take risks","2004","secondary school degree","296","0.0553990798963071","0.0497417806407986","0.0610563791518156"
"0 Not at all Willing to take risks","2004","college entrance qualification","144","0.0360093945131601","0.0310253013952596","0.0409934876310607"
"0 Not at all Willing to take risks","2004","Other degree","226","0.175549963002883","0.153843471657516","0.19725645434825"
"0 Not at all Willing to take risks","2004","no degree/no degree yet","98","0.138384162142381","0.115774497684061","0.160993826600702"
"1","2004","lower secondary degree","524","0.070171982636094","0.0644098060156612","0.0759341592565269"
"1","2004","secondary school degree","232","0.0413270665065444","0.0364045609293457","0.0462495720837431"
"1","2004","college entrance qualification","142","0.0294959454678341","0.0249698712066264","0.0340220197290419"
"1","2004","Other degree","95","0.0968706806238421","0.0799943418916627","0.113747019356022"
"1","2004","no degree/no degree yet","33","0.0360396939879933","0.0238353564925337","0.048244031483453"
"2","2004","lower secondary degree","894","0.118433056886035","0.111144064506242","0.125722049265828"
"2","2004","secondary school degree","590","0.0970701951753148","0.0897486349320829","0.104391755418547"
"2","2004","college entrance qualification","431","0.0766602683289696","0.0695430913245492","0.0837774453333901"
"2","2004","Other degree","144","0.122690753302722","0.103971463958294","0.141410042647149"
"2","2004","no degree/no degree yet","63","0.0850795759703238","0.0668112645740516","0.103347887366596"
"3","2004","lower secondary degree","968","0.12064817073445","0.113300577852107","0.127995763616792"
"3","2004","secondary school degree","804","0.126989592636384","0.118755277766193","0.135223907506574"
"3","2004","college entrance qualification","702","0.131890266922393","0.122838454955773","0.140942078889013"
"3","2004","Other degree","151","0.13607932861568","0.116516119413226","0.155642537818135"
"3","2004","no degree/no degree yet","90","0.109485608147804","0.0890403275649526","0.129930888730655"
"4","2004","lower secondary degree","791","0.100436845973272","0.0936562832051567","0.107217408741388"
"4","2004","secondary school degree","696","0.106231253930869","0.0986109475973439","0.113851560264394"
"4","2004","college entrance qualification","612","0.110492393622012","0.102105852873272","0.118878934370753"
"4","2004","Other degree","115","0.0924523026566329","0.0759250493595256","0.10897955595374"
"4","2004","no degree/no degree yet","74","0.0799472162838524","0.0621888859114354","0.0977055466562693"
