"plh0204_h","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","Not Employed","1-pers.-HH","274","0.207453350168201","0.186597042423975","0.228309657912426"
"0 Not at all Willing to take risks","2004","Not Employed","(Married) couple without C. ","504","0.154529004298907","0.142625408472147","0.166432600125667"
"0 Not at all Willing to take risks","2004","Not Employed","Single parent ","57","0.195624498684801","0.156153940635278","0.235095056734324"
"0 Not at all Willing to take risks","2004","Not Employed","Couple + C. LE 16 ","65","0.105565692524558","0.0836761958134741","0.127455189235643"
"0 Not at all Willing to take risks","2004","Not Employed","Couple + C. GT 16 ","113","0.114275954363234","0.0962151699199993","0.132336738806469"
"0 Not at all Willing to take risks","2004","Not Employed","Couple + C. LE and GT 16","40","0.0945593375720325","0.069857121502676","0.119261553641389"
"0 Not at all Willing to take risks","2004","Employed","1-pers.-HH","49","0.0329333586403033","0.0237634964794815","0.0421032208011251"
"0 Not at all Willing to take risks","2004","Employed","(Married) couple without C. ","171","0.0612886364456743","0.0535735351299419","0.0690037377614067"
"0 Not at all Willing to take risks","2004","Employed","Single parent ","39","0.0764752941690452","0.0568161606593601","0.0961344276787303"
"0 Not at all Willing to take risks","2004","Employed","Couple + C. LE 16 ","120","0.0316452479538582","0.0256699424736474","0.0376205534340691"
"0 Not at all Willing to take risks","2004","Employed","Couple + C. GT 16 ","130","0.0625565904930669","0.0534391589552352","0.0716740220308986"
"0 Not at all Willing to take risks","2004","Employed","Couple + C. LE and GT 16","70","0.0739783356489891","0.0594454478150979","0.0885112234828804"
"1","2004","Not Employed","1-pers.-HH","137","0.09026787638611","0.0755281927975223","0.105007559974698"
"1","2004","Not Employed","(Married) couple without C. ","272","0.0765462176103192","0.0677904694273496","0.0853019657932888"
"1","2004","Not Employed","Single parent ","13","","",""
"1","2004","Not Employed","Couple + C. LE 16 ","38","0.0447243240922746","0.0299999648763434","0.0594486833082058"
"1","2004","Not Employed","Couple + C. GT 16 ","72","0.0660122145595666","0.0519163177129493","0.0801081114061839"
"1","2004","Not Employed","Couple + C. LE and GT 16","14","","",""
"1","2004","Employed","1-pers.-HH","41","0.0332321724338938","0.0240222270375825","0.0424421178302051"
"1","2004","Employed","(Married) couple without C. ","124","0.0341248027195789","0.0282852282920225","0.0399643771471353"
"1","2004","Employed","Single parent ","31","0.0389853172977846","0.0246668977683438","0.0533037368272255"
"1","2004","Employed","Couple + C. LE 16 ","108","0.0409423584712562","0.0341784550062149","0.0477062619362975"
"1","2004","Employed","Couple + C. GT 16 ","94","0.0460387270139601","0.0381484823323364","0.0539289716955838"
"1","2004","Employed","Couple + C. LE and GT 16","43","0.0399677316263312","0.0290912924512005","0.0508441708014619"
"2","2004","Not Employed","1-pers.-HH","203","0.145139763021032","0.127021959483048","0.163257566559015"
"2","2004","Not Employed","(Married) couple without C. ","443","0.126209339013872","0.11527296742306","0.137145710604684"
"2","2004","Not Employed","Single parent ","37","0.0911654218871792","0.0625243199931818","0.119806523781177"
"2","2004","Not Employed","Couple + C. LE 16 ","109","0.114357641484347","0.0916870977674709","0.137028185201224"
"2","2004","Not Employed","Couple + C. GT 16 ","110","0.0972561003572012","0.0804351445275644","0.114077056186838"
"2","2004","Not Employed","Couple + C. LE and GT 16","43","0.0777130604088424","0.0551117435528069","0.100314377264878"
"2","2004","Employed","1-pers.-HH","101","0.0741650638446527","0.0607007860257339","0.0876293416635715"
"2","2004","Employed","(Married) couple without C. ","328","0.0850520714072996","0.0760793072433557","0.0940248355712435"
"2","2004","Employed","Single parent ","59","0.0847061718682456","0.0641085382209182","0.105303805515573"
"2","2004","Employed","Couple + C. LE 16 ","292","0.0933901542407048","0.0834578645173057","0.103322443964104"
"2","2004","Employed","Couple + C. GT 16 ","236","0.09006149456009","0.0792834731470666","0.100839515973113"
"2","2004","Employed","Couple + C. LE and GT 16","102","0.0877157925583912","0.072008799775351","0.103422785341431"
"3","2004","Not Employed","1-pers.-HH","183","0.132295197360734","0.11486818967576","0.149722205045707"
"3","2004","Not Employed","(Married) couple without C. ","500","0.135681258040988","0.124403553601013","0.146958962480962"
"3","2004","Not Employed","Single parent ","43","0.108336263920162","0.0774105518888717","0.139261975951452"
"3","2004","Not Employed","Couple + C. LE 16 ","93","0.118360750677208","0.0953490103427323","0.141372491011683"
"3","2004","Not Employed","Couple + C. GT 16 ","147","0.136185503307894","0.11671462029042","0.155656386325368"
"3","2004","Not Employed","Couple + C. LE and GT 16","50","0.082704194008763","0.0594515587584197","0.105956829259106"
"3","2004","Employed","1-pers.-HH","171","0.118353018968716","0.101755100499588","0.134950937437843"
"3","2004","Employed","(Married) couple without C. ","480","0.124245389664213","0.113635350822387","0.134855428506038"
"3","2004","Employed","Single parent ","73","0.0873963937330585","0.0665050015685526","0.108287785897564"
"3","2004","Employed","Couple + C. LE 16 ","450","0.134820082293128","0.123162214483434","0.146477950102822"
"3","2004","Employed","Couple + C. GT 16 ","327","0.116924380585674","0.104826342932798","0.129022418238551"
"3","2004","Employed","Couple + C. LE and GT 16","168","0.13152113928134","0.112755365488353","0.150286913074327"
"4","2004","Not Employed","1-pers.-HH","136","0.0865227174732343","0.0720623698294139","0.100983065117055"
"4","2004","Not Employed","(Married) couple without C. ","400","0.104794474963847","0.0947076523689103","0.114881297558785"
"4","2004","Not Employed","Single parent ","39","0.0986167906818581","0.0689505584110124","0.128283022952704"
"4","2004","Not Employed","Couple + C. LE 16 ","96","0.137552245831682","0.113016436286351","0.162088055377013"
"4","2004","Not Employed","Couple + C. GT 16 ","123","0.102998806562364","0.0857435043480839","0.120254108776643"
"4","2004","Not Employed","Couple + C. LE and GT 16","54","0.086603406491014","0.0628595701720988","0.110347242809929"
"4","2004","Employed","1-pers.-HH","145","0.110905850506434","0.0947708977200392","0.127040803292829"
"4","2004","Employed","(Married) couple without C. ","416","0.103396902183416","0.0936033667810938","0.113190437585738"
"4","2004","Employed","Single parent ","68","0.0838151368432512","0.0633161536066299","0.104314120079872"
"4","2004","Employed","Couple + C. LE 16 ","400","0.117308396489031","0.106324468819555","0.128292324158506"
