"plh0204_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","1-pers.-HH","in school","","","",""
"0 Not at all Willing to take risks","2004","1-pers.-HH","inadequately","5","","",""
"0 Not at all Willing to take risks","2004","1-pers.-HH","general elemantary","98","0.24049895546912","0.200150190970488","0.280847719967752"
"0 Not at all Willing to take risks","2004","1-pers.-HH","middle vocational","170","0.127061417733099","0.110307711420769","0.143815124045429"
"0 Not at all Willing to take risks","2004","1-pers.-HH","vocational + Abi","16","","",""
"0 Not at all Willing to take risks","2004","1-pers.-HH","higher vocational","14","","",""
"0 Not at all Willing to take risks","2004","1-pers.-HH","higher education","19","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","in school","","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","inadequately","21","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","general elemantary","151","0.205805395137026","0.176813297798832","0.234797492475219"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","middle vocational","406","0.120164093882068","0.109866472904766","0.130461714859371"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","vocational + Abi","18","","",""
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","higher vocational","33","0.0539130979392021","0.0355803962103412","0.072245799668063"
"0 Not at all Willing to take risks","2004","(Married) couple without C. ","higher education","43","0.0398737289454428","0.0304613013232581","0.0492861565676275"
"0 Not at all Willing to take risks","2004","Single parent ","in school","2","","",""
"0 Not at all Willing to take risks","2004","Single parent ","inadequately","4","","",""
"0 Not at all Willing to take risks","2004","Single parent ","general elemantary","36","0.200557788955033","0.14835338088731","0.252762197022756"
"0 Not at all Willing to take risks","2004","Single parent ","middle vocational","40","0.100537076955541","0.0748871643429427","0.126186989568139"
"0 Not at all Willing to take risks","2004","Single parent ","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","Single parent ","higher vocational","2","","",""
"0 Not at all Willing to take risks","2004","Single parent ","higher education","8","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","in school","","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","inadequately","7","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","general elemantary","32","0.102915717237131","0.068646664808436","0.137184769665826"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","middle vocational","96","0.0413702160105713","0.0326836267863197","0.0500568052348229"
