"plh0204_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","Full Time","in school","","","","","0"
"0 Not at all Willing to take risks","2004","Full Time","inadequately","11","","","","0"
"0 Not at all Willing to take risks","2004","Full Time","general elemantary","53","0.101066254259762","0.0770084292283803","0.125124079291144","0"
"0 Not at all Willing to take risks","2004","Full Time","middle vocational","164","0.0472943275119288","0.0407054888093328","0.0538831662145248","0"
"0 Not at all Willing to take risks","2004","Full Time","vocational + Abi","14","","","","0"
"0 Not at all Willing to take risks","2004","Full Time","higher vocational","22","","","","0"
"0 Not at all Willing to take risks","2004","Full Time","higher education","39","0.0173749779879627","0.0121255056261085","0.022624450349817","0"
"0 Not at all Willing to take risks","2004","Part Time","in school","3","","","","0"
"0 Not at all Willing to take risks","2004","Part Time","inadequately","14","","","","0"
"0 Not at all Willing to take risks","2004","Part Time","general elemantary","60","0.122978751324028","0.0955571767382144","0.150400325909841","0"
"0 Not at all Willing to take risks","2004","Part Time","middle vocational","162","0.0673613778449685","0.0578111144350413","0.0769116412548956","0"
"0 Not at all Willing to take risks","2004","Part Time","vocational + Abi","18","","","","0"
"0 Not at all Willing to take risks","2004","Part Time","higher vocational","8","","","","0"
"0 Not at all Willing to take risks","2004","Part Time","higher education","30","0.0420219354082544","0.0290780980179305","0.0549657727985782","0"
"0 Not at all Willing to take risks","2004","Not Working","in school","16","","","","0"
"0 Not at all Willing to take risks","2004","Not Working","inadequately","54","0.301827500009278","0.228365417761735","0.375289582256821","0"
"0 Not at all Willing to take risks","2004","Not Working","general elemantary","316","0.237594878317196","0.215496922611435","0.259692834022957","0"
"0 Not at all Willing to take risks","2004","Not Working","middle vocational","583","0.160631204924392","0.149466327864198","0.171796081984586","0"
"0 Not at all Willing to take risks","2004","Not Working","vocational + Abi","37","0.177567281661548","0.133200561565568","0.221934001757529","0"
"0 Not at all Willing to take risks","2004","Not Working","higher vocational","48","0.117603952544591","0.0890519615753346","0.146155943513847","0"
"0 Not at all Willing to take risks","2004","Not Working","higher education","49","0.0642159928536347","0.0489690463350744","0.0794629393721951","0"
"1","2004","Full Time","in school","","","","","1"
"1","2004","Full Time","vocational + Abi","19","","","","1"
"1","2004","Full Time","middle vocational","110","0.0296198997381772","0.0243574530868721","0.0348823463894822","1"
"1","2004","Full Time","inadequately","1","","","","1"
"1","2004","Full Time","general elemantary","27","","","","1"
"1","2004","Full Time","higher vocational","19","","","","1"
"1","2004","Full Time","higher education","49","0.0250839486526306","0.0188013231273038","0.0313665741779574","1"
"1","2004","Part Time","in school","1","","","","1"
"1","2004","Part Time","inadequately","4","","","","1"
"1","2004","Part Time","general elemantary","33","0.0691083034378654","0.0479302038811671","0.0902864029945636","1"
"1","2004","Part Time","middle vocational","136","0.0638093999950588","0.0544966565320853","0.0731221434580323","1"
"1","2004","Part Time","vocational + Abi","12","","","","1"
"1","2004","Part Time","higher vocational","12","","","","1"
"1","2004","Part Time","higher education","31","0.0300690317654327","0.0190516759558455","0.0410863875750198","1"
"1","2004","Not Working","in school","9","","","","1"
"1","2004","Not Working","inadequately","18","","","","1"
"1","2004","Not Working","middle vocational","297","0.075696210573987","0.067653415316769","0.083739005831205","1"
"1","2004","Not Working","vocational + Abi","13","","","","1"
"1","2004","Not Working","higher vocational","33","0.0491168540692915","0.0299622796319725","0.0682714285066105","1"
"1","2004","Not Working","higher education","46","0.0561041929931721","0.0417911111333424","0.0704172748530018","1"
"1","2004","Not Working","general elemantary","157","0.11003209542086","0.0937845588558617","0.126279631985858","1"
"10 Very willing to take risks","2004","Full Time","middle vocational","52","0.0106860435671524","0.00749450195444736","0.0138775851798575","10"
"10 Very willing to take risks","2004","Full Time","vocational + Abi","4","","","","10"
"10 Very willing to take risks","2004","Full Time","higher vocational","4","","","","10"
"10 Very willing to take risks","2004","Full Time","higher education","18","","","","10"
"10 Very willing to take risks","2004","Part Time","general elemantary","12","","","","10"
"10 Very willing to take risks","2004","Part Time","middle vocational","33","0.0122577863842086","0.00806520981556501","0.0164503629528521","10"
"10 Very willing to take risks","2004","Part Time","vocational + Abi","","","","","10"
"10 Very willing to take risks","2004","Part Time","higher vocational","1","","","","10"
"10 Very willing to take risks","2004","Part Time","higher education","6","","","","10"
"10 Very willing to take risks","2004","Not Working","in school","9","","","","10"
"10 Very willing to take risks","2004","Not Working","inadequately","1","","","","10"
"10 Very willing to take risks","2004","Not Working","general elemantary","7","","","","10"
"10 Very willing to take risks","2004","Not Working","middle vocational","26","","","","10"
"10 Very willing to take risks","2004","Not Working","vocational + Abi","3","","","","10"
"10 Very willing to take risks","2004","Part Time","in school","2","","","","10"
"10 Very willing to take risks","2004","Part Time","inadequately","1","","","","10"
"10 Very willing to take risks","2004","Not Working","higher vocational","3","","","","10"
"10 Very willing to take risks","2004","Not Working","higher education","10","","","","10"
"10 Very willing to take risks","2004","Full Time","in school","","","","","10"
"10 Very willing to take risks","2004","Full Time","inadequately","","","","","10"
"10 Very willing to take risks","2004","Full Time","general elemantary","11","","","","10"
"2","2004","Full Time","vocational + Abi","29","","","","2"
"2","2004","Full Time","higher vocational","74","0.0868322345414706","0.067452249438527","0.106212219644414","2"
"2","2004","Not Working","middle vocational","528","0.121728655521585","0.111786664966898","0.131670646076272","2"
"2","2004","Full Time","general elemantary","52","0.0745335908853639","0.0535709599815835","0.0954962217891443","2"
"2","2004","Full Time","higher education","194","0.0725870135124897","0.0621632232780975","0.0830108037468819","2"
"2","2004","Not Working","inadequately","19","","","","2"
"2","2004","Not Working","vocational + Abi","34","0.139858146294392","0.099590653916262","0.180125638672522","2"
"2","2004","Not Working","higher vocational","64","0.129076153415354","0.0993590305568922","0.158793276273815","2"
"2","2004","Part Time","in school","2","","","","2"
"2","2004","Full Time","middle vocational","312","0.0809558298044347","0.0724890701860033","0.089422589422866","2"
"2","2004","Not Working","general elemantary","216","0.17080774308496","0.151267855764065","0.190347630405856","2"
"2","2004","Part Time","inadequately","8","","","","2"
"2","2004","Full Time","inadequately","5","","","","2"
"2","2004","Not Working","in school","26","","","","2"
"2","2004","Part Time","vocational + Abi","30","0.0998310860570185","0.0678253334447632","0.131836838669274","2"
"2","2004","Part Time","higher education","86","0.127484720834392","0.105968656726961","0.149000784941823","2"
"2","2004","Full Time","in school","","","","","2"
"2","2004","Part Time","general elemantary","53","0.0823034174426931","0.0593561602577085","0.105250674627678","2"
"2","2004","Part Time","middle vocational","267","0.101384567922173","0.0898838213197851","0.112885314524562","2"
"2","2004","Part Time","higher vocational","33","0.0717131912817959","0.0443683345598912","0.0990580480037006","2"
"2","2004","Not Working","higher education","94","0.0882688621636893","0.0706243106274913","0.105913413699887","2"
"3","2004","Part Time","vocational + Abi","56","0.13454398282947","0.0981115828467063","0.170976382812233","3"
"3","2004","Part Time","higher education","124","0.106662677606406","0.0867485529799976","0.126576802232814","3"
"3","2004","Not Working","general elemantary","176","0.113430652807788","0.0969656340268872","0.129895671588689","3"
"3","2004","Not Working","vocational + Abi","31","0.0845671536346694","0.0522643837776523","0.116869923491686","3"
"3","2004","Not Working","higher vocational","78","0.161237493130454","0.128642853439611","0.193832132821296","3"
"3","2004","Not Working","higher education","127","0.146130367692535","0.12415989051782","0.16810084486725","3"
"3","2004","Part Time","higher vocational","43","0.114739518508809","0.0809620507362611","0.148516986281356","3"
"3","2004","Full Time","in school","","","","","3"
"3","2004","Not Working","in school","53","0.0966652675076498","0.0717185567660325","0.121611978249267","3"
"3","2004","Not Working","middle vocational","558","0.135196632381901","0.124799724406924","0.145593540356877","3"
"3","2004","Part Time","general elemantary","85","0.169033974752575","0.137740706188649","0.2003272433165","3"
"3","2004","Part Time","middle vocational","365","0.134203168353756","0.121215160226363","0.147191176481149","3"
"3","2004","Not Working","inadequately","11","","","","3"
"3","2004","Full Time","inadequately","5","","","","3"
"3","2004","Full Time","general elemantary","61","0.102444063349606","0.0782413757637214","0.126646750935491","3"
"3","2004","Full Time","middle vocational","450","0.110606419803134","0.100870832944018","0.12034200666225","3"
"3","2004","Full Time","vocational + Abi","78","0.161205029890183","0.130045678920766","0.192364380859601","3"
"3","2004","Full Time","higher vocational","95","0.0899632488521523","0.0702708014134222","0.109655696290882","3"
"3","2004","Full Time","higher education","316","0.142160997095271","0.128131156488643","0.1561908377019","3"
"3","2004","Part Time","in school","6","","","","3"
"3","2004","Part Time","inadequately","4","","","","3"
"4","2004","Part Time","higher vocational","52","0.147830737991563","0.11021406835476","0.185447407628366","4"
"4","2004","Full Time","in school","","","","","4"
"4","2004","Full Time","inadequately","6","","","","4"
