"plh0204_h","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","Not Employed","lower secondary degree","681","0.194783750271791","0.182411372470678","0.207156128072904"
"0 Not at all Willing to take risks","2004","Not Employed","secondary school degree","147","0.111284371625988","0.0958701231029514","0.126698620149025"
"0 Not at all Willing to take risks","2004","Not Employed","college entrance qualification","68","0.079477940669818","0.0647291219650298","0.0942267593746062"
"0 Not at all Willing to take risks","2004","Not Employed","Other degree","133","0.241029073119437","0.203651475543698","0.278406670695177"
"0 Not at all Willing to take risks","2004","Not Employed","no degree/no degree yet","72","0.128897040646749","0.104002753823568","0.15379132746993"
"0 Not at all Willing to take risks","2004","Employed","lower secondary degree","250","0.0743566780778031","0.0658021523661635","0.0829112037894426"
"0 Not at all Willing to take risks","2004","Employed","secondary school degree","149","0.0333878619053848","0.0282420629693644","0.0385336608414053"
"0 Not at all Willing to take risks","2004","Employed","college entrance qualification","76","0.0190616334846705","0.0148637351050119","0.023259531864329"
"0 Not at all Willing to take risks","2004","Employed","Other degree","93","0.128925128731329","0.103681587069364","0.154168670393294"
"0 Not at all Willing to take risks","2004","Employed","no degree/no degree yet","26","","",""
"1","2004","Not Employed","lower secondary degree","356","0.0904638034465061","0.0815025664878737","0.0994250404051386"
"1","2004","Not Employed","secondary school degree","83","0.0541337239094173","0.0430426734365489","0.0652247743822857"
"1","2004","Not Employed","college entrance qualification","47","0.0387517956055316","0.0282278033367737","0.0492757878742895"
"1","2004","Not Employed","Other degree","60","0.13024996120417","0.100836229399264","0.159663693009077"
"1","2004","Not Employed","no degree/no degree yet","26","","",""
"1","2004","Employed","lower secondary degree","168","0.0462326844998517","0.0393855338418448","0.0530798351578586"
"1","2004","Employed","secondary school degree","149","0.0362829821132266","0.0309267592652167","0.0416392049612366"
"1","2004","Employed","college entrance qualification","95","0.0258872226068515","0.0210121807094934","0.0307622645042096"
"1","2004","Employed","Other degree","35","0.073102742690794","0.0534946030621213","0.0927108823194667"
"1","2004","Employed","no degree/no degree yet","7","","",""
"2","2004","Not Employed","lower secondary degree","556","0.14145760888623","0.130570449666503","0.152344768105957"
"2","2004","Not Employed","secondary school degree","190","0.119837819716063","0.103919319034093","0.135756320398032"
"2","2004","Not Employed","college entrance qualification","119","0.0849607518542743","0.0697571716723597","0.100164332036189"
"2","2004","Not Employed","Other degree","69","0.156491986758458","0.124741180573185","0.18824279294373"
"2","2004","Not Employed","no degree/no degree yet","47","0.0780430968281557","0.0581149906448459","0.0979712030114655"
"2","2004","Employed","lower secondary degree","338","0.0912698160938007","0.0818791764610041","0.100660455726597"
"2","2004","Employed","secondary school degree","400","0.0881028420240435","0.0799838843657499","0.096221799682337"
"2","2004","Employed","college entrance qualification","312","0.0734240291711014","0.0654166457142017","0.0814314126280011"
"2","2004","Employed","Other degree","75","0.0986223610285671","0.0761631319742464","0.121081590082888"
"2","2004","Employed","no degree/no degree yet","16","","",""
"3","2004","Not Employed","lower secondary degree","550","0.131891597675902","0.121320597243918","0.142462598107885"
"3","2004","Not Employed","secondary school degree","205","0.129663045821823","0.113197517107255","0.14612857453639"
"3","2004","Not Employed","college entrance qualification","147","0.119488222019352","0.101801515543717","0.137174928494986"
"3","2004","Not Employed","Other degree","59","0.131882984131717","0.102313236659795","0.161452731603639"
"3","2004","Not Employed","no degree/no degree yet","71","0.123657011031683","0.0992007589701039","0.148113263093263"
"3","2004","Employed","lower secondary degree","418","0.107383725313841","0.0972885063351128","0.117478944292569"
"3","2004","Employed","secondary school degree","599","0.125936615027572","0.116433196448806","0.135440033606339"
"3","2004","Employed","college entrance qualification","555","0.136725645877186","0.126178610207771","0.147272681546601"
"3","2004","Employed","Other degree","92","0.139067363513572","0.113002770198288","0.165131956828855"
"3","2004","Employed","no degree/no degree yet","19","","",""
"4","2004","Not Employed","lower secondary degree","400","0.0923787478961561","0.0833326994329341","0.101424796359378"
"4","2004","Not Employed","secondary school degree","193","0.121114662554745","0.105123194661021","0.13710613044847"
"4","2004","Not Employed","college entrance qualification","163","0.118330599176017","0.100718210939177","0.135942987412858"
"4","2004","Not Employed","Other degree","44","0.0867064116962582","0.0621143517037982","0.111298471688718"
"4","2004","Not Employed","no degree/no degree yet","57","0.0751854836329999","0.05559533238277","0.0947756348832297"
"4","2004","Employed","lower secondary degree","391","0.109943396128701","0.0997432240674732","0.120143568189929"
"4","2004","Employed","secondary school degree","503","0.10036921149486","0.091761953959826","0.108976469029894"
"4","2004","Employed","college entrance qualification","449","0.107436389997168","0.0979297664817317","0.116943013512604"
"4","2004","Employed","Other degree","71","0.0965437023914952","0.074296812449905","0.118790592333085"
"4","2004","Employed","no degree/no degree yet","17","","",""
"5","2004","Not Employed","lower secondary degree","776","0.193723374712759","0.181376598009542","0.206070151415976"
"5","2004","Not Employed","secondary school degree","357","0.208294643900089","0.188390445040794","0.228198842759384"
"5","2004","Not Employed","college entrance qualification","288","0.238809622159222","0.215561419124826","0.262057825193618"
"5","2004","Not Employed","Other degree","80","0.152948814673696","0.12149364852037","0.184403980827022"
"5","2004","Not Employed","no degree/no degree yet","146","0.220750690529802","0.189937780230517","0.251563600829088"
"5","2004","Employed","lower secondary degree","884","0.262117603037483","0.247777384193172","0.276457821881794"
"5","2004","Employed","secondary school degree","1136","0.245478982320531","0.233151476554407","0.257806488086655"
"5","2004","Employed","college entrance qualification","815","0.201863409787266","0.1895409214312","0.214185898143331"
"5","2004","Employed","Other degree","129","0.182402823181155","0.153313124265869","0.211492522096442"
"5","2004","Employed","no degree/no degree yet","31","0.119134359903387","0.0742384843056252","0.164030235501148"
"6","2004","Not Employed","lower secondary degree","266","0.06357482898448","0.055952289442858","0.0711973685261021"
"6","2004","Not Employed","secondary school degree","165","0.0995894108494287","0.0849119565216527","0.114266865177205"
"6","2004","Not Employed","college entrance qualification","154","0.108577849728687","0.0916138145971764","0.125541884860198"
"6","2004","Not Employed","Other degree","23","","",""
"6","2004","Not Employed","no degree/no degree yet","81","0.0840074727778862","0.0633988772123628","0.10461606834341"
"6","2004","Employed","lower secondary degree","375","0.0992108052421868","0.0894630373035931","0.108958573180781"
"6","2004","Employed","secondary school degree","572","0.126724518993839","0.117195716059396","0.136253321928282"
"6","2004","Employed","college entrance qualification","582","0.145313361569055","0.134494358714115","0.156132364423996"
"6","2004","Employed","Other degree","71","0.114925407922866","0.0909010538203244","0.138949762025408"
"6","2004","Employed","no degree/no degree yet","29","","",""
"7","2004","Not Employed","lower secondary degree","175","0.0448150700624084","0.0383514426078879","0.0512786975169289"
"7","2004","Not Employed","secondary school degree","148","0.095318823217074","0.0809255035045704","0.109712142929578"
"7","2004","Not Employed","college entrance qualification","163","0.103767636489472","0.0871389437766129","0.120396329202331"
"7","2004","Not Employed","Other degree","16","","",""
"7","2004","Not Employed","no degree/no degree yet","89","0.111086058046253","0.0877405619041409","0.134431554188365"
"7","2004","Employed","lower secondary degree","391","0.105758570894376","0.0957309180533644","0.115786223735388"
"7","2004","Employed","secondary school degree","645","0.129931845378006","0.120300946424229","0.139562744331782"
"7","2004","Employed","college entrance qualification","703","0.174506637784934","0.162854817659296","0.186158457910572"
"7","2004","Employed","Other degree","41","0.0599189934616267","0.0420410050896109","0.0777969818336425"
"7","2004","Employed","no degree/no degree yet","28","","",""
"8","2004","Not Employed","lower secondary degree","131","0.0367984400442427","0.0309168623404335","0.0426800177480519"
"8","2004","Not Employed","secondary school degree","78","0.0387091351171586","0.0292542120214968","0.0481640582128204"
"8","2004","Not Employed","college entrance qualification","108","0.0728331018299795","0.0586634168128744","0.0870027868470847"
"8","2004","Not Employed","Other degree","10","","",""
"8","2004","Not Employed","no degree/no degree yet","67","0.0895240534061912","0.068313715936237","0.110734390876145"
