"plh0204_h","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","lower secondary degree","1-pers.-HH","219","0.187713991137993","0.16596242275552","0.209465559520467"
"0 Not at all Willing to take risks","2004","lower secondary degree","(Married) couple without C. ","413","0.141538161493727","0.129422927595567","0.153653395391887"
"0 Not at all Willing to take risks","2004","lower secondary degree","Single parent ","54","0.192687921488629","0.152281022734804","0.233094820242454"
"0 Not at all Willing to take risks","2004","lower secondary degree","Couple + C. LE 16 ","67","0.063453740739525","0.0486093818729197","0.0782980996061303"
"0 Not at all Willing to take risks","2004","lower secondary degree","Couple + C. GT 16 ","95","0.0978595848550483","0.0800063864573697","0.115712783252727"
"0 Not at all Willing to take risks","2004","lower secondary degree","Couple + C. LE and GT 16","32","0.0825188868927397","0.0563594209790559","0.108678352806424"
"0 Not at all Willing to take risks","2004","secondary school degree","1-pers.-HH","47","0.0755975497535046","0.0565638422647699","0.0946312572422392"
"0 Not at all Willing to take risks","2004","secondary school degree","(Married) couple without C. ","101","0.0603652821983483","0.049527278894677","0.0712032855020196"
"0 Not at all Willing to take risks","2004","secondary school degree","Single parent ","13","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","Couple + C. LE 16 ","53","0.0323786442748377","0.0233699973050814","0.041387291244594"
"0 Not at all Willing to take risks","2004","secondary school degree","Couple + C. GT 16 ","53","0.0600131408661955","0.0465129088241879","0.0735133729082032"
"0 Not at all Willing to take risks","2004","secondary school degree","Couple + C. LE and GT 16","22","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","1-pers.-HH","34","0.0564063915888685","0.0401323247585697","0.0726804584191673"
"0 Not at all Willing to take risks","2004","college entrance qualification","(Married) couple without C. ","40","0.0325873625532302","0.0242230540729422","0.0409516710335182"
"0 Not at all Willing to take risks","2004","college entrance qualification","Single parent ","5","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","Couple + C. LE 16 ","26","","",""
