"plh0175","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","no migration background","Urban Area","132","0.0223509051533696","0.0186011752645334","0.0261006350422058","0"
"0 Completely dissatisfied","1985","no migration background","Rural Area","61","0.0331684615753967","0.0250411531430052","0.0412957700077883","0"
"0 Completely dissatisfied","1985","direct migration background","Urban Area","80","0.038802014368132","0.0313092630618658","0.0462947656743983","0"
"0 Completely dissatisfied","1985","direct migration background","Rural Area","9","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Urban Area","5","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1985","direct migration background","Urban Area","38","0.0118112065678337","0.00761965464131072","0.0160027584943567","1"
"1 on Scale 1 to 10","1985","direct migration background","Rural Area","4","","","","1"
"1 on Scale 1 to 10","1985","no migration background","Urban Area","83","0.014747275863186","0.0116896055990952","0.0178049461272768","1"
"1 on Scale 1 to 10","1985","no migration background","Rural Area","15","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Urban Area","","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","1"
"10 Completely satisfied","1985","no migration background","Urban Area","765","0.133062703527607","0.124447154849623","0.141678252205591","10"
"10 Completely satisfied","1985","no migration background","Rural Area","214","0.116575227761956","0.102010693689247","0.131139761834666","10"
"10 Completely satisfied","1985","direct migration background","Urban Area","251","0.102806287920835","0.09102315693035","0.11458941891132","10"
"10 Completely satisfied","1985","direct migration background","Rural Area","54","0.144848672675551","0.107656836793097","0.182040508558004","10"
"10 Completely satisfied","1985","indirect migration background","Urban Area","17","","","","10"
"10 Completely satisfied","1985","indirect migration background","Rural Area","5","","","","10"
"2 on Scale 1 to 10","1985","no migration background","Urban Area","184","0.0313448087214154","0.0269247469111136","0.0357648705317172","2"
"2 on Scale 1 to 10","1985","direct migration background","Urban Area","110","0.0531454358003098","0.0444421673222623","0.0618487042783573","2"
"2 on Scale 1 to 10","1985","indirect migration background","Urban Area","5","","","","2"
"2 on Scale 1 to 10","1985","no migration background","Rural Area","70","0.0377846134512433","0.0291309039250433","0.0464383229774433","2"
