"plh0175","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","197","0.0466873101450831","0.0404825525685614","0.0528920677216048","0"
"0 Completely dissatisfied","1984","35-65 y.","222","0.0345838750155592","0.0300775643258486","0.0390901857052697","0"
"0 Completely dissatisfied","1984","66 and older","23","","","","0"
"1 on Scale 1 to 10","1984","35-65 y.","72","0.0101283103141886","0.00765894705794591","0.0125976735704313","1"
"1 on Scale 1 to 10","1984","16-34 y.","85","0.0182568494510509","0.0143193585648929","0.0221943403372089","1"
"1 on Scale 1 to 10","1984","66 and older","17","","","","1"
"10 Completely satisfied","1984","66 and older","264","0.205025810268832","0.18283948794286","0.227212132594804","10"
"10 Completely satisfied","1984","35-65 y.","950","0.159553715483609","0.150522723181046","0.168584707786172","10"
"10 Completely satisfied","1984","16-34 y.","539","0.106987159851064","0.0978963539445019","0.116077965757627","10"
"2 on Scale 1 to 10","1984","35-65 y.","177","0.0249258027040206","0.0210810320468458","0.0287705733611954","2"
"2 on Scale 1 to 10","1984","16-34 y.","218","0.0515269011289533","0.0450250469439482","0.0580287553139583","2"
"2 on Scale 1 to 10","1984","66 and older","40","0.0331842034577523","0.0233408721495674","0.0430275347659373","2"
"3 on Scale 1 to 10","1984","16-34 y.","263","0.0599590130849257","0.0529765550019089","0.0669414711679425","3"
"3 on Scale 1 to 10","1984","66 and older","55","0.0450849586807867","0.0336823888539311","0.0564875285076423","3"
"3 on Scale 1 to 10","1984","35-65 y.","335","0.0522228026295546","0.0467361148682833","0.0577094903908259","3"
"4 on Scale 1 to 10","1984","16-34 y.","255","0.0526735004055494","0.0461036778845585","0.0592433229265403","4"
"4 on Scale 1 to 10","1984","35-65 y.","351","0.0525676536579145","0.0470638817051404","0.0580714256106885","4"
"4 on Scale 1 to 10","1984","66 and older","60","0.0484468872135622","0.0366476483896239","0.0602461260375004","4"
"5 on Scale 1 to 10","1984","16-34 y.","787","0.178154137895758","0.166900295006341","0.189407980785176","5"
"5 on Scale 1 to 10","1984","35-65 y.","1151","0.177111446495392","0.167696434970003","0.18652645802078","5"
"5 on Scale 1 to 10","1984","66 and older","216","0.168860993143837","0.14827337817339","0.189448608114285","5"
"6 on Scale 1 to 10","1984","66 and older","107","0.0821526867547098","0.0670622905842923","0.0972430829251272","6"
"6 on Scale 1 to 10","1984","16-34 y.","408","0.0944540708316948","0.0858525888132881","0.103055552850101","6"
"6 on Scale 1 to 10","1984","35-65 y.","591","0.0932611686682462","0.0860895272870898","0.100432810049403","6"
"7 on Scale 1 to 10","1984","66 and older","171","0.13157657254984","0.113000256753944","0.150152888345737","7"
"7 on Scale 1 to 10","1984","35-65 y.","885","0.142194530473974","0.133581363199318","0.150807697748631","7"
"7 on Scale 1 to 10","1984","16-34 y.","600","0.134426592964637","0.12439425271827","0.144458933211003","7"
"8 on Scale 1 to 10","1984","66 and older","208","0.165068154784153","0.14466667372085","0.185469635847457","8"
"8 on Scale 1 to 10","1984","35-65 y.","1090","0.175812963328753","0.166425130075369","0.185200796582137","8"
"8 on Scale 1 to 10","1984","16-34 y.","741","0.176261570895447","0.165054782126569","0.187468359664324","8"
"9 on Scale 1 to 10","1984","16-34 y.","348","0.0806128933458366","0.0726060899728606","0.0886196967188126","9"
