"plh0175","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","West Germany","197","0.0466873101450831","0.0404825525685614","0.0528920677216048","0"
"0 Completely dissatisfied","1984","16-34 y.","East Germany","","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","West Germany","222","0.0345838750155592","0.0300775643258486","0.0390901857052697","0"
"0 Completely dissatisfied","1984","35-65 y.","East Germany","","","","","0"
"0 Completely dissatisfied","1984","66 and older","West Germany","23","","","","0"
"0 Completely dissatisfied","1984","66 and older","East Germany","","","","","0"
"1 on Scale 1 to 10","1984","16-34 y.","West Germany","85","0.0182568494510509","0.0143193585648929","0.0221943403372089","1"
"1 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","West Germany","72","0.0101283103141886","0.00765894705794591","0.0125976735704313","1"
"1 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","66 and older","West Germany","17","","","","1"
"1 on Scale 1 to 10","1984","66 and older","East Germany","","","","","1"
"10 Completely satisfied","1984","16-34 y.","East Germany","","","","","10"
"10 Completely satisfied","1984","16-34 y.","West Germany","539","0.106987159851064","0.0978963539445019","0.116077965757627","10"
"10 Completely satisfied","1984","35-65 y.","West Germany","950","0.159553715483609","0.150522723181046","0.168584707786172","10"
"10 Completely satisfied","1984","66 and older","East Germany","","","","","10"
"10 Completely satisfied","1984","35-65 y.","East Germany","","","","","10"
"10 Completely satisfied","1984","66 and older","West Germany","264","0.205025810268832","0.18283948794286","0.227212132594804","10"
"2 on Scale 1 to 10","1984","16-34 y.","West Germany","218","0.0515269011289533","0.0450250469439482","0.0580287553139583","2"
"2 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","West Germany","177","0.0249258027040206","0.0210810320468458","0.0287705733611954","2"
"2 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","66 and older","West Germany","40","0.0331842034577523","0.0233408721495674","0.0430275347659373","2"
"2 on Scale 1 to 10","1984","66 and older","East Germany","","","","","2"
"3 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","35-65 y.","West Germany","335","0.0522228026295546","0.0467361148682833","0.0577094903908259","3"
"3 on Scale 1 to 10","1984","16-34 y.","West Germany","263","0.0599590130849257","0.0529765550019089","0.0669414711679425","3"
"3 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","66 and older","West Germany","55","0.0450849586807867","0.0336823888539311","0.0564875285076423","3"
"3 on Scale 1 to 10","1984","66 and older","East Germany","","","","","3"
"4 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","West Germany","351","0.0525676536579145","0.0470638817051404","0.0580714256106885","4"
"4 on Scale 1 to 10","1984","16-34 y.","West Germany","255","0.0526735004055494","0.0461036778845585","0.0592433229265403","4"
"4 on Scale 1 to 10","1984","66 and older","West Germany","60","0.0484468872135622","0.0366476483896239","0.0602461260375004","4"
"4 on Scale 1 to 10","1984","66 and older","East Germany","","","","","4"
"5 on Scale 1 to 10","1984","16-34 y.","West Germany","787","0.178154137895758","0.166900295006341","0.189407980785176","5"
"5 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","66 and older","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","35-65 y.","West Germany","1151","0.177111446495392","0.167696434970003","0.18652645802078","5"
"5 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","66 and older","West Germany","216","0.168860993143837","0.14827337817339","0.189448608114285","5"
"6 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","35-65 y.","West Germany","591","0.0932611686682462","0.0860895272870898","0.100432810049403","6"
"6 on Scale 1 to 10","1984","16-34 y.","West Germany","408","0.0944540708316948","0.0858525888132881","0.103055552850101","6"
"6 on Scale 1 to 10","1984","66 and older","West Germany","107","0.0821526867547098","0.0670622905842923","0.0972430829251272","6"
"6 on Scale 1 to 10","1984","66 and older","East Germany","","","","","6"
"7 on Scale 1 to 10","1984","16-34 y.","West Germany","600","0.134426592964637","0.12439425271827","0.144458933211003","7"
"7 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","35-65 y.","West Germany","885","0.142194530473974","0.133581363199318","0.150807697748631","7"
"7 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","66 and older","West Germany","171","0.13157657254984","0.113000256753944","0.150152888345737","7"
"7 on Scale 1 to 10","1984","66 and older","East Germany","","","","","7"
"8 on Scale 1 to 10","1984","16-34 y.","West Germany","741","0.176261570895447","0.165054782126569","0.187468359664324","8"
"8 on Scale 1 to 10","1984","35-65 y.","West Germany","1090","0.175812963328753","0.166425130075369","0.185200796582137","8"
"8 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","66 and older","West Germany","208","0.165068154784153","0.14466667372085","0.185469635847457","8"
"8 on Scale 1 to 10","1984","66 and older","East Germany","","","","","8"
"9 on Scale 1 to 10","1984","16-34 y.","West Germany","348","0.0806128933458366","0.0726060899728606","0.0886196967188126","9"
"9 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","9"
"9 on Scale 1 to 10","1984","35-65 y.","West Germany","492","0.0776377312287889","0.0710381829138516","0.0842372795437261","9"
"9 on Scale 1 to 10","1984","66 and older","West Germany","111","0.0897942302767911","0.0740834214722128","0.105505039081369","9"
"9 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","9"
"9 on Scale 1 to 10","1984","66 and older","East Germany","","","","","9"
"0 Completely dissatisfied","1985","16-34 y.","West Germany","130","0.0345615123695609","0.0289106064066195","0.0402124183325023","0"
"0 Completely dissatisfied","1985","16-34 y.","East Germany","","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","West Germany","144","0.0263173729172144","0.0221790946608951","0.0304556511735338","0"
"0 Completely dissatisfied","1985","35-65 y.","East Germany","","","","","0"
"0 Completely dissatisfied","1985","66 and older","West Germany","13","","","","0"
"0 Completely dissatisfied","1985","66 and older","East Germany","","","","","0"
"1 on Scale 1 to 10","1985","35-65 y.","West Germany","67","0.0116725412762304","0.00889588033462908","0.0144492022178317","1"
"1 on Scale 1 to 10","1985","35-65 y.","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","West Germany","63","0.0162307574078417","0.0123216696492649","0.0201398451664186","1"
"1 on Scale 1 to 10","1985","16-34 y.","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","66 and older","West Germany","11","","","","1"
"1 on Scale 1 to 10","1985","66 and older","East Germany","","","","","1"
"10 Completely satisfied","1985","16-34 y.","West Germany","427","0.0969063043761599","0.087754603262404","0.106058005489916","10"
"10 Completely satisfied","1985","16-34 y.","East Germany","","","","","10"
"10 Completely satisfied","1985","35-65 y.","West Germany","659","0.12254389288765","0.114066774505413","0.131021011269887","10"
"10 Completely satisfied","1985","35-65 y.","East Germany","","","","","10"
"10 Completely satisfied","1985","66 and older","West Germany","220","0.194702054174647","0.171376184599353","0.21802792374994","10"
"10 Completely satisfied","1985","66 and older","East Germany","","","","","10"
"2 on Scale 1 to 10","1985","16-34 y.","West Germany","170","0.0429591223629717","0.0366864536507623","0.0492317910751812","2"
"2 on Scale 1 to 10","1985","35-65 y.","West Germany","186","0.0324458904942141","0.0278654505717119","0.0370263304167163","2"
"2 on Scale 1 to 10","1985","66 and older","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","66 and older","West Germany","26","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","East Germany","","","","","2"
"3 on Scale 1 to 10","1985","16-34 y.","West Germany","205","0.0525041753078133","0.0456042406176857","0.0594041099979408","3"
"3 on Scale 1 to 10","1985","35-65 y.","West Germany","285","0.0505801310256641","0.0449150145377706","0.0562452475135576","3"
"3 on Scale 1 to 10","1985","16-34 y.","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","35-65 y.","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","66 and older","West Germany","52","0.0502836423015498","0.0374104989969247","0.0631567856061749","3"
