"plh0175","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","no migration background","140","0.0482891535121072","0.0405883511172486","0.0559899559069657","0"
"0 Completely dissatisfied","1984","16-34 y.","direct migration background","55","0.0334169259890926","0.0238931782459739","0.0429406737322112","0"
"0 Completely dissatisfied","1984","16-34 y.","indirect migration background","2","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","no migration background","136","0.0334820855196926","0.0281158680173576","0.0388483030220275","0"
"0 Completely dissatisfied","1984","35-65 y.","direct migration background","85","0.0435459808018775","0.0345522261892421","0.052539735414513","0"
"0 Completely dissatisfied","1984","35-65 y.","indirect migration background","1","","","","0"
"0 Completely dissatisfied","1984","66 and older","no migration background","23","","","","0"
"0 Completely dissatisfied","1984","66 and older","direct migration background","","","","","0"
"0 Completely dissatisfied","1984","66 and older","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1984","66 and older","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","direct migration background","32","0.0205362125740136","0.0130206860842828","0.0280517390637443","1"
"1 on Scale 1 to 10","1984","16-34 y.","no migration background","53","0.0181259477732428","0.0133337257856793","0.0229181697608064","1"
"1 on Scale 1 to 10","1984","35-65 y.","no migration background","39","0.00949449592176034","0.00660167553507279","0.0123873163084479","1"
"1 on Scale 1 to 10","1984","66 and older","no migration background","15","","","","1"
"1 on Scale 1 to 10","1984","66 and older","direct migration background","2","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","direct migration background","33","0.0152712547243284","0.00986706464572629","0.0206754448029305","1"
"1 on Scale 1 to 10","1984","35-65 y.","indirect migration background","","","","","1"
"10 Completely satisfied","1984","16-34 y.","no migration background","330","0.106322324172257","0.0952494246474295","0.117395223697084","10"
"10 Completely satisfied","1984","35-65 y.","no migration background","705","0.164145871289982","0.153096506942611","0.175195235637352","10"
"10 Completely satisfied","1984","35-65 y.","direct migration background","241","0.122030195954583","0.107605442750262","0.136454949158904","10"
"10 Completely satisfied","1984","16-34 y.","direct migration background","198","0.11570845474142","0.0987578449825604","0.13265906450028","10"
"10 Completely satisfied","1984","16-34 y.","indirect migration background","11","","","","10"
"10 Completely satisfied","1984","35-65 y.","indirect migration background","4","","","","10"
"10 Completely satisfied","1984","66 and older","no migration background","257","0.206555644716234","0.183959032949853","0.229152256482615","10"
"10 Completely satisfied","1984","66 and older","direct migration background","6","","","","10"
"10 Completely satisfied","1984","66 and older","indirect migration background","1","","","","10"
"2 on Scale 1 to 10","1984","35-65 y.","indirect migration background","2","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","indirect migration background","2","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","no migration background","95","0.0223501841338918","0.0179406848051552","0.0267596834626284","2"
"2 on Scale 1 to 10","1984","66 and older","direct migration background","4","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","no migration background","144","0.0489025130668214","0.0411554555618153","0.0566495705718276","2"
"2 on Scale 1 to 10","1984","16-34 y.","direct migration background","72","0.0755612838795184","0.0615559402343424","0.0895666275246943","2"
"2 on Scale 1 to 10","1984","35-65 y.","direct migration background","80","0.0447809363046313","0.0356664326601928","0.0538954399490698","2"
"2 on Scale 1 to 10","1984","66 and older","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1984","66 and older","no migration background","36","0.0309316305177197","0.0212678920318693","0.0405953690035702","2"
"3 on Scale 1 to 10","1984","35-65 y.","direct migration background","113","0.0451222620261339","0.0359747231657109","0.054269800886557","3"
"3 on Scale 1 to 10","1984","16-34 y.","no migration background","172","0.058389247324471","0.049966363379215","0.0668121312697269","3"
"3 on Scale 1 to 10","1984","16-34 y.","direct migration background","87","0.0706077620792444","0.0570330450221766","0.0841824791363122","3"
"3 on Scale 1 to 10","1984","16-34 y.","indirect migration background","4","","","","3"
"3 on Scale 1 to 10","1984","35-65 y.","no migration background","222","0.0532571952129856","0.046558931859008","0.0599554585669633","3"
"3 on Scale 1 to 10","1984","35-65 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1984","66 and older","no migration background","54","0.0454554933597513","0.0338287568085141","0.0570822299109886","3"
"3 on Scale 1 to 10","1984","66 and older","direct migration background","1","","","","3"
"3 on Scale 1 to 10","1984","66 and older","indirect migration background","","","","","3"
"4 on Scale 1 to 10","1984","35-65 y.","no migration background","220","0.0506512358648917","0.0441099220504516","0.0571925496793318","4"
"4 on Scale 1 to 10","1984","16-34 y.","no migration background","150","0.0497964198707406","0.0419825519683939","0.0576102877730872","4"
"4 on Scale 1 to 10","1984","16-34 y.","direct migration background","98","0.0750821736666895","0.0611176850660208","0.0890466622673581","4"
"4 on Scale 1 to 10","1984","66 and older","direct migration background","1","","","","4"
"4 on Scale 1 to 10","1984","16-34 y.","indirect migration background","7","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","indirect migration background","4","","","","4"
"4 on Scale 1 to 10","1984","66 and older","no migration background","59","0.0488625955109697","0.0368295253359255","0.060895665686014","4"
"4 on Scale 1 to 10","1984","66 and older","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","direct migration background","127","0.0636478784769375","0.0528895075717918","0.0744062493820832","4"
"5 on Scale 1 to 10","1984","66 and older","no migration background","211","0.169487118392932","0.148545603879078","0.190428632906785","5"
"5 on Scale 1 to 10","1984","66 and older","direct migration background","4","","","","5"
"5 on Scale 1 to 10","1984","35-65 y.","indirect migration background","3","","","","5"
"5 on Scale 1 to 10","1984","16-34 y.","no migration background","512","0.174751789317049","0.161110300070285","0.188393278563813","5"
"5 on Scale 1 to 10","1984","35-65 y.","direct migration background","375","0.173432843344319","0.156747325419574","0.190118361269064","5"
"5 on Scale 1 to 10","1984","35-65 y.","no migration background","773","0.177537498692985","0.166138671540738","0.188936325845231","5"
"5 on Scale 1 to 10","1984","66 and older","indirect migration background","1","","","","5"
"5 on Scale 1 to 10","1984","16-34 y.","direct migration background","252","0.195254462779548","0.174248876121949","0.216260049437146","5"
"5 on Scale 1 to 10","1984","16-34 y.","indirect migration background","23","","","","5"
"6 on Scale 1 to 10","1984","35-65 y.","no migration background","397","0.0931967877527454","0.0845248917004421","0.101868683805049","6"
"6 on Scale 1 to 10","1984","66 and older","no migration background","103","0.0825473582241536","0.0671866949127938","0.0979080215355134","6"
"6 on Scale 1 to 10","1984","16-34 y.","indirect migration background","9","","","","6"
"6 on Scale 1 to 10","1984","16-34 y.","direct migration background","115","0.089891736601287","0.0747347992194274","0.105048673983147","6"
"6 on Scale 1 to 10","1984","35-65 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1984","16-34 y.","no migration background","284","0.0948818862954603","0.0843549266790892","0.105408845911831","6"
"6 on Scale 1 to 10","1984","35-65 y.","direct migration background","194","0.0955178928037132","0.0825646858636764","0.10847109974375","6"
"6 on Scale 1 to 10","1984","66 and older","direct migration background","3","","","","6"
"6 on Scale 1 to 10","1984","66 and older","indirect migration background","1","","","","6"
"7 on Scale 1 to 10","1984","16-34 y.","indirect migration background","13","","","","7"
"7 on Scale 1 to 10","1984","16-34 y.","no migration background","410","0.137590674053552","0.125216680228703","0.149964667878401","7"
"7 on Scale 1 to 10","1984","16-34 y.","direct migration background","177","0.114016760894109","0.0971744319650168","0.130859089823202","7"
"7 on Scale 1 to 10","1984","35-65 y.","direct migration background","267","0.149689907804581","0.133967470388296","0.165412345220865","7"
"7 on Scale 1 to 10","1984","35-65 y.","indirect migration background","3","","","","7"
"7 on Scale 1 to 10","1984","66 and older","no migration background","163","0.128516137063433","0.109836215033704","0.147196059093161","7"
"7 on Scale 1 to 10","1984","66 and older","direct migration background","7","","","","7"
"7 on Scale 1 to 10","1984","66 and older","indirect migration background","1","","","","7"
"7 on Scale 1 to 10","1984","35-65 y.","no migration background","615","0.141307414916692","0.13091638969928","0.151698440134104","7"
"8 on Scale 1 to 10","1984","35-65 y.","direct migration background","309","0.163428879480538","0.147134013872292","0.179723745088783","8"
"8 on Scale 1 to 10","1984","66 and older","indirect migration background","1","","","","8"
"8 on Scale 1 to 10","1984","35-65 y.","no migration background","778","0.177755164500516","0.166350861234186","0.189159467766846","8"
"8 on Scale 1 to 10","1984","16-34 y.","indirect migration background","13","","","","8"
"8 on Scale 1 to 10","1984","16-34 y.","no migration background","536","0.180597643893584","0.166779067049505","0.194416220737664","8"
"8 on Scale 1 to 10","1984","66 and older","no migration background","204","0.167064768734619","0.146243144444115","0.187886393025123","8"
"8 on Scale 1 to 10","1984","16-34 y.","direct migration background","192","0.141389523708601","0.122926120685125","0.159852926732076","8"
"8 on Scale 1 to 10","1984","35-65 y.","indirect migration background","3","","","","8"
"8 on Scale 1 to 10","1984","66 and older","direct migration background","3","","","","8"
"9 on Scale 1 to 10","1984","66 and older","direct migration background","3","","","","9"
"9 on Scale 1 to 10","1984","16-34 y.","direct migration background","90","0.0685347030864768","0.0551458415645851","0.0819235646083686","9"
"9 on Scale 1 to 10","1984","35-65 y.","no migration background","337","0.0768220661938586","0.0688780016113943","0.0847661307763228","9"
"9 on Scale 1 to 10","1984","16-34 y.","no migration background","246","0.0823524007207144","0.0724774537489482","0.0922273476924806","9"
"9 on Scale 1 to 10","1984","16-34 y.","indirect migration background","12","","","","9"
"9 on Scale 1 to 10","1984","35-65 y.","direct migration background","154","0.0835319682783581","0.0713387046116185","0.0957252319450978","9"
"9 on Scale 1 to 10","1984","35-65 y.","indirect migration background","1","","","","9"
"9 on Scale 1 to 10","1984","66 and older","no migration background","108","0.0897065948855736","0.0737562735477459","0.105656916223401","9"
"9 on Scale 1 to 10","1984","66 and older","indirect migration background","","","","","9"
"0 Completely dissatisfied","1985","16-34 y.","no migration background","92","0.034463434727298","0.0276800630750299","0.0412468063795662","0"
"0 Completely dissatisfied","1985","16-34 y.","direct migration background","36","0.0381317909187981","0.0269207310503712","0.049342850787225","0"
"0 Completely dissatisfied","1985","16-34 y.","indirect migration background","2","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","no migration background","89","0.0241809452197632","0.0194158222955578","0.0289460681439686","0"
"0 Completely dissatisfied","1985","35-65 y.","direct migration background","52","0.0422859370782326","0.0328248918882167","0.0517469822682484","0"
"0 Completely dissatisfied","1985","35-65 y.","indirect migration background","3","","","","0"
"0 Completely dissatisfied","1985","66 and older","no migration background","12","","","","0"
"0 Completely dissatisfied","1985","66 and older","direct migration background","1","","","","0"
"0 Completely dissatisfied","1985","66 and older","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1985","16-34 y.","no migration background","46","0.016268689477886","0.0115643733064067","0.0209730056493654","1"
"1 on Scale 1 to 10","1985","16-34 y.","indirect migration background","1","","","","1"
"1 on Scale 1 to 10","1985","66 and older","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","direct migration background","16","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","no migration background","41","0.0120688773839883","0.00868160909935208","0.0154561456686246","1"
"1 on Scale 1 to 10","1985","35-65 y.","direct migration background","26","","","","1"
"1 on Scale 1 to 10","1985","66 and older","no migration background","11","","","","1"
"1 on Scale 1 to 10","1985","66 and older","direct migration background","","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","indirect migration background","","","","","1"
"10 Completely satisfied","1985","16-34 y.","no migration background","265","0.0942493348981203","0.0833844420343599","0.105114227761881","10"
"10 Completely satisfied","1985","16-34 y.","indirect migration background","18","","","","10"
"10 Completely satisfied","1985","35-65 y.","direct migration background","153","0.0933211940118111","0.0796457926815318","0.10699659534209","10"
"10 Completely satisfied","1985","35-65 y.","no migration background","502","0.126217993521416","0.115916148568685","0.136519838474147","10"
"10 Completely satisfied","1985","16-34 y.","direct migration background","144","0.116759019396668","0.0979602201611514","0.135557818632185","10"
"10 Completely satisfied","1985","35-65 y.","indirect migration background","4","","","","10"
"10 Completely satisfied","1985","66 and older","no migration background","212","0.194493777623027","0.170722058358386","0.218265496887668","10"
"10 Completely satisfied","1985","66 and older","direct migration background","8","","","","10"
"10 Completely satisfied","1985","66 and older","indirect migration background","","","","","10"
"2 on Scale 1 to 10","1985","16-34 y.","no migration background","113","0.0422415497001056","0.0347619236095703","0.049721175790641","2"
"2 on Scale 1 to 10","1985","16-34 y.","direct migration background","51","0.0510263683718284","0.0381447719897262","0.0639079647539306","2"
"2 on Scale 1 to 10","1985","16-34 y.","indirect migration background","6","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","no migration background","119","0.0313539790947267","0.0259479085781807","0.0367600496112728","2"
"2 on Scale 1 to 10","1985","35-65 y.","direct migration background","67","0.0414671134594678","0.0320941134736727","0.0508401134452628","2"
"2 on Scale 1 to 10","1985","35-65 y.","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1985","66 and older","direct migration background","4","","","","2"
"2 on Scale 1 to 10","1985","66 and older","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1985","66 and older","no migration background","22","","","","2"
"3 on Scale 1 to 10","1985","16-34 y.","direct migration background","56","0.0559013666185357","0.0424531349544627","0.0693495982826087","3"
"3 on Scale 1 to 10","1985","35-65 y.","indirect migration background","3","","","","3"
"3 on Scale 1 to 10","1985","16-34 y.","no migration background","146","0.0520903298780217","0.0438272109951395","0.0603534487609039","3"
