"plh0175","year","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","no migration background","299","0.035302178656536","0.0313852436748368","0.0392191136382351","0"
"0 Completely dissatisfied","1984","direct migration background","140","0.0381152579554763","0.031660191905756","0.0445703240051967","0"
"0 Completely dissatisfied","1984","indirect migration background","3","","","","0"
"1 on Scale 1 to 10","1984","direct migration background","67","0.0178957102902933","0.013426374193467","0.0223650463871196","1"
"1 on Scale 1 to 10","1984","no migration background","107","0.012748159944954","0.0103670048307794","0.0151293150591285","1"
"1 on Scale 1 to 10","1984","indirect migration background","","","","","1"
"10 Completely satisfied","1984","no migration background","1292","0.154042455702191","0.146380414903933","0.161704496500449","10"
"10 Completely satisfied","1984","direct migration background","445","0.121475418936674","0.110462285470277","0.132488552403072","10"
"10 Completely satisfied","1984","indirect migration background","16","","","","10"
"2 on Scale 1 to 10","1984","indirect migration background","4","","","","2"
"2 on Scale 1 to 10","1984","direct migration background","156","0.0599500536080623","0.0519469213636812","0.0679531858524434","2"
"2 on Scale 1 to 10","1984","no migration background","275","0.0323859329352498","0.0286286036942828","0.0361432621762168","2"
"3 on Scale 1 to 10","1984","direct migration background","201","0.0541207809825289","0.0464931511186714","0.0617484108463863","3"
"3 on Scale 1 to 10","1984","no migration background","448","0.0533772970381322","0.0486062169533401","0.0581483771229244","3"
"3 on Scale 1 to 10","1984","indirect migration background","4","","","","3"
"4 on Scale 1 to 10","1984","no migration background","429","0.0500372565711102","0.0454097185982335","0.0546647945439869","4"
"4 on Scale 1 to 10","1984","indirect migration background","11","","","","4"
"4 on Scale 1 to 10","1984","direct migration background","226","0.066823273214346","0.0584047568027446","0.0752417896259474","4"
"5 on Scale 1 to 10","1984","no migration background","1496","0.175109353781329","0.167042525324034","0.183176182238623","5"
"5 on Scale 1 to 10","1984","direct migration background","631","0.179088290383539","0.166162069839934","0.192014510927145","5"
"5 on Scale 1 to 10","1984","indirect migration background","27","","","","5"
"6 on Scale 1 to 10","1984","no migration background","784","0.0916806111698618","0.0855555842506692","0.0978056380890544","6"
"6 on Scale 1 to 10","1984","direct migration background","312","0.0913476020061935","0.0816349639504102","0.101060240061977","6"
"6 on Scale 1 to 10","1984","indirect migration background","10","","","","6"
"7 on Scale 1 to 10","1984","indirect migration background","17","","","","7"
"7 on Scale 1 to 10","1984","no migration background","1188","0.137673380252379","0.130360123113476","0.144986637391282","7"
"7 on Scale 1 to 10","1984","direct migration background","451","0.140797434829266","0.129071839695161","0.15252302996337","7"
"8 on Scale 1 to 10","1984","indirect migration background","17","","","","8"
"8 on Scale 1 to 10","1984","direct migration background","504","0.151382080899443","0.139298849980748","0.163465311818137","8"
"8 on Scale 1 to 10","1984","no migration background","1518","0.176596607301267","0.168502900580062","0.184690314022472","8"
"9 on Scale 1 to 10","1984","indirect migration background","13","","","","9"
"9 on Scale 1 to 10","1984","direct migration background","247","0.0790040968941775","0.0699103388146758","0.0880978549736793","9"
"9 on Scale 1 to 10","1984","no migration background","691","0.0810467666469901","0.075254287069006","0.0868392462249742","9"
"0 Completely dissatisfied","1985","no migration background","193","0.0249900876901282","0.0215337434030714","0.028446431977185","0"
