"plh0175","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","in school","Male","5","","","","0"
"0 Completely dissatisfied","1984","in school","Female","2","","","","0"
"0 Completely dissatisfied","1984","inadequately","Male","26","","","","0"
"0 Completely dissatisfied","1984","inadequately","Female","18","","","","0"
"0 Completely dissatisfied","1984","general elemantary","Male","48","0.0473745498772697","0.0349051860868005","0.0598439136677388","0"
"0 Completely dissatisfied","1984","general elemantary","Female","75","0.0357612958726285","0.0281257018139141","0.043396889931343","0"
"0 Completely dissatisfied","1984","middle vocational","Male","133","0.039594476108981","0.0327727063368063","0.0464162458811557","0"
"0 Completely dissatisfied","1984","middle vocational","Female","83","0.0323321490879921","0.0254315966829259","0.0392327014930582","0"
"0 Completely dissatisfied","1984","vocational + Abi","Male","10","","","","0"
"0 Completely dissatisfied","1984","vocational + Abi","Female","4","","","","0"
"0 Completely dissatisfied","1984","higher vocational","Male","10","","","","0"
"0 Completely dissatisfied","1984","higher vocational","Female","8","","","","0"
"0 Completely dissatisfied","1984","higher education","Male","9","","","","0"
"0 Completely dissatisfied","1984","higher education","Female","4","","","","0"
"1 on Scale 1 to 10","1984","higher education","Male","2","","","","1"
"1 on Scale 1 to 10","1984","inadequately","Female","22","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","Male","36","0.0104626176372004","0.00690311996771923","0.0140221153066816","1"
"1 on Scale 1 to 10","1984","higher education","Female","1","","","","1"
"1 on Scale 1 to 10","1984","in school","Male","1","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","Male","1","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","Female","3","","","","1"
"1 on Scale 1 to 10","1984","in school","Female","","","","","1"
"1 on Scale 1 to 10","1984","inadequately","Male","12","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","Male","21","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","Female","40","0.0174229983856011","0.0120429191346908","0.0228030776365114","1"
"1 on Scale 1 to 10","1984","middle vocational","Female","29","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","Male","3","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","Female","2","","","","1"
"10 Completely satisfied","1984","middle vocational","Male","380","0.121291522278447","0.10987089219775","0.132712152359143","10"
"10 Completely satisfied","1984","vocational + Abi","Male","30","0.1608098884219","0.109116645235968","0.212503131607832","10"
"10 Completely satisfied","1984","higher education","Female","61","0.249855821341099","0.196822940884601","0.302888701797597","10"
"10 Completely satisfied","1984","middle vocational","Female","439","0.177117546395798","0.162223828952588","0.192011263839007","10"
"10 Completely satisfied","1984","higher vocational","Male","55","0.148653671074833","0.11293242859437","0.184374913555296","10"
"10 Completely satisfied","1984","in school","Male","15","","","","10"
"10 Completely satisfied","1984","in school","Female","12","","","","10"
"10 Completely satisfied","1984","inadequately","Male","54","0.108383770277177","0.0787594075175181","0.138008133036836","10"
"10 Completely satisfied","1984","general elemantary","Male","131","0.118647190291057","0.0996664003441547","0.137627980237959","10"
"10 Completely satisfied","1984","general elemantary","Female","335","0.148678091835375","0.134049102553561","0.16330708111719","10"
"10 Completely satisfied","1984","vocational + Abi","Female","20","","","","10"
"10 Completely satisfied","1984","higher education","Male","90","0.17252238994499","0.140476058428571","0.204568721461408","10"
"10 Completely satisfied","1984","inadequately","Female","65","0.115813076608875","0.0898819729491414","0.141744180268608","10"
"10 Completely satisfied","1984","higher vocational","Female","55","0.205581748479162","0.157817975166192","0.253345521792131","10"
"2 on Scale 1 to 10","1984","in school","Male","1","","","","2"
"2 on Scale 1 to 10","1984","inadequately","Male","21","","","","2"
"2 on Scale 1 to 10","1984","middle vocational","Female","86","0.0313252129972998","0.0245294311345884","0.0381209948600112","2"
"2 on Scale 1 to 10","1984","middle vocational","Male","110","0.0380782083990886","0.0313830544435458","0.0447733623546314","2"
"2 on Scale 1 to 10","1984","in school","Female","2","","","","2"
"2 on Scale 1 to 10","1984","vocational + Abi","Male","10","","","","2"
"2 on Scale 1 to 10","1984","higher education","Female","5","","","","2"
"2 on Scale 1 to 10","1984","general elemantary","Female","94","0.0403499362678144","0.0322585710865296","0.0484413014490991","2"
"2 on Scale 1 to 10","1984","inadequately","Female","29","","","","2"
"2 on Scale 1 to 10","1984","general elemantary","Male","49","0.0429233035581397","0.0310264915736106","0.0548201155426688","2"
"2 on Scale 1 to 10","1984","vocational + Abi","Female","3","","","","2"
"2 on Scale 1 to 10","1984","higher vocational","Male","7","","","","2"
"2 on Scale 1 to 10","1984","higher vocational","Female","9","","","","2"
"2 on Scale 1 to 10","1984","higher education","Male","7","","","","2"
"3 on Scale 1 to 10","1984","in school","Female","4","","","","3"
"3 on Scale 1 to 10","1984","in school","Male","3","","","","3"
"3 on Scale 1 to 10","1984","inadequately","Male","35","0.140122385589925","0.107043567018794","0.173201204161056","3"
"3 on Scale 1 to 10","1984","inadequately","Female","35","0.0707069658521895","0.0499350000203818","0.0914789316839972","3"
"3 on Scale 1 to 10","1984","general elemantary","Male","82","0.0801712900998498","0.0642318312149723","0.0961107489847274","3"
"3 on Scale 1 to 10","1984","general elemantary","Female","147","0.0657630013881539","0.0555709108761221","0.0759550919001857","3"
"3 on Scale 1 to 10","1984","vocational + Abi","Male","8","","","","3"
