"plh0175","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Full Time","West Germany","145","0.0250667744415962","0.0209796619096479","0.0291538869735445","0"
"0 Completely dissatisfied","1984","Full Time","East Germany","","","","","0"
"0 Completely dissatisfied","1984","Part Time","West Germany","81","0.0453333784226324","0.0358918221710118","0.0547749346742529","0"
"0 Completely dissatisfied","1984","Part Time","East Germany","","","","","0"
"0 Completely dissatisfied","1984","Not Working","West Germany","216","0.0420954929606137","0.0362569048596036","0.0479340810616238","0"
"0 Completely dissatisfied","1984","Not Working","East Germany","","","","","0"
"1 on Scale 1 to 10","1984","Full Time","West Germany","57","0.00884422727617401","0.00639639961678708","0.0112920549355609","1"
"1 on Scale 1 to 10","1984","Full Time","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","Part Time","West Germany","32","0.0176595335209557","0.0116818997467194","0.0236371672951921","1"
"1 on Scale 1 to 10","1984","Part Time","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","Not Working","West Germany","85","0.0157415812787952","0.0121224221664667","0.0193607403911236","1"
"1 on Scale 1 to 10","1984","Not Working","East Germany","","","","","1"
"10 Completely satisfied","1984","Full Time","East Germany","","","","","10"
"10 Completely satisfied","1984","Full Time","West Germany","730","0.126264018675503","0.117580217975711","0.134947819375294","10"
"10 Completely satisfied","1984","Part Time","West Germany","257","0.144265552788404","0.128319268499801","0.160211837077007","10"
"10 Completely satisfied","1984","Not Working","East Germany","","","","","10"
"10 Completely satisfied","1984","Part Time","East Germany","","","","","10"
"10 Completely satisfied","1984","Not Working","West Germany","766","0.17601215982042","0.164939277940341","0.187085041700499","10"
"2 on Scale 1 to 10","1984","Full Time","West Germany","158","0.0271507064019589","0.0229016422907452","0.0313997705131725","2"
"2 on Scale 1 to 10","1984","Full Time","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","Part Time","West Germany","79","0.038936721523245","0.0301573312512825","0.0477161117952075","2"
"2 on Scale 1 to 10","1984","Part Time","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","Not Working","West Germany","198","0.0409403582881654","0.0351789645390794","0.0467017520372514","2"
"2 on Scale 1 to 10","1984","Not Working","East Germany","","","","","2"
"3 on Scale 1 to 10","1984","Full Time","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","Part Time","West Germany","117","0.0583419306156988","0.0477042808535717","0.0689795803778259","3"
"3 on Scale 1 to 10","1984","Full Time","West Germany","283","0.0510200293024909","0.0452672354956094","0.0567728231093724","3"
"3 on Scale 1 to 10","1984","Part Time","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","Not Working","West Germany","253","0.0540396594994287","0.047465780651287","0.0606135383475704","3"
"3 on Scale 1 to 10","1984","Not Working","East Germany","","","","","3"
"4 on Scale 1 to 10","1984","Full Time","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","Part Time","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","Part Time","West Germany","113","0.0558670382798266","0.0454437901326697","0.0662902864269835","4"
"4 on Scale 1 to 10","1984","Full Time","West Germany","310","0.051719392263519","0.0459294387827377","0.0575093457443003","4"
