"plh0175","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Full Time","in school","","","","","0"
"0 Completely dissatisfied","1984","Full Time","inadequately","14","","","","0"
"0 Completely dissatisfied","1984","Full Time","general elemantary","28","","","","0"
"0 Completely dissatisfied","1984","Full Time","middle vocational","87","0.0284290148344957","0.0224061470548501","0.0344518826141412","0"
"0 Completely dissatisfied","1984","Full Time","vocational + Abi","5","","","","0"
"0 Completely dissatisfied","1984","Full Time","higher vocational","7","","","","0"
"0 Completely dissatisfied","1984","Full Time","higher education","2","","","","0"
"0 Completely dissatisfied","1984","Part Time","in school","1","","","","0"
"0 Completely dissatisfied","1984","Part Time","inadequately","8","","","","0"
"0 Completely dissatisfied","1984","Part Time","general elemantary","21","","","","0"
"0 Completely dissatisfied","1984","Part Time","middle vocational","37","0.0438673443404085","0.0302507672145697","0.0574839214662472","0"
"0 Completely dissatisfied","1984","Part Time","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","1984","Part Time","higher vocational","4","","","","0"
"0 Completely dissatisfied","1984","Part Time","higher education","5","","","","0"
"0 Completely dissatisfied","1984","Not Working","in school","6","","","","0"
"0 Completely dissatisfied","1984","Not Working","inadequately","22","","","","0"
"0 Completely dissatisfied","1984","Not Working","general elemantary","74","0.0411749437666856","0.031760183172766","0.0505897043606052","0"
"0 Completely dissatisfied","1984","Not Working","middle vocational","92","0.0429713165161932","0.0337775123826278","0.0521651206497587","0"
"0 Completely dissatisfied","1984","Not Working","vocational + Abi","7","","","","0"
"0 Completely dissatisfied","1984","Not Working","higher vocational","7","","","","0"
"0 Completely dissatisfied","1984","Not Working","higher education","6","","","","0"
"1 on Scale 1 to 10","1984","Not Working","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","Not Working","middle vocational","24","","","","1"
"1 on Scale 1 to 10","1984","Not Working","higher education","","","","","1"
"1 on Scale 1 to 10","1984","Full Time","general elemantary","16","","","","1"
"1 on Scale 1 to 10","1984","Not Working","higher vocational","2","","","","1"
"1 on Scale 1 to 10","1984","Full Time","middle vocational","24","","","","1"
"1 on Scale 1 to 10","1984","Full Time","vocational + Abi","2","","","","1"
"1 on Scale 1 to 10","1984","Full Time","in school","","","","","1"
"1 on Scale 1 to 10","1984","Full Time","inadequately","12","","","","1"
"1 on Scale 1 to 10","1984","Full Time","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1984","Full Time","higher education","2","","","","1"
"1 on Scale 1 to 10","1984","Part Time","in school","","","","","1"
"1 on Scale 1 to 10","1984","Part Time","inadequately","3","","","","1"
"1 on Scale 1 to 10","1984","Part Time","general elemantary","8","","","","1"
"1 on Scale 1 to 10","1984","Part Time","middle vocational","17","","","","1"
"1 on Scale 1 to 10","1984","Part Time","vocational + Abi","2","","","","1"
"1 on Scale 1 to 10","1984","Part Time","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1984","Part Time","higher education","1","","","","1"
"1 on Scale 1 to 10","1984","Not Working","in school","1","","","","1"
"1 on Scale 1 to 10","1984","Not Working","inadequately","19","","","","1"
