"plh0175","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","1-pers.-HH","Male","27","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","Female","40","0.0475695282706599","0.032736121293028","0.0624029352482918","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","Male","36","0.0214461063985714","0.013715586204704","0.0291766265924388","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","Female","26","","","","0"
"0 Completely dissatisfied","1984","Single parent ","Male","17","","","","0"
"0 Completely dissatisfied","1984","Single parent ","Female","37","0.0978751768288526","0.0677602448639738","0.127990108793732","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","Male","52","0.0285521670389806","0.020217952209761","0.0368863818682003","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","Female","43","0.0284158304315958","0.0201009539427932","0.0367307069203984","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","Male","47","0.0457833049243734","0.0331468920260566","0.0584197178226901","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","Female","22","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","Male","46","0.0537184490086805","0.0388390387827857","0.0685978592345753","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","Female","16","","","","0"
"1 on Scale 1 to 10","1984","1-pers.-HH","Male","8","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","15","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","Female","13","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","Male","5","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","20","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","25","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","12","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","Female","12","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","Female","20","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","Male","13","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","8","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","8","","","","1"
"10 Completely satisfied","1984","Couple + C. LE 16 ","Male","172","0.11285120323524","0.0970173453701847","0.128685061100295","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","Female","261","0.180304531980967","0.161066306983766","0.199542756978169","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","Male","129","0.112655668768796","0.0935408868447416","0.131770450692851","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","Female","132","0.151931154093269","0.128106378332642","0.175755929853895","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","Male","118","0.125966905376863","0.104068828951384","0.147864981802341","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","Female","126","0.151254116183486","0.125831030351267","0.176677202015705","10"
"10 Completely satisfied","1984","1-pers.-HH","Male","64","0.123379800071571","0.095641555113184","0.151118045029958","10"
"10 Completely satisfied","1984","1-pers.-HH","Female","131","0.177308742296761","0.15069270692345","0.203924777670073","10"
"10 Completely satisfied","1984","(Married) couple without C. ","Male","222","0.174693610725345","0.15443133455068","0.194955886900009","10"
"10 Completely satisfied","1984","(Married) couple without C. ","Female","259","0.19999045789891","0.17862970706878","0.22135120872904","10"
"10 Completely satisfied","1984","Single parent ","Male","20","","","","10"
"10 Completely satisfied","1984","Single parent ","Female","25","","","","10"
"2 on Scale 1 to 10","1984","1-pers.-HH","Female","36","0.0443151421781325","0.0299736851731612","0.0586565991831038","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","46","0.0292808622068764","0.0208441324608381","0.0377175919529147","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","58","0.0307698432855511","0.0221278979958212","0.039411788575281","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","35","0.0306997375278294","0.0202707240338363","0.0411287510218225","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","30","0.0302950730367863","0.01891891408391","0.0416712319896627","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","29","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","19","","","","2"
"2 on Scale 1 to 10","1984","1-pers.-HH","Male","34","0.0672348025993215","0.0461128314536162","0.0883567737450268","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","Male","33","0.0223177529909091","0.0144352124313011","0.0302002935505171","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","Female","31","0.0208685548936004","0.0132349271021204","0.0285021826850804","2"
"2 on Scale 1 to 10","1984","Single parent ","Male","8","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","Female","24","","","","2"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","41","0.0446229532139517","0.0299724555295271","0.0592734508983763","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","105","0.0673673473563268","0.0548239424125017","0.0799107523001519","3"
"3 on Scale 1 to 10","1984","Single parent ","Female","34","0.0959158363114363","0.0660715031255398","0.125760169497333","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","Male","30","0.0514753066668552","0.032838349666728","0.0701122636669824","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","Female","62","0.0730430639809666","0.0549096690707095","0.0911764588912236","3"
