"plh0175","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","in school","7","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","inadequately","13","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","general elemantary","54","0.0566808807056162","0.0436682440363611","0.0696935173748713","0"
"0 Completely dissatisfied","1984","16-34 y.","middle vocational","100","0.0447156771065177","0.035950843053882","0.0534805111591533","0"
"0 Completely dissatisfied","1984","16-34 y.","vocational + Abi","9","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","higher vocational","6","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","higher education","8","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","in school","","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","inadequately","30","0.0429830831554064","0.0278717203303322","0.0580944459804806","0"
"0 Completely dissatisfied","1984","35-65 y.","general elemantary","59","0.03772036314016","0.028552598013283","0.046888128267037","0"
"0 Completely dissatisfied","1984","35-65 y.","middle vocational","107","0.0376563821752565","0.0307869401167661","0.0445258242337469","0"
"0 Completely dissatisfied","1984","35-65 y.","vocational + Abi","5","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","higher vocational","10","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","higher education","4","","","","0"
"0 Completely dissatisfied","1984","66 and older","in school","","","","","0"
"0 Completely dissatisfied","1984","66 and older","inadequately","1","","","","0"
"0 Completely dissatisfied","1984","66 and older","general elemantary","10","","","","0"
"0 Completely dissatisfied","1984","66 and older","middle vocational","9","","","","0"
"0 Completely dissatisfied","1984","66 and older","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","66 and older","higher vocational","2","","","","0"
"0 Completely dissatisfied","1984","66 and older","higher education","1","","","","0"
"1 on Scale 1 to 10","1984","66 and older","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","66 and older","middle vocational","2","","","","1"
"1 on Scale 1 to 10","1984","66 and older","higher education","","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","general elemantary","25","","","","1"
"1 on Scale 1 to 10","1984","66 and older","higher vocational","","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","middle vocational","42","0.0200795903887231","0.0141309146940267","0.0260282660834195","1"
"1 on Scale 1 to 10","1984","16-34 y.","vocational + Abi","4","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","in school","1","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","inadequately","12","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","higher education","","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","in school","","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","inadequately","21","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","general elemantary","22","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","middle vocational","21","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","higher vocational","3","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","higher education","3","","","","1"
"1 on Scale 1 to 10","1984","66 and older","in school","","","","","1"
"1 on Scale 1 to 10","1984","66 and older","inadequately","1","","","","1"
"1 on Scale 1 to 10","1984","66 and older","general elemantary","14","","","","1"
"10 Completely satisfied","1984","66 and older","higher education","24","","","","10"
