"plh0175","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Not Employed","in school","6","","","","0"
"0 Completely dissatisfied","1984","Not Employed","inadequately","22","","","","0"
"0 Completely dissatisfied","1984","Not Employed","general elemantary","74","0.0411749437666856","0.031760183172766","0.0505897043606052","0"
"0 Completely dissatisfied","1984","Not Employed","middle vocational","92","0.0429713165161932","0.0337775123826278","0.0521651206497587","0"
"0 Completely dissatisfied","1984","Not Employed","vocational + Abi","7","","","","0"
"0 Completely dissatisfied","1984","Not Employed","higher vocational","7","","","","0"
"0 Completely dissatisfied","1984","Not Employed","higher education","6","","","","0"
"0 Completely dissatisfied","1984","Employed","in school","1","","","","0"
"0 Completely dissatisfied","1984","Employed","inadequately","22","","","","0"
"0 Completely dissatisfied","1984","Employed","general elemantary","49","0.0349207145626714","0.0261318222794666","0.0437096068458762","0"
"0 Completely dissatisfied","1984","Employed","middle vocational","124","0.0320970967882892","0.0264885777307532","0.0377056158458252","0"
"0 Completely dissatisfied","1984","Employed","vocational + Abi","7","","","","0"
"0 Completely dissatisfied","1984","Employed","higher vocational","11","","","","0"
"0 Completely dissatisfied","1984","Employed","higher education","7","","","","0"
"1 on Scale 1 to 10","1984","Employed","higher vocational","2","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","middle vocational","24","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","higher education","","","","","1"
"1 on Scale 1 to 10","1984","Employed","higher education","3","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","in school","1","","","","1"
"1 on Scale 1 to 10","1984","Employed","middle vocational","41","0.0116561403064424","0.00824082468002618","0.0150714559328586","1"
"1 on Scale 1 to 10","1984","Employed","vocational + Abi","4","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","inadequately","19","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","general elemantary","37","0.0211882914216839","0.0143645803001948","0.028012002543173","1"
"1 on Scale 1 to 10","1984","Not Employed","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","higher vocational","2","","","","1"
"1 on Scale 1 to 10","1984","Employed","in school","","","","","1"
"1 on Scale 1 to 10","1984","Employed","inadequately","15","","","","1"
"1 on Scale 1 to 10","1984","Employed","general elemantary","24","","","","1"
"10 Completely satisfied","1984","Not Employed","higher education","36","0.236007810149944","0.169797260289633","0.302218360010255","10"
"10 Completely satisfied","1984","Employed","inadequately","87","0.128399926644581","0.102400692808067","0.154399160481095","10"
"10 Completely satisfied","1984","Employed","higher education","115","0.186691194634317","0.156311793641832","0.217070595626803","10"
"10 Completely satisfied","1984","Employed","in school","2","","","","10"
"10 Completely satisfied","1984","Employed","middle vocational","465","0.118648914633252","0.108359141859439","0.128938687407064","10"
"10 Completely satisfied","1984","Not Employed","in school","25","","","","10"
"10 Completely satisfied","1984","Not Employed","inadequately","32","0.0924087314148883","0.0629795433854073","0.121837919444369","10"
"10 Completely satisfied","1984","Not Employed","general elemantary","257","0.15032010997415","0.133386119993708","0.167254099954592","10"
"10 Completely satisfied","1984","Not Employed","vocational + Abi","16","","","","10"
"10 Completely satisfied","1984","Not Employed","higher vocational","41","0.228924844544924","0.168052873406732","0.289796815683116","10"
"10 Completely satisfied","1984","Employed","general elemantary","209","0.126610550112157","0.110690295741319","0.142530804482995","10"
"10 Completely satisfied","1984","Employed","higher vocational","69","0.14692446421619","0.115019495562074","0.178829432870305","10"
"10 Completely satisfied","1984","Not Employed","middle vocational","354","0.193314536450008","0.175411453987671","0.211217618912344","10"
"10 Completely satisfied","1984","Employed","vocational + Abi","34","0.16036452398546","0.112942103966945","0.207786944003975","10"
"2 on Scale 1 to 10","1984","Not Employed","in school","3","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","general elemantary","76","0.0443237384236013","0.0345716714066299","0.0540758054405726","2"
"2 on Scale 1 to 10","1984","Employed","in school","","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","higher education","3","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","inadequately","23","","","","2"
"2 on Scale 1 to 10","1984","Employed","inadequately","27","","","","2"
"2 on Scale 1 to 10","1984","Employed","higher education","9","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","higher vocational","6","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","middle vocational","83","0.0396721803718565","0.0308231389037644","0.0485212218399486","2"
"2 on Scale 1 to 10","1984","Not Employed","vocational + Abi","3","","","","2"
"2 on Scale 1 to 10","1984","Employed","general elemantary","67","0.0358641506162664","0.0269616815253802","0.0447666197071526","2"
"2 on Scale 1 to 10","1984","Employed","middle vocational","113","0.0320577306335617","0.0264525379913192","0.0376629232758043","2"
"2 on Scale 1 to 10","1984","Employed","vocational + Abi","10","","","","2"
"2 on Scale 1 to 10","1984","Employed","higher vocational","10","","","","2"
"3 on Scale 1 to 10","1984","Not Employed","inadequately","37","0.124359888383117","0.0908263326207048","0.157893444145529","3"
"3 on Scale 1 to 10","1984","Not Employed","in school","6","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","general elemantary","109","0.0654311747267094","0.0537140489993048","0.077148300454114","3"
"3 on Scale 1 to 10","1984","Not Employed","middle vocational","73","0.0391550711642188","0.0303615239381167","0.0479486183903209","3"
"3 on Scale 1 to 10","1984","Not Employed","vocational + Abi","4","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","higher vocational","11","","","","3"
