"plh0175","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","Rural Area","Female","33","0.0308128027378243","0.0207370313437011","0.0408885741319474","0"
"0 Completely dissatisfied","1985","Rural Area","Male","37","0.0361843009588732","0.0251232059447484","0.0472453959729979","0"
"0 Completely dissatisfied","1985","Urban Area","Female","103","0.0211567271750886","0.0168997957521468","0.0254136585980305","0"
"0 Completely dissatisfied","1985","Urban Area","Male","114","0.0273876142782976","0.022483096112069","0.0322921324445262","0"
"1 on Scale 1 to 10","1985","Rural Area","Female","8","","","","1"
"1 on Scale 1 to 10","1985","Rural Area","Male","12","","","","1"
"1 on Scale 1 to 10","1985","Urban Area","Male","52","0.0115444014306146","0.00833433780124049","0.0147544650599887","1"
"1 on Scale 1 to 10","1985","Urban Area","Female","69","0.0168277378413544","0.013022835552641","0.0206326401300679","1"
"10 Completely satisfied","1985","Rural Area","Female","151","0.129068104545375","0.109519739825155","0.148616469265595","10"
"10 Completely satisfied","1985","Rural Area","Male","122","0.106821809727471","0.0885264879591005","0.125117131495842","10"
"10 Completely satisfied","1985","Urban Area","Female","588","0.145678623916214","0.135242856708961","0.156114391123466","10"
"10 Completely satisfied","1985","Urban Area","Male","445","0.111565306665145","0.102104532304224","0.121026081026066","10"
"2 on Scale 1 to 10","1985","Rural Area","Female","46","0.039102108682861","0.0278003096962146","0.0504039076695073","2"
"2 on Scale 1 to 10","1985","Rural Area","Male","37","0.0338265025807169","0.0231187792749952","0.0445342258864386","2"
"2 on Scale 1 to 10","1985","Urban Area","Female","155","0.0357783863935307","0.0302840577019937","0.0412727150850677","2"
"2 on Scale 1 to 10","1985","Urban Area","Male","144","0.0310896723513493","0.0258741331582","0.0363052115444987","2"
"3 on Scale 1 to 10","1985","Rural Area","Female","64","0.0642671002611904","0.0499689725666316","0.0785652279557491","3"
"3 on Scale 1 to 10","1985","Urban Area","Male","217","0.0515994779159718","0.04495183176623","0.0582471240657136","3"
"3 on Scale 1 to 10","1985","Rural Area","Male","46","0.0406987761851454","0.0289954527949676","0.0524020995753232","3"
