"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","Female","2.66","3","6885","1","2","3","4","5","2.64","2.68","1","5","2","2"
"1992","Male","2.45","2","6479","1","2","3","4","5","2.43","2.47","1","5","2","2"
"1993","Female","","","","","","","","","","","","","",""
"1993","Male","","","","","","","","","","","","","",""
"1994","Female","2.8","3","6693","2","2","3","4","5","2.78","2.82","1","5","3","3"
"1994","Male","2.59","2","6225","1","2","3","4","5","2.57","2.61","1","5","2","2"
"1995","Female","2.79","3","6914","2","2","3","4","5","2.77","2.81","1","5","3","3"
"1995","Male","2.6","2","6415","2","2","3","4","5","2.58","2.62","1","5","2","2"
"1996","Female","2.77","3","6796","2","2","3","4","5","2.75","2.79","1","5","3","3"
"1996","Male","2.62","3","6301","2","2","3","4","5","2.6","2.64","1","5","2","2"
"1997","Female","2.76","3","6669","2","2","3","4","5","2.74","2.78","1","5","3","3"
"1997","Male","2.6","2","6227","2","2","3","4","5","2.58","2.62","1","5","2","2"
"1998","Female","2.72","3","7390","2","2","3","4","5","2.7","2.74","1","5","2","3"
"1998","Male","2.55","2","6905","1","2","3","4","5","2.53","2.57","1","5","2","2"
"1999","Female","2.74","3","7108","2","2","3","4","5","2.72","2.76","1","5","3","3"
"1999","Male","2.59","2","6630","2","2","3","4","5","2.57","2.61","1","5","2","2"
"2000","Female","2.68","3","12593","1","2","3","4","5","2.66","2.7","1","5","2","3"
"2000","Male","2.54","2","11632","1","2","3","4","5","2.52","2.56","1","5","2","2"
"2001","Female","2.7","3","11470","2","2","3","4","5","2.68","2.72","1","5","3","3"
"2001","Male","2.55","2","10562","1","2","3","4","5","2.53","2.57","1","5","2","2"
"2002","Female","2.73","3","11955","2","2","3","4","5","2.71","2.75","1","5","2","3"
"2002","Male","2.59","2","11160","1","2","3","4","5","2.57","2.61","1","5","2","2"
"2003","Female","2.73","3","11549","2","2","3","4","5","2.71","2.75","1","5","2","3"
"2003","Male","2.57","2","10709","1","2","3","4","5","2.55","2.59","1","5","2","2"
"2004","Female","2.75","3","11278","2","2","3","4","5","2.73","2.77","1","5","2","3"
"2004","Male","2.6","2","10414","1","2","3","4","5","2.58","2.62","1","5","2","2"
"2005","Female","2.74","3","10829","2","2","3","4","5","2.72","2.76","1","5","3","3"
"2005","Male","2.65","3","9913","2","2","3","4","5","2.63","2.67","1","5","2","3"
"2006","Female","2.75","3","11545","2","2","3","4","5","2.73","2.77","1","5","3","3"
"2006","Male","2.62","3","10500","2","2","3","4","5","2.6","2.64","1","5","2","2"
"2007","Female","2.75","3","10784","2","2","3","4","5","2.73","2.77","1","5","3","3"
"2007","Male","2.64","3","9788","2","2","3","4","5","2.62","2.66","1","5","2","3"
"2008","Female","2.74","3","10156","2","2","3","4","5","2.72","2.76","1","5","3","3"
"2008","Male","2.62","3","9246","2","2","3","4","5","2.6","2.64","1","5","2","3"
"2009","Female","2.75","3","9461","2","2","3","4","5","2.73","2.77","1","5","3","3"
"2009","Male","2.64","3","8622","2","2","3","4","5","2.62","2.66","1","5","3","3"
"2010","Female","2.74","3","13103","2","2","3","4","5","2.72","2.76","1","5","2","2"
"2010","Male","2.63","3","10946","2","2","3","4","5","2.61","2.65","1","5","2","2"
"2011","Female","2.72","3","15573","2","2","3","4","5","2.7","2.74","1","5","2","3"
"2011","Male","2.6","3","12889","1","2","3","4","5","2.58","2.62","1","5","2","2"
"2012","Female","2.7","3","15132","2","2","3","4","5","2.68","2.72","1","5","2","3"
"2012","Male","2.58","2","12586","1","2","3","4","5","2.56","2.6","1","5","2","2"
"2013","Female","2.72","3","16713","2","2","3","4","5","2.7","2.74","1","5","2","2"
"2013","Male","2.59","2","14026","1","2","3","4","5","2.57","2.61","1","5","2","2"
"2014","Female","2.73","3","14702","2","2","3","4","5","2.71","2.75","1","5","3","3"
"2014","Male","2.59","2","12485","1","2","3","4","5","2.57","2.61","1","5","2","2"
"2015","Female","2.72","3","14545","2","2","3","4","5","2.7","2.74","1","5","2","3"
"2015","Male","2.6","2","12377","1","2","3","4","5","2.58","2.62","1","5","2","2"
"2016","Female","2.73","3","14916","2","2","3","4","5","2.71","2.75","1","5","2","3"
"2016","Male","2.59","2","13941","1","2","3","4","5","2.57","2.61","1","5","2","2"
"2017","Female","2.71","3","16563","2","2","3","4","5","2.69","2.73","1","5","2","2"
"2017","Male","2.59","2","15674","1","2","3","4","5","2.57","2.61","1","5","2","2"
"2018","Female","2.71","3","15608","2","2","3","4","5","2.69","2.73","1","5","2","3"
"2018","Male","2.56","2","14476","1","2","3","4","5","2.54","2.58","1","5","2","2"
"2019","Female","2.69","3","15033","2","2","3","4","5","2.67","2.71","1","5","2","2"
"2019","Male","2.56","2","14663","1","2","3","4","5","2.54","2.58","1","5","2","2"
