"year","age_gr","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","16-34 y.","East Germany","1.9","2","1396","1","1","2","3","4","1.86","1.94","1","5","2","2"
"1992","16-34 y.","West Germany","2.02","2","3594","1","1","2","3","5","1.99","2.05","1","5","2","2"
"1992","35-65 y.","East Germany","2.55","2","2188","2","2","3","4","5","2.51","2.59","1","5","2","2"
"1992","35-65 y.","West Germany","2.66","3","4710","2","2","3","4","5","2.63","2.69","1","5","3","3"
"1992","66 and older","East Germany","3.34","3","398","2","3","4","5","5","3.25","3.43","1","5","3","3"
"1992","66 and older","West Germany","3.28","3","1078","2","3","4","5","5","3.22","3.34","1","5","3","3"
"1993","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1993","16-34 y.","West Germany","","","","","","","","","","","","","",""
"1993","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1993","35-65 y.","West Germany","","","","","","","","","","","","","",""
"1993","66 and older","East Germany","","","","","","","","","","","","","",""
"1993","66 and older","West Germany","","","","","","","","","","","","","",""
"1994","16-34 y.","East Germany","2.17","2","1274","1","2","3","3","4","2.13","2.21","1","5","2","2"
"1994","16-34 y.","West Germany","2.2","2","3538","1","2","3","3","4","2.17","2.23","1","5","2","2"
"1994","35-65 y.","East Germany","2.77","3","2108","2","2","3","4","5","2.73","2.81","1","5","3","3"
"1994","35-65 y.","West Germany","2.77","3","4484","2","2","3","4","5","2.74","2.8","1","5","3","3"
"1994","66 and older","East Germany","3.27","3","405","2","3","4","5","5","3.18","3.36","1","5","3","3"
"1994","66 and older","West Germany","3.33","3","1109","2","3","4","5","5","3.27","3.39","1","5","3","3"
"1995","16-34 y.","East Germany","2.22","2","1225","1","2","3","3","4","2.18","2.26","1","5","2","2"
"1995","16-34 y.","West Germany","2.2","2","3721","1","2","3","3","5","2.17","2.23","1","5","2","2"
"1995","35-65 y.","East Germany","2.79","3","2059","2","2","3","4","5","2.75","2.83","1","5","3","3"
"1995","35-65 y.","West Germany","2.76","3","4777","2","2","3","4","5","2.73","2.79","1","5","3","3"
"1995","66 and older","East Germany","3.28","3","410","2","3","4","5","5","3.19","3.37","1","5","3","3"
"1995","66 and older","West Germany","3.29","3","1137","2","3","4","5","5","3.23","3.35","1","5","3","3"
"1996","16-34 y.","East Germany","2.26","2","1192","1","2","3","3","4","2.21","2.31","1","5","2","2"
"1996","16-34 y.","West Germany","2.18","2","3581","1","2","3","3","4","2.15","2.21","1","5","2","2"
"1996","35-65 y.","East Germany","2.77","3","2077","2","2","3","4","5","2.73","2.81","1","5","3","3"
"1996","35-65 y.","West Germany","2.76","3","4674","2","2","3","4","5","2.73","2.79","1","5","3","3"
"1996","66 and older","East Germany","3.3","3","424","2","3","4","5","5","3.22","3.38","1","5","3","3"
"1996","66 and older","West Germany","3.29","3","1149","2","3","4","5","5","3.23","3.35","1","5","3","3"
"1997","16-34 y.","East Germany","2.19","2","1167","1","2","3","3","4","2.15","2.23","1","5","2","2"
"1997","16-34 y.","West Germany","2.14","2","3463","1","2","3","3","4","2.11","2.17","1","5","2","2"
"1997","35-65 y.","East Germany","2.78","3","2041","2","2","3","4","5","2.74","2.82","1","5","3","3"
"1997","35-65 y.","West Germany","2.75","3","4618","2","2","3","4","5","2.72","2.78","1","5","3","3"
"1997","66 and older","East Germany","3.24","3","440","2","3","4","5","5","3.16","3.32","1","5","3","3"
"1997","66 and older","West Germany","3.3","3","1167","2","3","4","5","5","3.25","3.35","1","5","3","3"
"1998","16-34 y.","East Germany","2.12","2","1209","1","2","3","3","4","2.08","2.16","1","5","2","2"
"1998","16-34 y.","West Germany","2.11","2","3668","1","2","3","3","4","2.08","2.14","1","5","2","2"
"1998","35-65 y.","East Germany","2.74","3","2188","2","2","3","4","5","2.7","2.78","1","5","3","3"
"1998","35-65 y.","West Germany","2.67","3","5344","2","2","3","4","5","2.65","2.69","1","5","3","3"
"1998","66 and older","East Germany","3.25","3","484","2","3","4","5","5","3.17","3.33","1","5","3","3"
"1998","66 and older","West Germany","3.26","3","1402","2","3","4","5","5","3.21","3.31","1","5","3","3"
"1999","16-34 y.","East Germany","2.2","2","1173","1","2","3","3","4","2.16","2.24","1","5","2","2"
"1999","16-34 y.","West Germany","2.13","2","3439","1","2","3","3","4","2.1","2.16","1","5","2","2"
"1999","35-65 y.","East Germany","2.77","3","2136","2","2","3","4","5","2.73","2.81","1","5","3","3"
"1999","35-65 y.","West Germany","2.69","3","5163","2","2","3","4","5","2.66","2.72","1","5","3","3"
"1999","66 and older","East Germany","3.27","3","491","2","3","4","5","5","3.19","3.35","1","5","3","3"
