"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","2.56","2","13364","1","2","3","4","5","2.54","2.58","1","5","2","2"
"1993","","","","","","","","","","","","","",""
"1994","2.7","3","12918","2","2","3","4","5","2.68","2.72","1","5","2","2"
"1995","2.7","3","13329","2","2","3","4","5","2.68","2.72","1","5","2","2"
"1996","2.7","3","13097","2","2","3","4","5","2.68","2.72","1","5","2","3"
"1997","2.68","3","12896","2","2","3","4","5","2.66","2.7","1","5","2","2"
"1998","2.64","3","14295","2","2","3","4","5","2.62","2.66","1","5","2","2"
"1999","2.67","3","13738","2","2","3","4","5","2.65","2.69","1","5","2","2"
"2000","2.62","3","24225","1","2","3","4","5","2.61","2.63","1","5","2","2"
"2001","2.63","3","22032","1","2","3","4","5","2.62","2.64","1","5","2","2"
"2002","2.66","3","23115","2","2","3","4","5","2.65","2.67","1","5","2","2"
"2003","2.66","3","22258","2","2","3","4","5","2.65","2.67","1","5","2","2"
"2004","2.68","3","21692","2","2","3","4","5","2.67","2.69","1","5","2","2"
"2005","2.7","3","20742","2","2","3","4","5","2.69","2.71","1","5","2","3"
"2006","2.69","3","22045","2","2","3","4","5","2.68","2.7","1","5","3","3"
"2007","2.7","3","20572","2","2","3","4","5","2.69","2.71","1","5","3","3"
"2008","2.68","3","19402","2","2","3","4","5","2.67","2.69","1","5","3","3"
"2009","2.7","3","18083","2","2","3","4","5","2.69","2.71","1","5","3","3"
"2010","2.68","3","24049","2","2","3","4","5","2.67","2.69","1","5","2","2"
"2011","2.66","3","28462","1","2","3","4","5","2.65","2.67","1","5","2","2"
"2012","2.64","3","27718","2","2","3","4","5","2.63","2.65","1","5","2","2"
"2013","2.66","3","30739","1","2","3","4","5","2.65","2.67","1","5","2","2"
"2014","2.66","3","27187","2","2","3","4","5","2.65","2.67","1","5","2","3"
"2015","2.66","3","26922","1","2","3","4","5","2.65","2.67","1","5","2","2"
"2016","2.67","3","28857","2","2","3","4","5","2.66","2.68","1","5","2","2"
"2017","2.65","3","32237","1","2","3","4","5","2.64","2.66","1","5","2","2"
"2018","2.63","3","30084","1","2","3","4","5","2.62","2.64","1","5","2","2"
"2019","2.62","3","29705","1","2","3","4","5","2.61","2.63","1","5","2","2"
