"ple0081_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2002","16-34 y.","in school","138","0.232977264116725","0.199621845293778","0.266332682939672"
"Yes","2002","16-34 y.","inadequately","32","0.532243695921393","0.410000923273099","0.654486468569688"
"Yes","2002","16-34 y.","general elemantary","517","0.505207383061293","0.474893861247715","0.535520904874871"
"Yes","2002","16-34 y.","middle vocational","1219","0.428168213745706","0.410205573607333","0.44613085388408"
"Yes","2002","16-34 y.","vocational + Abi","152","0.326228500398442","0.283431345714666","0.369025655082217"
"Yes","2002","16-34 y.","higher vocational","110","0.335324628865327","0.282685781497614","0.38796347623304"
"Yes","2002","16-34 y.","higher education","132","0.252320966139692","0.218350419152635","0.286291513126749"
"Yes","2002","35-65 y.","in school","","","",""
"Yes","2002","35-65 y.","inadequately","71","0.467858581188685","0.391493116583972","0.544224045793398"
"Yes","2002","35-65 y.","general elemantary","398","0.381887013553614","0.352830243976348","0.41094378313088"
"Yes","2002","35-65 y.","middle vocational","2516","0.375353857959451","0.363892128332973","0.38681558758593"
"Yes","2002","35-65 y.","vocational + Abi","192","0.307686155152271","0.271298058527346","0.344074251777196"
"Yes","2002","35-65 y.","higher vocational","338","0.28376094192637","0.258221798650733","0.309300085202008"
"Yes","2002","35-65 y.","higher education","773","0.244702255956492","0.230245248735036","0.259159263177948"
"Yes","2002","66 and older","in school","","","",""
"Yes","2002","66 and older","inadequately","4","","",""
"Yes","2002","66 and older","general elemantary","60","0.0666805963581192","0.0494367179548843","0.0839244747613541"
"Yes","2002","66 and older","middle vocational","213","0.109290437774338","0.0951756258766859","0.123405249671991"
"Yes","2002","66 and older","vocational + Abi","15","","",""
"Yes","2002","66 and older","higher vocational","23","","",""
"Yes","2002","66 and older","higher education","75","0.12285751060329","0.0953223445556473","0.150392676650932"
"No","2002","16-34 y.","in school","479","0.767022735883275","0.733667317060328","0.800378154706222"
"No","2002","16-34 y.","inadequately","32","0.467756304078607","0.345513531430312","0.589999076726901"
"No","2002","16-34 y.","general elemantary","528","0.494792616938707","0.464479095125129","0.525106138752285"
"No","2002","16-34 y.","middle vocational","1696","0.571831786254294","0.55386914611592","0.589794426392667"
"No","2002","16-34 y.","vocational + Abi","309","0.673771499601558","0.630974344917783","0.716568654285334"
"No","2002","16-34 y.","higher vocational","199","0.664675371134673","0.61203652376696","0.717314218502386"
"No","2002","16-34 y.","higher education","496","0.747679033860308","0.713708486873251","0.781649580847365"
"No","2002","35-65 y.","in school","","","",""
"No","2002","35-65 y.","inadequately","93","0.532141418811315","0.455775954206602","0.608506883416028"
"No","2002","35-65 y.","general elemantary","676","0.618112986446386","0.58905621686912","0.647169756023652"
"No","2002","35-65 y.","middle vocational","4340","0.624646142040549","0.61318441241407","0.636107871667027"
"No","2002","35-65 y.","vocational + Abi","426","0.692313844847729","0.655925748222803","0.728701941472654"
"No","2002","35-65 y.","higher vocational","859","0.71623905807363","0.690699914797992","0.741778201349267"
"No","2002","35-65 y.","higher education","2624","0.755297744043508","0.740840736822052","0.769754751264964"
"No","2002","66 and older","in school","","","",""
"No","2002","66 and older","inadequately","53","0.93776477945429","0.875049156801633","1.00048040210695"
"No","2002","66 and older","general elemantary","744","0.933319403641881","0.916075525238646","0.950563282045116"
"No","2002","66 and older","middle vocational","1664","0.890709562225662","0.876594750328009","0.904824374123314"
