"ple0081_h","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Schleswig-Holstein","1-pers.-HH","41","0.406223258313687","0.311376288085482","0.501070228541892"
"Yes","2002","Schleswig-Holstein","(Married) couple without C. ","67","0.246750100155109","0.194646416678941","0.298853783631276"
"Yes","2002","Schleswig-Holstein","Single parent ","21","","",""
"Yes","2002","Schleswig-Holstein","Couple + C. LE 16 ","51","0.35462854626295","0.277554358791711","0.431702733734188"
"Yes","2002","Schleswig-Holstein","Couple + C. GT 16 ","20","","",""
"Yes","2002","Schleswig-Holstein","Couple + C. LE and GT 16","22","","",""
"Yes","2002","Hamburg","1-pers.-HH","30","0.3886379305632","0.28313536943154","0.49414049169486"
"Yes","2002","Hamburg","(Married) couple without C. ","28","","",""
"Yes","2002","Hamburg","Single parent ","7","","",""
"Yes","2002","Hamburg","Couple + C. LE 16 ","15","","",""
"Yes","2002","Hamburg","Couple + C. GT 16 ","11","","",""
"Yes","2002","Hamburg","Couple + C. LE and GT 16","7","","",""
"Yes","2002","Lower Saxony","1-pers.-HH","69","0.272816333759623","0.213959893392283","0.331672774126963"
"Yes","2002","Lower Saxony","(Married) couple without C. ","149","0.212298516229256","0.180492041292849","0.244104991165663"
"Yes","2002","Lower Saxony","Single parent ","52","0.541578751659063","0.442928492309644","0.640229011008481"
"Yes","2002","Lower Saxony","Couple + C. LE 16 ","170","0.398934868456999","0.352918194142279","0.444951542771719"
"Yes","2002","Lower Saxony","Couple + C. GT 16 ","107","0.294992786736947","0.245182088032146","0.344803485441748"
"Yes","2002","Lower Saxony","Couple + C. LE and GT 16","65","0.482989044466233","0.411557888343883","0.554420200588583"
"Yes","2002","Bremen","1-pers.-HH","15","","",""
"Yes","2002","Bremen","(Married) couple without C. ","19","","",""
"Yes","2002","Bremen","Single parent ","5","","",""
"Yes","2002","Bremen","Couple + C. LE 16 ","11","","",""
"Yes","2002","Bremen","Couple + C. GT 16 ","8","","",""
"Yes","2002","Bremen","Couple + C. LE and GT 16","5","","",""
"Yes","2002","North Rhine-Westphalia","1-pers.-HH","208","0.323411083151585","0.287170265027803","0.359651901275368"
"Yes","2002","North Rhine-Westphalia","(Married) couple without C. ","431","0.251786684664578","0.230760869252515","0.272812500076641"
"Yes","2002","North Rhine-Westphalia","Single parent ","89","0.528376185226479","0.458130976554357","0.598621393898601"
"Yes","2002","North Rhine-Westphalia","Couple + C. LE 16 ","394","0.371454146461077","0.342227799906854","0.4006804930153"
"Yes","2002","North Rhine-Westphalia","Couple + C. GT 16 ","245","0.31287685718208","0.280847062174093","0.344906652190068"
"Yes","2002","North Rhine-Westphalia","Couple + C. LE and GT 16","161","0.376242328813419","0.329177913991471","0.423306743635368"
"Yes","2002","Hesse","1-pers.-HH","55","0.260372193377537","0.198620177157346","0.322124209597728"
"Yes","2002","Hesse","(Married) couple without C. ","152","0.250753587688114","0.215107666962327","0.286399508413902"
"Yes","2002","Hesse","Single parent ","31","0.528157293335568","0.407721275542199","0.648593311128937"
"Yes","2002","Hesse","Couple + C. LE 16 ","136","0.342386775412731","0.295172210901637","0.389601339923825"
"Yes","2002","Hesse","Couple + C. GT 16 ","76","0.362608971874321","0.304284598285099","0.420933345463543"
"Yes","2002","Hesse","Couple + C. LE and GT 16","42","0.313137844810045","0.228004785844292","0.398270903775797"
"Yes","2002","Rhineland-Palatinate,Saarland","1-pers.-HH","51","0.286782841530093","0.218997231466633","0.354568451593554"
"Yes","2002","Rhineland-Palatinate,Saarland","(Married) couple without C. ","94","0.21288814812596","0.173739441937262","0.252036854314658"
"Yes","2002","Rhineland-Palatinate,Saarland","Single parent ","30","0.401998361579526","0.291034697794783","0.512962025364269"
"Yes","2002","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","138","0.414488871667932","0.360847533894562","0.468130209441301"
"Yes","2002","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","59","0.326442076459354","0.259591103953588","0.39329304896512"
