"ple0081_h","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2002","in school","138","0.232977264116725","0.199621845293778","0.266332682939672"
"Yes","2002","inadequately","107","0.383255836514381","0.326811213886211","0.43970045914255"
"Yes","2002","general elemantary","975","0.30781188581112","0.291078321970129","0.324545449652112"
"Yes","2002","middle vocational","3948","0.332007094786317","0.323454812698798","0.340559376873836"
"Yes","2002","vocational + Abi","359","0.294639795491516","0.268628722582234","0.320650868400799"
"Yes","2002","higher vocational","471","0.258774953629853","0.238255526614913","0.279294380644792"
"Yes","2002","higher education","980","0.226289879251463","0.214159784741356","0.23841997376157"
"No","2002","in school","479","0.767022735883275","0.733667317060328","0.800378154706222"
"No","2002","inadequately","178","0.616744163485619","0.56029954085745","0.673188786113789"
"No","2002","general elemantary","1948","0.69218811418888","0.675454550347888","0.708921678029871"
"No","2002","middle vocational","7700","0.667992905213683","0.659440623126164","0.676545187301202"
"No","2002","vocational + Abi","821","0.705360204508484","0.679349131599201","0.731371277417766"
"No","2002","higher vocational","1279","0.741225046370147","0.720705619355208","0.761744473385087"
"No","2002","higher education","3591","0.773710120748537","0.76158002623843","0.785840215258644"
"Yes","2003","in school","","","",""
"Yes","2003","inadequately","","","",""
"Yes","2003","general elemantary","","","",""
"Yes","2003","middle vocational","","","",""
"Yes","2003","vocational + Abi","","","",""
"Yes","2003","higher vocational","","","",""
"Yes","2003","higher education","","","",""
"No","2003","in school","","","",""
"No","2003","inadequately","","","",""
"No","2003","general elemantary","","","",""
"No","2003","middle vocational","","","",""
"No","2003","vocational + Abi","","","",""
"No","2003","higher vocational","","","",""
"No","2003","higher education","","","",""
"Yes","2004","in school","150","0.234872267859161","0.20200372098833","0.267740814729993"
"Yes","2004","inadequately","101","0.403339333771109","0.34300976439905","0.463668903143167"
"Yes","2004","general elemantary","811","0.301625617575251","0.283956744351205","0.319294490799298"
"Yes","2004","middle vocational","3583","0.325549343093845","0.31672184358847","0.33437684259922"
"Yes","2004","vocational + Abi","339","0.286441435345565","0.26045833527722","0.31242453541391"
"Yes","2004","higher vocational","434","0.252299391506506","0.231316992367298","0.273281790645713"
"Yes","2004","higher education","880","0.228179217711508","0.215638881923436","0.24071955349958"
"No","2004","in school","489","0.765127732140839","0.732259185270007","0.79799627901167"
"No","2004","inadequately","153","0.596660666228891","0.536331096856833","0.65699023560095"
"No","2004","general elemantary","1781","0.698374382424749","0.680705509200702","0.716043255648795"
"No","2004","middle vocational","7241","0.674450656906155","0.66562315740078","0.68327815641153"
"No","2004","vocational + Abi","824","0.713558564654435","0.68757546458609","0.73954166472278"
"No","2004","higher vocational","1212","0.747700608493494","0.726718209354287","0.768683007632702"
"No","2004","higher education","3422","0.771820782288492","0.75928044650042","0.784361118076564"
"Yes","2005","in school","","","",""
"Yes","2005","inadequately","","","",""
"Yes","2005","general elemantary","","","",""
"Yes","2005","middle vocational","","","",""
"Yes","2005","vocational + Abi","","","",""
"Yes","2005","higher vocational","","","",""
"Yes","2005","higher education","","","",""
"No","2005","in school","","","",""
"No","2005","inadequately","","","",""
"No","2005","general elemantary","","","",""
"No","2005","middle vocational","","","",""
"No","2005","vocational + Abi","","","",""
"No","2005","higher vocational","","","",""
"No","2005","higher education","","","",""
"Yes","2006","in school","87","0.240542154827599","0.198498518332048","0.28258579132315"
"Yes","2006","inadequately","101","0.474041160265052","0.411130489813693","0.536951830716411"
"Yes","2006","general elemantary","809","0.32221213847103","0.303893384550853","0.340530892391207"
"Yes","2006","middle vocational","3540","0.325483718400608","0.316777302361266","0.33419013443995"
"Yes","2006","vocational + Abi","345","0.287489510126365","0.26208254035178","0.312896479900949"
"Yes","2006","higher vocational","405","0.255941848031621","0.234936498229129","0.276947197834114"
"Yes","2006","higher education","883","0.213829852172422","0.201964622114726","0.225695082230119"
"No","2006","in school","310","0.759457845172401","0.71741420867685","0.801501481667952"
"No","2006","inadequately","141","0.525958839734948","0.463048169283589","0.588869510186307"
"No","2006","general elemantary","1691","0.67778786152897","0.659469107608793","0.696106615449147"
"No","2006","middle vocational","7586","0.674516281599392","0.66580986556005","0.683222697638734"
"No","2006","vocational + Abi","874","0.712510489873635","0.687103520099051","0.73791745964822"
"No","2006","higher vocational","1253","0.744058151968379","0.723052802165886","0.765063501770871"
"No","2006","higher education","3704","0.786170147827578","0.774304917769881","0.798035377885274"
"Yes","2007","in school","","","",""
"Yes","2007","inadequately","","","",""
"Yes","2007","general elemantary","","","",""
"Yes","2007","middle vocational","","","",""
"Yes","2007","vocational + Abi","","","",""
"Yes","2007","higher vocational","","","",""
"Yes","2007","higher education","","","",""
"No","2007","in school","","","",""
"No","2007","inadequately","","","",""
"No","2007","general elemantary","","","",""
"No","2007","middle vocational","","","",""
"No","2007","vocational + Abi","","","",""
"No","2007","higher vocational","","","",""
"No","2007","higher education","","","",""
"Yes","2008","in school","56","0.181303725474219","0.141169837770325","0.221437613178114"
"Yes","2008","inadequately","80","0.450061466585135","0.378756418210118","0.521366514960152"
