"ple0081_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2002","1-pers.-HH","980","0.308280334002323","0.291821647632148","0.324739020372498"
"Yes","2002","(Married) couple without C. ","1772","0.224468150519823","0.215015395891056","0.233920905148589"
"Yes","2002","Single parent ","511","0.469994711846326","0.440984263158885","0.499005160533766"
"Yes","2002","Couple + C. LE 16 ","1654","0.360604838849734","0.346966739709314","0.374242937990153"
"Yes","2002","Couple + C. GT 16 ","1207","0.312596416709765","0.298248997158437","0.326943836261093"
"Yes","2002","Couple + C. LE and GT 16","713","0.379961426031924","0.358445808327577","0.401477043736271"
"No","2002","1-pers.-HH","2044","0.691719665997677","0.675260979627502","0.708178352367852"
"No","2002","(Married) couple without C. ","5712","0.775531849480178","0.766079094851411","0.784984604108944"
"No","2002","Single parent ","626","0.530005288153674","0.500994839466234","0.559015736841115"
"No","2002","Couple + C. LE 16 ","3108","0.639395161150266","0.625757062009847","0.653033260290686"
"No","2002","Couple + C. GT 16 ","2803","0.687403583290235","0.673056163738907","0.701751002841563"
"No","2002","Couple + C. LE and GT 16","1242","0.620038573968076","0.598522956263729","0.641554191672423"
"Yes","2003","1-pers.-HH","","","",""
"Yes","2003","(Married) couple without C. ","","","",""
"Yes","2003","Single parent ","","","",""
"Yes","2003","Couple + C. LE 16 ","","","",""
"Yes","2003","Couple + C. GT 16 ","","","",""
"Yes","2003","Couple + C. LE and GT 16","","","",""
"No","2003","1-pers.-HH","","","",""
"No","2003","(Married) couple without C. ","","","",""
"No","2003","Single parent ","","","",""
"No","2003","Couple + C. LE 16 ","","","",""
"No","2003","Couple + C. GT 16 ","","","",""
"No","2003","Couple + C. LE and GT 16","","","",""
"Yes","2004","1-pers.-HH","927","0.307754007427845","0.291029897493667","0.324478117362023"
"Yes","2004","(Married) couple without C. ","1686","0.22516716464188","0.215571639024273","0.234762690259488"
"Yes","2004","Single parent ","492","0.463602064095236","0.434052188321482","0.49315193986899"
"Yes","2004","Couple + C. LE 16 ","1333","0.33624013641896","0.32170668256955","0.35077359026837"
"Yes","2004","Couple + C. GT 16 ","1185","0.320836186846","0.30623081784762","0.335441555844379"
"Yes","2004","Couple + C. LE and GT 16","609","0.352594310797673","0.330479468217371","0.374709153377975"
"No","2004","1-pers.-HH","1999","0.692245992572155","0.675521882637977","0.708970102506332"
"No","2004","(Married) couple without C. ","5593","0.77483283535812","0.765237309740512","0.784428360975728"
"No","2004","Single parent ","602","0.536397935904764","0.50684806013101","0.565947811678518"
"No","2004","Couple + C. LE 16 ","2726","0.66375986358104","0.64922640973163","0.678293317430451"
"No","2004","Couple + C. GT 16 ","2739","0.679163813154","0.664558444155621","0.69376918215238"
"No","2004","Couple + C. LE and GT 16","1184","0.647405689202327","0.625290846622025","0.669520531782629"
"Yes","2005","1-pers.-HH","","","",""
"Yes","2005","(Married) couple without C. ","","","",""
"Yes","2005","Single parent ","","","",""
"Yes","2005","Couple + C. LE 16 ","","","",""
"Yes","2005","Couple + C. GT 16 ","","","",""
"Yes","2005","Couple + C. LE and GT 16","","","",""
"No","2005","1-pers.-HH","","","",""
"No","2005","(Married) couple without C. ","","","",""
"No","2005","Single parent ","","","",""
"No","2005","Couple + C. LE 16 ","","","",""
"No","2005","Couple + C. GT 16 ","","","",""
"No","2005","Couple + C. LE and GT 16","","","",""
"Yes","2006","1-pers.-HH","1045","0.312960520387399","0.297265317327964","0.328655723446833"
"Yes","2006","(Married) couple without C. ","1737","0.230456078290356","0.221158534833049","0.239753621747664"
"Yes","2006","Single parent ","531","0.469960035129532","0.441361753926396","0.498558316332667"
"Yes","2006","Couple + C. LE 16 ","1221","0.328911475675812","0.314219108582998","0.343603842768625"
"Yes","2006","Couple + C. GT 16 ","1116","0.329588066353492","0.314386293665069","0.344789839041916"
"Yes","2006","Couple + C. LE and GT 16","487","0.36360292132475","0.339218903602156","0.387986939047345"
"No","2006","1-pers.-HH","2308","0.687039479612601","0.671344276553167","0.702734682672036"
"No","2006","(Married) couple without C. ","6144","0.769543921709644","0.760246378252337","0.778841465166951"
"No","2006","Single parent ","639","0.530039964870468","0.501441683667333","0.558638246073603"
"No","2006","Couple + C. LE 16 ","2707","0.671088524324188","0.656396157231375","0.685780891417002"
"No","2006","Couple + C. GT 16 ","2557","0.670411933646507","0.655210160958084","0.685613706334931"
"No","2006","Couple + C. LE and GT 16","1008","0.63639707867525","0.612013060952655","0.660781096397845"
"Yes","2007","1-pers.-HH","","","",""
"Yes","2007","(Married) couple without C. ","","","",""
"Yes","2007","Single parent ","","","",""
"Yes","2007","Couple + C. LE 16 ","","","",""
"Yes","2007","Couple + C. GT 16 ","","","",""
"Yes","2007","Couple + C. LE and GT 16","","","",""
"No","2007","1-pers.-HH","","","",""
