"ple0081_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2002","16-34 y.","Urban Area","2536","0.598459056404467","0.58348135009034","0.613436762718593","2"
"No","2002","16-34 y.","Rural Area","1277","0.613024669088929","0.592042830862458","0.6340065073154","2"
"No","2002","66 and older","Urban Area","2126","0.891333467108146","0.878913299651019","0.903753634565273","2"
"No","2002","35-65 y.","Urban Area","6028","0.652519078861169","0.642655696071681","0.662382461650657","2"
"No","2002","35-65 y.","Rural Area","3001","0.674341463799379","0.660449013455276","0.688233914143481","2"
"No","2002","66 and older","Rural Area","1121","0.918279073632695","0.902945024863878","0.933613122401513","2"
"Yes","2002","16-34 y.","Urban Area","1579","0.401540943595534","0.386563237281408","0.41651864990966","1"
"Yes","2002","16-34 y.","Rural Area","793","0.386975330911071","0.3659934926846","0.407957169137542","1"
"Yes","2002","35-65 y.","Urban Area","2925","0.347480921138831","0.337617538349343","0.357344303928319","1"
"Yes","2002","35-65 y.","Rural Area","1370","0.325658536200621","0.311766085856519","0.339550986544724","1"
"Yes","2002","66 and older","Urban Area","286","0.108666532891854","0.0962463654347274","0.121086700348981","1"
"Yes","2002","66 and older","Rural Area","105","0.0817209263673046","0.0663868775984872","0.097054975136122","1"
"No","2003","16-34 y.","Urban Area","","","","","2"
"No","2003","16-34 y.","Rural Area","","","","","2"
"No","2003","66 and older","Urban Area","","","","","2"
"No","2003","66 and older","Rural Area","","","","","2"
"No","2003","35-65 y.","Urban Area","","","","","2"
"No","2003","35-65 y.","Rural Area","","","","","2"
"Yes","2003","16-34 y.","Urban Area","","","","","1"
"Yes","2003","16-34 y.","Rural Area","","","","","1"
"Yes","2003","35-65 y.","Urban Area","","","","","1"
"Yes","2003","35-65 y.","Rural Area","","","","","1"
"Yes","2003","66 and older","Urban Area","","","","","1"
"Yes","2003","66 and older","Rural Area","","","","","1"
"No","2004","16-34 y.","Urban Area","2379","0.611701225404781","0.59609848132435","0.627303969485213","2"
"No","2004","16-34 y.","Rural Area","1155","0.617967230448853","0.596044473329881","0.639889987567825","2"
"No","2004","66 and older","Urban Area","2220","0.888080984019897","0.875764557782739","0.900397410257054","2"
"No","2004","66 and older","Rural Area","1162","0.904998416759926","0.888978946562925","0.921017886956928","2"
"No","2004","35-65 y.","Urban Area","5575","0.652213534988851","0.641928286234698","0.662498783743005","2"
"No","2004","35-65 y.","Rural Area","2786","0.678866989356217","0.664408349522193","0.693325629190242","2"
"Yes","2004","16-34 y.","Urban Area","1369","0.388298774595219","0.372696030514787","0.40390151867565","1"
"Yes","2004","16-34 y.","Rural Area","732","0.382032769551147","0.360110012432175","0.403955526670119","1"
"Yes","2004","35-65 y.","Urban Area","2662","0.347786465011149","0.337501216256995","0.358071713765302","1"
"Yes","2004","35-65 y.","Rural Area","1220","0.321133010643783","0.306674370809758","0.335591650477808","1"
"Yes","2004","66 and older","Urban Area","297","0.111919015980103","0.0996025897429456","0.124235442217261","1"
"Yes","2004","66 and older","Rural Area","125","0.095001583240074","0.0789821130430725","0.111021053437075","1"
"No","2005","16-34 y.","Urban Area","","","","","2"
"No","2005","66 and older","Urban Area","","","","","2"
"No","2005","16-34 y.","Rural Area","","","","","2"
"No","2005","66 and older","Rural Area","","","","","2"
"No","2005","35-65 y.","Urban Area","","","","","2"
"No","2005","35-65 y.","Rural Area","","","","","2"
"Yes","2005","16-34 y.","Urban Area","","","","","1"
"Yes","2005","16-34 y.","Rural Area","","","","","1"
"Yes","2005","35-65 y.","Urban Area","","","","","1"
"Yes","2005","35-65 y.","Rural Area","","","","","1"
"Yes","2005","66 and older","Urban Area","","","","","1"
"Yes","2005","66 and older","Rural Area","","","","","1"
"No","2006","66 and older","Urban Area","2601","0.883078633175697","0.871479354525343","0.894677911826051","2"
"No","2006","66 and older","Rural Area","1397","0.910025195302252","0.895729149013642","0.924321241590863","2"
"No","2006","16-34 y.","Urban Area","2150","0.602713754250622","0.586287372694002","0.619140135807243","2"
"No","2006","16-34 y.","Rural Area","1067","0.610844059826357","0.587869243455169","0.633818876197546","2"
"No","2006","35-65 y.","Urban Area","5661","0.648219250862889","0.637933022856675","0.658505478869103","2"
"No","2006","35-65 y.","Rural Area","2875","0.676602087295151","0.662368589235428","0.690835585354875","2"
"Yes","2006","16-34 y.","Urban Area","1259","0.397286245749378","0.380859864192757","0.413712627305998","1"
"Yes","2006","16-34 y.","Rural Area","663","0.389155940173643","0.366181123802454","0.412130756544831","1"
"Yes","2006","35-65 y.","Urban Area","2618","0.351780749137111","0.341494521130897","0.362066977143325","1"
"Yes","2006","35-65 y.","Rural Area","1274","0.323397912704849","0.309164414645125","0.337631410764572","1"
"Yes","2006","66 and older","Urban Area","347","0.116921366824303","0.105322088173949","0.128520645474657","1"
"Yes","2006","66 and older","Rural Area","142","0.0899748046977475","0.0756787584091371","0.104270850986358","1"
"No","2007","66 and older","Urban Area","","","","","2"
"No","2007","66 and older","Rural Area","","","","","2"
"No","2007","16-34 y.","Urban Area","","","","","2"
"No","2007","16-34 y.","Rural Area","","","","","2"
"No","2007","35-65 y.","Urban Area","","","","","2"
"No","2007","35-65 y.","Rural Area","","","","","2"
"Yes","2007","16-34 y.","Urban Area","","","","","1"
"Yes","2007","16-34 y.","Rural Area","","","","","1"
"Yes","2007","35-65 y.","Urban Area","","","","","1"
"Yes","2007","35-65 y.","Rural Area","","","","","1"
"Yes","2007","66 and older","Urban Area","","","","","1"
"Yes","2007","66 and older","Rural Area","","","","","1"
"No","2008","66 and older","Urban Area","2542","0.887107020863007","0.875529152225306","0.898684889500707","2"
"No","2008","66 and older","Rural Area","1329","0.894227341351619","0.878574679683328","0.90988000301991","2"
"No","2008","16-34 y.","Urban Area","1903","0.621259568588875","0.603617188872399","0.638901948305352","2"
"No","2008","16-34 y.","Rural Area","957","0.663587383001995","0.639393004173427","0.687781761830562","2"
