"ple0081_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2002","higher vocational","Male","716","0.715614825397684","0.687820830366628","0.74340882042874","2"
"No","2002","in school","Female","240","0.744249979465204","0.696298524935813","0.792201433994596","2"
"No","2002","higher vocational","Female","563","0.777911919708215","0.747923902718838","0.807899936697592","2"
"No","2002","higher education","Male","1996","0.750088085773252","0.73346504387576","0.766711127670744","2"
"No","2002","inadequately","Male","52","0.454354203302686","0.364133160556592","0.54457524604878","2"
"No","2002","middle vocational","Female","4320","0.721420364158422","0.710131445640261","0.732709282676583","2"
"No","2002","vocational + Abi","Male","305","0.610013015164709","0.567260891161236","0.652765139168182","2"
"No","2002","vocational + Abi","Female","516","0.782993425421771","0.752011447633993","0.813975403209548","2"
"No","2002","higher education","Female","1595","0.806866213307014","0.789412143580691","0.824320283033336","2"
"No","2002","inadequately","Female","126","0.742488832145876","0.676368283693993","0.808609380597759","2"
"No","2002","in school","Male","239","0.787209739187918","0.740818753577436","0.833600724798401","2"
"No","2002","general elemantary","Male","495","0.515529665891704","0.483866630431278","0.54719270135213","2"
"No","2002","general elemantary","Female","1453","0.76936745803134","0.750747292666334","0.787987623396346","2"
"No","2002","middle vocational","Male","3380","0.612695497234577","0.599925499963629","0.625465494505525","2"
"Yes","2002","in school","Male","60","0.212790260812082","0.166399275201599","0.259181246422564","1"
"Yes","2002","in school","Female","78","0.255750020534796","0.207798566005404","0.303701475064187","1"
"Yes","2002","inadequately","Male","65","0.545645796697314","0.45542475395122","0.635866839443408","1"
"Yes","2002","inadequately","Female","42","0.257511167854124","0.191390619402241","0.323631716306007","1"
"Yes","2002","general elemantary","Male","462","0.484470334108296","0.45280729864787","0.516133369568723","1"
"Yes","2002","general elemantary","Female","513","0.23063254196866","0.212012376603654","0.249252707333666","1"
"Yes","2002","middle vocational","Male","2210","0.387304502765423","0.374534505494475","0.400074500036371","1"
"Yes","2002","middle vocational","Female","1738","0.278579635841578","0.267290717323417","0.289868554359739","1"
