"ple0081_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2002","no migration background","Urban Area","3700","0.303602613931377","0.295528307135067","0.311676920727686"
"Yes","2002","no migration background","Rural Area","2114","0.288520967214324","0.277971822265429","0.29907011216322"
"Yes","2002","direct migration background","Urban Area","785","0.316884326045991","0.298013011526967","0.335755640565015"
"Yes","2002","direct migration background","Rural Area","122","0.284349912324652","0.244161363547345","0.32453846110196"
"Yes","2002","indirect migration background","Urban Area","305","0.449878225030717","0.412677909224603","0.487078540836831"
"Yes","2002","indirect migration background","Rural Area","32","0.434971518697591","0.336314541617813","0.533628495777368"
"No","2002","no migration background","Urban Area","8758","0.696397386068623","0.688323079272314","0.704471692864933"
"No","2002","no migration background","Rural Area","4972","0.711479032785676","0.70092988783678","0.722028177734571"
"No","2002","direct migration background","Urban Area","1550","0.683115673954009","0.664244359434985","0.701986988473033"
"No","2002","direct migration background","Rural Area","362","0.715650087675348","0.67546153889804","0.755838636452655"
"No","2002","indirect migration background","Urban Area","382","0.550121774969283","0.512921459163169","0.587322090775397"
"No","2002","indirect migration background","Rural Area","65","0.56502848130241","0.466371504222632","0.663685458382187"
"Yes","2003","no migration background","Urban Area","","","",""
"Yes","2003","no migration background","Rural Area","","","",""
"Yes","2003","direct migration background","Urban Area","","","",""
"Yes","2003","direct migration background","Rural Area","","","",""
"Yes","2003","indirect migration background","Urban Area","","","",""
"Yes","2003","indirect migration background","Rural Area","","","",""
"No","2003","no migration background","Urban Area","","","",""
"No","2003","no migration background","Rural Area","","","",""
"No","2003","direct migration background","Urban Area","","","",""
"No","2003","direct migration background","Rural Area","","","",""
"No","2003","indirect migration background","Urban Area","","","",""
"No","2003","indirect migration background","Rural Area","","","",""
"Yes","2004","no migration background","Urban Area","3398","0.300776260262175","0.292470824583794","0.309081695940556"
"Yes","2004","no migration background","Rural Area","1918","0.28433978679718","0.273472424297666","0.295207149296693"
"Yes","2004","direct migration background","Urban Area","645","0.300288726012244","0.280669682732775","0.319907769291713"
"Yes","2004","direct migration background","Rural Area","112","0.256554433158926","0.215977199544697","0.297131666773155"
"Yes","2004","indirect migration background","Urban Area","285","0.403935261818436","0.367402368176284","0.440468155460588"
"Yes","2004","indirect migration background","Rural Area","47","0.4418316037317","0.351460391795206","0.532202815668194"
"No","2004","no migration background","Urban Area","8314","0.699223739737825","0.690918304059444","0.707529175416206"
"No","2004","no migration background","Rural Area","4701","0.71566021320282","0.704792850703307","0.726527575702333"
"No","2004","direct migration background","Urban Area","1452","0.699711273987756","0.680092230708286","0.719330317267225"
"No","2004","direct migration background","Rural Area","333","0.743445566841075","0.702868333226846","0.784022800455303"
"No","2004","indirect migration background","Urban Area","408","0.596064738181564","0.559531844539411","0.632597631823716"
"No","2004","indirect migration background","Rural Area","69","0.5581683962683","0.467797184331806","0.648539608204794"
"Yes","2005","no migration background","Urban Area","","","",""
"Yes","2005","no migration background","Rural Area","","","",""
"Yes","2005","direct migration background","Urban Area","","","",""
"Yes","2005","direct migration background","Rural Area","","","",""
"Yes","2005","indirect migration background","Urban Area","","","",""
"Yes","2005","indirect migration background","Rural Area","","","",""
"No","2005","no migration background","Urban Area","","","",""
"No","2005","no migration background","Rural Area","","","",""
"No","2005","direct migration background","Urban Area","","","",""
"No","2005","direct migration background","Rural Area","","","",""
"No","2005","indirect migration background","Urban Area","","","",""
"No","2005","indirect migration background","Rural Area","","","",""
"Yes","2006","no migration background","Urban Area","3328","0.298022364061348","0.289828873806795","0.3062158543159"
"Yes","2006","no migration background","Rural Area","1924","0.283108738671308","0.272455712273711","0.293761765068905"
"Yes","2006","direct migration background","Urban Area","595","0.321782444572494","0.301106041916704","0.342458847228284"
"Yes","2006","direct migration background","Rural Area","117","0.310695531955725","0.26695471260845","0.354436351303001"
"Yes","2006","indirect migration background","Urban Area","301","0.435797122427764","0.399168415365436","0.472425829490092"
"Yes","2006","indirect migration background","Rural Area","38","0.307382494141297","0.224130741625028","0.390634246657566"
"No","2006","no migration background","Urban Area","8643","0.701977635938653","0.6937841456841","0.710171126193205"
"No","2006","no migration background","Rural Area","4946","0.716891261328692","0.706238234931095","0.727544287726289"
"No","2006","direct migration background","Urban Area","1366","0.678217555427506","0.657541152771716","0.698893958083296"
"No","2006","direct migration background","Rural Area","313","0.689304468044275","0.645563648696999","0.73304528739155"
"No","2006","indirect migration background","Urban Area","403","0.564202877572236","0.527574170509908","0.600831584634564"
"No","2006","indirect migration background","Rural Area","80","0.692617505858703","0.609365753342434","0.775869258374972"
"Yes","2007","no migration background","Urban Area","","","",""
"Yes","2007","no migration background","Rural Area","","","",""
"Yes","2007","direct migration background","Urban Area","","","",""
"Yes","2007","direct migration background","Rural Area","","","",""
"Yes","2007","indirect migration background","Urban Area","","","",""
"Yes","2007","indirect migration background","Rural Area","","","",""
"No","2007","no migration background","Urban Area","","","",""
"No","2007","no migration background","Rural Area","","","",""
"No","2007","direct migration background","Urban Area","","","",""
"No","2007","direct migration background","Rural Area","","","",""
"No","2007","indirect migration background","Urban Area","","","",""
"No","2007","indirect migration background","Rural Area","","","",""
"Yes","2008","no migration background","Urban Area","2728","0.27143474845072","0.262975046918696","0.279894449982743"
"Yes","2008","no migration background","Rural Area","1668","0.281877298285677","0.270588664936116","0.293165931635239"
"Yes","2008","direct migration background","Urban Area","434","0.308296657830878","0.285425057278924","0.331168258382832"
"Yes","2008","direct migration background","Rural Area","88","0.292879213737726","0.24520262810962","0.340555799365832"
"Yes","2008","indirect migration background","Urban Area","266","0.420112576670239","0.382428309850587","0.457796843489892"
"Yes","2008","indirect migration background","Rural Area","32","0.219045988796798","0.142787314413377","0.295304663180219"
"No","2008","no migration background","Urban Area","7887","0.72856525154928","0.720105550017257","0.737024953081304"
"No","2008","no migration background","Rural Area","4434","0.718122701714323","0.706834068364761","0.729411335063884"
"No","2008","direct migration background","Urban Area","1132","0.691703342169122","0.668831741617168","0.714574942721076"
"No","2008","direct migration background","Rural Area","262","0.707120786262274","0.659444200634168","0.75479737189038"
"No","2008","indirect migration background","Urban Area","393","0.579887423329761","0.542203156510108","0.617571690149413"
"No","2008","indirect migration background","Rural Area","81","0.780954011203202","0.704695336819781","0.857212685586623"
"Yes","2009","no migration background","Urban Area","","","",""
"Yes","2009","no migration background","Rural Area","","","",""
"Yes","2009","direct migration background","Urban Area","","","",""
"Yes","2009","direct migration background","Rural Area","","","",""
"Yes","2009","indirect migration background","Urban Area","","","",""
"Yes","2009","indirect migration background","Rural Area","","","",""
"No","2009","no migration background","Urban Area","","","",""
"No","2009","no migration background","Rural Area","","","",""
"No","2009","direct migration background","Urban Area","","","",""
"No","2009","direct migration background","Rural Area","","","",""
"No","2009","indirect migration background","Urban Area","","","",""
"No","2009","indirect migration background","Rural Area","","","",""
"Yes","2010","no migration background","Urban Area","2340","0.263896325712124","0.254941109685499","0.272851541738749"
"Yes","2010","no migration background","Rural Area","1409","0.264689990572638","0.252795945132047","0.276584036013228"
"Yes","2010","direct migration background","Urban Area","301","0.279875210407303","0.254421550588165","0.305328870226441"
"Yes","2010","direct migration background","Rural Area","69","0.258594529351194","0.207398946619896","0.309790112082492"
"Yes","2010","indirect migration background","Urban Area","212","0.408441405836244","0.367656942048529","0.449225869623958"
"Yes","2010","indirect migration background","Rural Area","23","","",""
"No","2010","no migration background","Urban Area","6965","0.736103674287876","0.727148458261251","0.745058890314501"
"No","2010","no migration background","Rural Area","3876","0.735310009427362","0.723415963986772","0.747204054867953"
"No","2010","direct migration background","Urban Area","894","0.720124789592697","0.694671129773559","0.745578449411835"
"No","2010","direct migration background","Rural Area","212","0.741405470648806","0.690209887917508","0.792601053380104"
"No","2010","indirect migration background","Urban Area","346","0.591558594163756","0.550774130376042","0.632343057951471"
"No","2010","indirect migration background","Rural Area","78","0.78556410747359","0.705520443490044","0.865607771457135"
"Yes","2011","no migration background","Urban Area","","","",""
"Yes","2011","no migration background","Rural Area","","","",""
"Yes","2011","direct migration background","Urban Area","","","",""
"Yes","2011","direct migration background","Rural Area","","","",""
"Yes","2011","indirect migration background","Urban Area","","","",""
"Yes","2011","indirect migration background","Rural Area","","","",""
"No","2011","no migration background","Urban Area","","","",""
"No","2011","no migration background","Rural Area","","","",""
"No","2011","direct migration background","Urban Area","","","",""
"No","2011","direct migration background","Rural Area","","","",""
"No","2011","indirect migration background","Urban Area","","","",""
"No","2011","indirect migration background","Rural Area","","","",""
"Yes","2012","no migration background","Urban Area","2753","0.251891981775442","0.243825802139794","0.25995816141109"
"Yes","2012","no migration background","Rural Area","1790","0.276258823355024","0.265517481653875","0.287000165056173"
"Yes","2012","direct migration background","Urban Area","370","0.284258878161376","0.261208568806693","0.307309187516059"
"Yes","2012","direct migration background","Rural Area","109","0.245895320309838","0.206964808634787","0.28482583198489"
"Yes","2012","indirect migration background","Urban Area","211","0.325016134993246","0.288981104068995","0.361051165917498"
"Yes","2012","indirect migration background","Rural Area","46","0.350184272747415","0.273331301761001","0.42703724373383"
"No","2012","no migration background","Urban Area","8373","0.748108018224558","0.74004183858891","0.756174197860206"
"No","2012","no migration background","Rural Area","4867","0.723741176644976","0.712999834943827","0.734482518346125"
"No","2012","direct migration background","Urban Area","1101","0.715741121838624","0.692690812483941","0.738791431193307"
"No","2012","direct migration background","Rural Area","361","0.754104679690162","0.71517416801511","0.793035191365213"
"No","2012","indirect migration background","Urban Area","438","0.674983865006754","0.638948834082502","0.711018895931005"
"No","2012","indirect migration background","Rural Area","102","0.649815727252585","0.57296275626617","0.726668698238999"
"Yes","2013","no migration background","Urban Area","","","",""
"Yes","2013","no migration background","Rural Area","","","",""
"Yes","2013","direct migration background","Urban Area","","","",""
"Yes","2013","direct migration background","Rural Area","","","",""
"Yes","2013","indirect migration background","Urban Area","","","",""
"Yes","2013","indirect migration background","Rural Area","","","",""
"No","2013","no migration background","Urban Area","","","",""
