"ple0081_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Full Time","1-pers.-HH","507","0.446443836755119","0.417484464818021","0.475403208692218"
"Yes","2002","Full Time","(Married) couple without C. ","866","0.319327522420768","0.301679869450675","0.33697517539086"
"Yes","2002","Full Time","Single parent ","198","0.492735467333412","0.445699791634305","0.53977114303252"
"Yes","2002","Full Time","Couple + C. LE 16 ","908","0.383281810798435","0.364018382092816","0.402545239504053"
"Yes","2002","Full Time","Couple + C. GT 16 ","602","0.358953180147426","0.336768217464057","0.381138142830795"
"Yes","2002","Full Time","Couple + C. LE and GT 16","341","0.412589099817802","0.37960982631741","0.445568373318194"
"Yes","2002","Part Time","1-pers.-HH","195","0.423246573903418","0.37769842929785","0.468794718508985"
"Yes","2002","Part Time","(Married) couple without C. ","358","0.306217160567841","0.280541932621955","0.331892388513727"
"Yes","2002","Part Time","Single parent ","165","0.493140510936537","0.439523328436531","0.546757693436544"
"Yes","2002","Part Time","Couple + C. LE 16 ","461","0.338336779037919","0.313753560405057","0.362919997670781"
"Yes","2002","Part Time","Couple + C. GT 16 ","334","0.343091699532661","0.314280362211572","0.37190303685375"
"Yes","2002","Part Time","Couple + C. LE and GT 16","225","0.414907913556512","0.375351862174648","0.454463964938375"
"Yes","2002","Not Working","1-pers.-HH","278","0.176226766414374","0.1565476035722","0.195905929256548"
"Yes","2002","Not Working","(Married) couple without C. ","548","0.143722635731195","0.132206994068466","0.155238277393925"
"Yes","2002","Not Working","Single parent ","148","0.418891755196729","0.368551625188482","0.469231885204977"
"Yes","2002","Not Working","Couple + C. LE 16 ","285","0.334213367160276","0.303257347948523","0.365169386372028"
"Yes","2002","Not Working","Couple + C. GT 16 ","271","0.221661604710313","0.197871349153406","0.24545186026722"
"Yes","2002","Not Working","Couple + C. LE and GT 16","147","0.281547426210466","0.242243228862776","0.320851623558157"
"No","2002","Full Time","1-pers.-HH","625","0.553556163244881","0.524596791307782","0.582515535181979"
"No","2002","Full Time","(Married) couple without C. ","1815","0.680672477579232","0.66302482460914","0.698320130549325"
"No","2002","Full Time","Single parent ","236","0.507264532666588","0.46022885696748","0.554300208365695"
"No","2002","Full Time","Couple + C. LE 16 ","1539","0.616718189201565","0.597454760495947","0.635981617907184"
"No","2002","Full Time","Couple + C. GT 16 ","1194","0.641046819852574","0.618861857169205","0.663231782535943"
"No","2002","Full Time","Couple + C. LE and GT 16","515","0.587410900182198","0.554431626681806","0.62039017368259"
"No","2002","Part Time","1-pers.-HH","257","0.576753426096582","0.531205281491015","0.62230157070215"
"No","2002","Part Time","(Married) couple without C. ","880","0.693782839432159","0.668107611486273","0.719458067378045"
"No","2002","Part Time","Single parent ","169","0.506859489063463","0.453242306563456","0.560476671563469"
"No","2002","Part Time","Couple + C. LE 16 ","962","0.661663220962081","0.637080002329219","0.686246439594943"
"No","2002","Part Time","Couple + C. GT 16 ","709","0.656908300467339","0.62809696314625","0.685719637788428"
"No","2002","Part Time","Couple + C. LE and GT 16","371","0.585092086443488","0.545536035061625","0.624648137825351"
"No","2002","Not Working","1-pers.-HH","1162","0.823773233585626","0.804094070743452","0.8434523964278"
"No","2002","Not Working","(Married) couple without C. ","3017","0.856277364268805","0.844761722606075","0.867793005931534"
"No","2002","Not Working","Single parent ","221","0.581108244803271","0.530768114795024","0.631448374811518"
"No","2002","Not Working","Couple + C. LE 16 ","607","0.665786632839724","0.634830613627972","0.696742652051477"
"No","2002","Not Working","Couple + C. GT 16 ","900","0.778338395289687","0.75454813973278","0.802128650846594"
"No","2002","Not Working","Couple + C. LE and GT 16","356","0.718452573789534","0.679148376441843","0.757756771137224"
