"ple0081_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2002","16-34 y.","no migration background","2975","0.600263975190927","0.586409349474147","0.614118600907708","2"
"No","2002","16-34 y.","indirect migration background","367","0.559783135292053","0.521263603911632","0.598302666672474","2"
"No","2002","35-65 y.","direct migration background","1136","0.656953204893598","0.634524636334291","0.679381773452905","2"
"No","2002","66 and older","no migration background","2926","0.899622134676298","0.889320890663311","0.909923378689285","2"
"No","2002","66 and older","indirect migration background","16","","","","2"
"No","2002","16-34 y.","direct migration background","471","0.642924205420575","0.608518533109581","0.67732987773157","2"
"No","2002","35-65 y.","no migration background","7829","0.662298616486297","0.653644894512939","0.670952338459656","2"
"No","2002","35-65 y.","indirect migration background","64","0.439985589968744","0.354656867689443","0.525314312248046","2"
"No","2002","66 and older","direct migration background","305","0.895849487965727","0.863984851512939","0.927714124418516","2"
"Yes","2002","16-34 y.","no migration background","1827","0.399736024809073","0.385881399092292","0.413590650525853","1"
"Yes","2002","16-34 y.","direct migration background","274","0.357075794579425","0.32267012226843","0.391481466890419","1"
"Yes","2002","16-34 y.","indirect migration background","271","0.440216864707947","0.401697333327526","0.478736396088368","1"
"Yes","2002","35-65 y.","no migration background","3644","0.337701383513703","0.329047661540344","0.346355105487061","1"
"Yes","2002","35-65 y.","direct migration background","585","0.343046795106402","0.320618226547095","0.365475363665709","1"
"Yes","2002","35-65 y.","indirect migration background","66","0.560014410031255","0.474685687751954","0.645343132310557","1"
"Yes","2002","66 and older","no migration background","343","0.100377865323702","0.0900766213107155","0.110679109336689","1"
"Yes","2002","66 and older","direct migration background","48","0.104150512034273","0.0722858755814845","0.136015148487061","1"
"Yes","2002","66 and older","indirect migration background","","","","","1"
"No","2003","16-34 y.","indirect migration background","","","","","2"
"No","2003","35-65 y.","direct migration background","","","","","2"
"No","2003","66 and older","no migration background","","","","","2"
"No","2003","16-34 y.","no migration background","","","","","2"
"No","2003","16-34 y.","direct migration background","","","","","2"
"No","2003","35-65 y.","no migration background","","","","","2"
"No","2003","35-65 y.","indirect migration background","","","","","2"
"No","2003","66 and older","direct migration background","","","","","2"
"No","2003","66 and older","indirect migration background","","","","","2"
"Yes","2003","16-34 y.","no migration background","","","","","1"
"Yes","2003","16-34 y.","direct migration background","","","","","1"
"Yes","2003","16-34 y.","indirect migration background","","","","","1"
"Yes","2003","35-65 y.","no migration background","","","","","1"
"Yes","2003","35-65 y.","direct migration background","","","","","1"
"Yes","2003","35-65 y.","indirect migration background","","","","","1"
