"ple0081_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2002","lower secondary degree","(0) in school","","","",""
"Yes","2002","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2002","lower secondary degree","(1b) general elementary school","594","0.292269309355321","0.271594856857704","0.312943761852938"
"Yes","2002","lower secondary degree","(1c) basic vocational qualification","1996","0.314435392748447","0.302918340687232","0.325952444809663"
"Yes","2002","lower secondary degree","(2b) intermediate general qualification","3","","",""
"Yes","2002","lower secondary degree","(2a) intermediate vocational","14","","",""
"Yes","2002","lower secondary degree","(2c_gen) general maturity certificate","10","","",""
"Yes","2002","lower secondary degree","(2c_voc) vocational maturity certificate","10","","",""
"Yes","2002","lower secondary degree","(3a) lower tertiary education","26","","",""
"Yes","2002","lower secondary degree","(3b) higher tertiary education","8","","",""
"Yes","2002","secondary school degree","(0) in school","","","",""
"Yes","2002","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2002","secondary school degree","(1b) general elementary school","","","",""
"Yes","2002","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2002","secondary school degree","(2b) intermediate general qualification","275","0.404007743375725","0.366514734267346","0.441500752484103"
"Yes","2002","secondary school degree","(2a) intermediate vocational","1836","0.338915328772657","0.326199519433271","0.351631138112044"
"Yes","2002","secondary school degree","(2c_gen) general maturity certificate","2","","",""
"Yes","2002","secondary school degree","(2c_voc) vocational maturity certificate","10","","",""
"Yes","2002","secondary school degree","(3a) lower tertiary education","126","0.234415651034498","0.199328839588943","0.269502462480053"
"Yes","2002","secondary school degree","(3b) higher tertiary education","26","","",""
"Yes","2002","college entrance qualification","(0) in school","","","",""
"Yes","2002","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2002","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2002","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2002","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2002","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2002","college entrance qualification","(2c_gen) general maturity certificate","250","0.306675657217614","0.274762572616144","0.338588741819085"
"Yes","2002","college entrance qualification","(2c_voc) vocational maturity certificate","393","0.285006425899415","0.260845582112691","0.309167269686139"
"Yes","2002","college entrance qualification","(3a) lower tertiary education","278","0.279417118862424","0.252391939420014","0.306442298304834"
"Yes","2002","college entrance qualification","(3b) higher tertiary education","472","0.208780611144412","0.192557168092508","0.225004054196317"
"Yes","2002","Other degree","(0) in school","","","",""
"Yes","2002","Other degree","(1a) inadequately completed","","","",""
"Yes","2002","Other degree","(1b) general elementary school","120","0.253125489390428","0.212498605594188","0.293752373186669"
"Yes","2002","Other degree","(1c) basic vocational qualification","144","0.311593242415379","0.267612772116235","0.355573712714524"
"Yes","2002","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2002","Other degree","(2a) intermediate vocational","","","",""
"Yes","2002","Other degree","(2c_gen) general maturity certificate","26","","",""
"Yes","2002","Other degree","(2c_voc) vocational maturity certificate","63","0.348521350555277","0.278716377567256","0.418326323543299"
"Yes","2002","Other degree","(3a) lower tertiary education","5","","",""
"Yes","2002","Other degree","(3b) higher tertiary education","38","0.195984875707381","0.138471887318376","0.253497864096387"
"Yes","2002","no degree/no degree yet","(0) in school","138","0.232658392802268","0.199345864986574","0.265970920617961"
"Yes","2002","no degree/no degree yet","(1a) inadequately completed","106","0.355698678200069","0.301162101647914","0.410235254752224"
"Yes","2002","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2002","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2002","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2002","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2002","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
